Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
10/12/2018,67.56,154.0,44(40.00 %),27500,4219210000,0,0,154.0,154.0,143.0
11/12/2018,77.39,176.4,23(14.99 %),15251,2690212400,142,18516800,176.4,176.4,176.4
12/12/2018,77.21,176.0,-0.4(-0.23 %),2353,427239000,0,0,180.0,190.0,176.0
13/12/2018,69.31,158.0,-23.6(-13.00 %),11384,1823124000,0,0,159.0,163.0,157.0
14/12/2018,61.99,141.3,-18.8(-11.74 %),7892,1137729400,0,0,157.7,157.7,138.5
17/12/2018,60.45,137.8,-6.4(-4.44 %),5749,797803500,0,0,140.0,141.3,137.8
18/12/2018,61.42,140.0,1.2(0.86 %),560,79030000,0,0,141.7,142.0,140.0
19/12/2018,63.57,144.9,3.8(2.69 %),2000,280720000,0,0,141.1,144.9,138.6
20/12/2018,63.61,145.0,4.6(3.28 %),200,29500000,0,0,150.0,150.0,145.0
21/12/2018,61.46,140.1,-7.4(-5.02 %),2705,379150000,0,0,140.6,140.6,140.0
24/12/2018,61.42,140.0,-0.2(-0.14 %),1835,257300000,0,0,140.0,141.0,140.0
25/12/2018,61.42,140.0,-0.2(-0.14 %),3600,502040000,0,0,140.0,140.0,137.0
26/12/2018,61.42,140.0,0.5(0.36 %),710,101650000,0,0,160.4,160.4,139.5
27/12/2018,62.73,143.0,-0.1(-0.07 %),100,14300000,0,0,143.0,143.0,143.0
28/12/2018,60.23,137.3,-5.7(-3.99 %),200,27460000,0,0,137.3,137.3,137.3
02/01/2019,60.54,138.0,0.7(0.51 %),710,97982000,0,0,138.0,138.0,138.0
03/01/2019,60.54,138.0,0(0.00 %),0,0,0,0,138.0,138.0,138.0
04/01/2019,60.54,138.0,0(0.00 %),110,15180000,0,0,138.0,138.0,138.0
07/01/2019,61.42,140.0,2(1.45 %),943,131277000,0,0,139.0,140.0,138.5
08/01/2019,60.98,139.0,-0.2(-0.14 %),2703,375800000,0,0,139.0,139.1,139.0
09/01/2019,61.42,140.0,1(0.72 %),2000,279000000,0,0,140.0,140.0,139.0
10/01/2019,61.42,140.0,0.4(0.29 %),816,114000000,0,0,140.0,140.0,139.6
11/01/2019,64.49,147.0,7(5.00 %),2837,423104000,0,0,149.9,149.9,147.0
14/01/2019,62.18,137.0,-7.7(-5.32 %),800,115790000,0,0,140.0,149.8,137.0
15/01/2019,65.36,144.0,-0.7(-0.48 %),800,115280000,0,0,144.4,144.4,144.0
16/01/2019,67.58,148.9,4.8(3.33 %),328,48748700,0,0,148.9,148.9,148.9
17/01/2019,65.26,143.8,-5.1(-3.43 %),958,131774000,0,0,128.2,143.8,128.2
18/01/2019,63.95,140.9,2.7(1.95 %),500,71810000,0,0,144.5,144.5,140.9
21/01/2019,63.54,140.0,-3.6(-2.51 %),140,19200000,0,0,140.0,140.0,140.0
22/01/2019,61.23,134.9,-5.1(-3.64 %),605,81664500,0,0,135.0,135.0,134.9
23/01/2019,59.68,131.5,-3.5(-2.59 %),628,85137000,0,0,140.7,140.7,130.0
24/01/2019,59.95,132.1,-3.7(-2.72 %),1500,199140000,0,0,133.0,133.0,132.1
25/01/2019,61.27,135.0,2.2(1.66 %),800,108000000,0,0,135.0,135.0,135.0
28/01/2019,61.27,135.0,0(0.00 %),100,13500000,0,0,135.0,135.0,135.0
29/01/2019,61.27,135.0,0(0.00 %),1240,167236000,0,0,135.0,135.0,135.0
30/01/2019,61.27,135.0,0(0.00 %),100,13500000,0,0,135.0,135.0,135.0
31/01/2019,70.21,154.7,19.7(14.59 %),613,94575000,0,0,154.7,154.7,154.7
01/02/2019,70.21,154.7,0(0.00 %),110,14931000,0,0,154.7,154.7,154.7
11/02/2019,69.44,153.0,-1.7(-1.10 %),3275,490038000,0,0,153.9,154.7,137.0
12/02/2019,62.63,138.0,-11(-7.38 %),700,97530000,0,0,140.0,144.0,138.0
13/02/2019,62.18,137.0,-2.3(-1.65 %),200,27410000,0,0,137.1,137.1,137.0
14/02/2019,63.54,140.0,2.9(2.12 %),1100,151000000,0,0,137.0,140.0,137.0
15/02/2019,62.18,137.0,-0.3(-0.22 %),800,109600000,0,0,137.0,137.0,137.0
18/02/2019,61.27,135.0,-2(-1.46 %),462,63037700,0,0,137.0,137.0,135.0
19/02/2019,61.95,136.5,0(0.00 %),1108,154404000,0,0,140.0,140.0,136.5
20/02/2019,62.18,137.0,-2.4(-1.72 %),1300,179300000,0,0,139.0,139.0,137.0
21/02/2019,63.09,139.0,1.1(0.80 %),1300,182670000,0,0,144.0,144.0,139.0
22/02/2019,63.09,139.0,-1.5(-1.07 %),4000,556200000,0,0,140.0,140.0,139.0
25/02/2019,63.09,139.0,-0.1(-0.07 %),1300,180580000,0,0,138.7,139.0,138.7
26/02/2019,61.32,135.1,-3.8(-2.74 %),101,13645200,0,0,135.1,135.1,135.1
27/02/2019,60.82,134.0,-1.1(-0.81 %),4713,633156300,0,0,135.9,136.0,134.0
28/02/2019,59.18,130.4,-3.9(-2.90 %),750,98760300,0,0,133.0,133.0,130.0
01/03/2019,59.27,130.6,-1.2(-0.91 %),410,54520000,0,0,140.0,140.0,130.6
04/03/2019,63.4,139.7,6.7(5.04 %),300,41910000,0,0,139.7,139.7,139.7
05/03/2019,62.86,138.5,-1.2(-0.86 %),610,81590000,0,0,131.3,138.7,131.3
