Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
13/12/2006,1240,496000,0(0.00 %),1240,496000,0,0,0,0.0
14/12/2006,178460,74953200,0(0.00 %),178460,74953200,0,0,0,0.0
15/12/2006,1650,727650,0(0.00 %),61650,27187650,60000,26460000,0,0.0
18/12/2006,123310,57092530,0(0.00 %),123310,57092530,0,0,0,0.0
19/12/2006,46450,22574700,0(0.00 %),46450,22574700,0,0,0,0.0
20/12/2006,121680,62056800,0(0.00 %),121680,62056800,0,0,0,0.0
21/12/2006,82420,41081700,0(0.00 %),82420,41081700,0,0,0,0.0
22/12/2006,116690,53794090,0(0.00 %),116690,53794090,0,0,0,0.0
25/12/2006,11200,4905600,0(0.00 %),11200,4905600,0,0,0,0.0
26/12/2006,111970,51315270,0(0.00 %),111970,51315270,0,0,0,0.0
27/12/2006,351980,167512320,0(0.00 %),351980,167512320,0,0,0,0.0
28/12/2006,120470,57647400,0(0.00 %),120470,57647400,0,0,0,0.0
29/12/2006,-3590,-1686950,0(0.00 %),3880,1786600,7470,3473550,0,0.0
01/03/2007,-49160,-29880150000,615(-2.69 %),17790,11179600000,66950,41059750000,0,0.0
02/03/2007,132530,85229310000,645(4.88 %),136640,87824280000,4110,2594970000,0,0.0
05/03/2007,56700,36629900000,635(-1.55 %),87640,56526800000,30940,19896900000,0,0.0
06/03/2007,-158710,-95917050000,604(-4.79 %),23500,14205950000,182210,110123000000,0,0.0
07/03/2007,4630,2824300000,610(0.99 %),7730,4715300000,3100,1891000000,0,0.0
08/03/2007,-24440,-14516000000,600(-1.64 %),23160,13892100000,47600,28408100000,0,0.0
09/03/2007,-540,35200000,600(0.00 %),27450,17015800000,27990,16980600000,0,0.0
12/03/2007,63130,38415200000,610(1.67 %),64330,39147200000,1200,732000000,0,0.0
13/03/2007,18280,11693360000,610(0.00 %),50280,30713360000,32000,19020000000,0,0.0
14/03/2007,1110,824550000,580(-4.92 %),12480,7515150000,11370,6690600000,0,0.0
15/03/2007,-42180,-23241180000,551(-5.00 %),21300,11736300000,63480,34977480000,0,0.0
16/03/2007,6510,3400710000,578(4.90 %),16710,9207210000,10200,5806500000,0,0.0
19/03/2007,29100,17546460000,578(0.00 %),56210,33268180000,27110,15721720000,0,0.0
20/03/2007,21420,12020960000,562(-2.77 %),51920,29173960000,30500,17153000000,0,0.0
21/03/2007,-44790,-23991510000,535(-4.80 %),19800,10575670000,64590,34567180000,0,0.0
22/03/2007,61960,34342350000,555(3.74 %),66100,36640300000,4140,2297950000,0,0.0
23/03/2007,-11520,-6393600000,555(0.00 %),62180,34509900000,73700,40903500000,0,0.0
26/03/2007,84690,45731500000,540(-2.70 %),84690,45731500000,0,0,0,0.0
27/03/2007,32170,16535110000,513(-5.00 %),36360,18684580000,4190,2149470000,0,0.0
28/03/2007,-4750,-2326750000,513(0.00 %),13200,6691600000,17950,9018350000,0,0.0
29/03/2007,19000,10601610000,538(4.87 %),72580,38194650000,53580,27593040000,0,0.0
