Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/05/2022,3.4,3.4,0.8(30.77 %),1970100,6123460000,0,0,2.2,3.5,2.2
27/05/2022,3.5,3.5,0.4(12.90 %),643880,2252833000,0,0,3.4,3.5,3.4
30/05/2022,4.0,4.0,0.5(14.29 %),448090,1790500000,0,0,3.6,4.0,3.6
31/05/2022,3.8,3.8,-0.2(-5.00 %),1863506,7255643800,0,0,4.4,4.6,3.5
01/06/2022,3.7,3.7,-0.2(-5.13 %),758798,2753247100,0,0,3.8,3.9,3.5
02/06/2022,3.8,3.8,0.2(5.56 %),644240,2463759300,0,0,3.6,4.0,3.6
03/06/2022,3.6,3.6,-0.2(-5.26 %),381910,1413408000,0,0,3.8,3.9,3.6
06/06/2022,3.5,3.5,-0.2(-5.41 %),610540,2152559700,0,0,3.6,3.8,3.3
07/06/2022,3.4,3.4,-0.1(-2.86 %),554581,1779912300,0,0,3.5,3.5,3.1
08/06/2022,3.4,3.4,0.2(6.25 %),326100,1111050000,0,0,3.4,3.5,3.2
09/06/2022,3.4,3.4,0(0.00 %),341462,1127737900,0,0,3.4,3.5,3.2
10/06/2022,3.1,3.1,-0.2(-6.06 %),402329,1278801900,0,0,3.3,3.3,3.1
13/06/2022,3.0,3.0,-0.2(-6.25 %),587215,1707403100,0,0,3.0,3.1,2.8
14/06/2022,2.9,2.9,0(0.00 %),380739,1098752600,0,0,2.6,3.0,2.6
15/06/2022,2.8,2.8,-0.1(-3.45 %),231622,655916000,0,0,2.9,3.0,2.7
16/06/2022,2.9,2.9,0.1(3.57 %),337483,964405500,0,0,3.0,3.0,2.8
17/06/2022,2.7,2.7,-0.2(-6.90 %),534317,1417363500,0,0,2.8,2.8,2.6
20/06/2022,2.4,2.4,-0.3(-11.11 %),446159,1120552700,0,0,2.5,2.7,2.3
21/06/2022,2.3,2.3,-0.2(-8.00 %),386732,888623600,0,0,2.4,2.4,2.2
22/06/2022,2.6,2.6,0.3(13.04 %),432525,1078930500,0,0,2.3,2.6,2.3
23/06/2022,2.7,2.7,0.2(8.00 %),269832,700426400,0,0,2.7,2.8,2.5
24/06/2022,2.6,2.6,0(0.00 %),374130,969041000,0,0,2.7,2.7,2.5
27/06/2022,2.7,2.7,0.1(3.85 %),354010,909266000,0,0,2.6,2.7,2.5
28/06/2022,2.9,2.9,0.3(11.54 %),754330,2086705500,0,0,2.7,2.9,2.6
29/06/2022,3.0,3.0,0.2(7.14 %),493500,1475380000,0,0,2.9,3.2,2.8
30/06/2022,2.8,2.8,-0.2(-6.67 %),517900,1444130000,0,0,3.1,3.1,2.7
01/07/2022,2.8,2.8,0(0.00 %),319302,847425400,0,0,2.7,2.9,2.5
04/07/2022,2.9,2.9,0.2(7.41 %),349255,1004916400,0,0,2.7,3.0,2.7
05/07/2022,2.8,2.8,-0.1(-3.45 %),232780,652125000,0,0,2.9,3.0,2.7
06/07/2022,2.7,2.7,-0.1(-3.57 %),371600,1020940000,0,0,2.8,2.9,2.6
07/07/2022,2.7,2.7,0(0.00 %),139400,371560000,0,0,2.7,2.8,2.6
08/07/2022,2.7,2.7,0(0.00 %),327700,902750000,0,0,2.7,2.9,2.7
11/07/2022,2.7,2.7,-0.1(-3.57 %),277902,760435600,0,0,2.8,2.9,2.6
12/07/2022,2.8,2.8,0.1(3.70 %),403719,1126029300,0,0,2.7,2.9,2.7
13/07/2022,2.9,2.9,0.1(3.57 %),424502,1222976100,0,0,2.9,3.0,2.8
14/07/2022,3.0,3.0,0.1(3.45 %),563510,1625030000,0,0,2.8,3.0,2.8
15/07/2022,3.0,3.0,0.1(3.45 %),463602,1346475800,0,0,2.9,3.0,2.8
18/07/2022,2.8,2.8,-0.1(-3.45 %),531800,1518420000,0,0,3.0,3.0,2.8
19/07/2022,3.2,3.2,0.3(10.34 %),2053272,6267752000,0,0,2.9,3.3,2.8
20/07/2022,3.2,3.2,0.1(3.23 %),570110,1820312000,0,0,3.2,3.3,3.1
21/07/2022,3.0,3.0,-0.2(-6.25 %),686400,2069170000,0,0,3.2,3.2,3.0
22/07/2022,2.9,2.9,-0.1(-3.33 %),763300,2262500000,0,0,3.0,3.1,2.9
25/07/2022,3.0,3.0,0(0.00 %),569100,1649340000,60890,158314000,3.0,3.0,2.8
26/07/2022,3.0,3.0,0.1(3.45 %),209210,605610000,0,0,2.9,3.0,2.8
27/07/2022,3.0,3.0,0.1(3.45 %),173400,499890000,0,0,3.0,3.0,2.8
28/07/2022,3.0,3.0,0.1(3.45 %),455376,1326661800,0,0,3.0,3.0,2.9
29/07/2022,2.9,2.9,0(0.00 %),310544,900672000,0,0,2.9,3.0,2.8
01/08/2022,2.9,2.9,0(0.00 %),280612,810711600,0,0,2.9,3.0,2.8
02/08/2022,2.9,2.9,0(0.00 %),428629,1254354200,0,0,2.9,3.0,2.9
03/08/2022,3.0,3.0,0.1(3.45 %),526310,1550550000,0,0,3.0,3.0,2.9
04/08/2022,3.1,3.1,0.2(6.90 %),1136312,3501922400,0,0,2.9,3.2,2.9
05/08/2022,3.1,3.1,0(0.00 %),568650,1717364000,0,0,3.1,3.1,3.0
08/08/2022,3.1,3.1,0.1(3.33 %),450958,1359609800,0,0,3.1,3.1,3.0
09/08/2022,3.2,3.2,0.2(6.67 %),1904791,6007252200,0,0,3.1,3.3,3.0
10/08/2022,3.5,3.5,0.3(9.37 %),2006821,6914327800,0,0,3.3,3.6,3.2
11/08/2022,3.5,3.5,0.1(2.94 %),1041391,3586582700,0,0,3.4,3.7,3.3
12/08/2022,3.4,3.4,0(0.00 %),694802,2303266800,0,0,3.5,3.5,3.2
15/08/2022,3.2,3.2,-0.1(-3.03 %),627936,2064876800,0,0,3.3,3.4,3.2
16/08/2022,3.3,3.3,0(0.00 %),743741,2395273200,0,0,3.2,3.3,3.1
17/08/2022,3.1,3.1,-0.1(-3.12 %),576291,1826671200,0,0,3.2,3.3,3.1
18/08/2022,3.1,3.1,-0.1(-3.12 %),503732,1560239200,0,0,3.2,3.2,3.0
19/08/2022,3.1,3.1,0(0.00 %),530305,1598316000,0,0,3.1,3.1,3.0
22/08/2022,3.0,3.0,0(0.00 %),560050,1661080000,0,0,3.0,3.1,2.9
23/08/2022,3.2,3.2,0.2(6.67 %),405539,1244593700,0,0,3.0,3.2,2.9
24/08/2022,3.2,3.2,0.1(3.23 %),271190,844936200,0,0,3.2,3.2,3.1
25/08/2022,3.1,3.1,0(0.00 %),621970,1929087000,0,0,3.1,3.2,3.0
26/08/2022,3.1,3.1,0(0.00 %),428010,1293761000,0,0,3.1,3.2,3.0
29/08/2022,2.9,2.9,-0.1(-3.33 %),486846,1418184500,0,0,3.0,3.0,2.8
30/08/2022,3.0,3.0,0.1(3.45 %),370920,1138508000,0,0,2.9,3.2,2.9
31/08/2022,3.0,3.0,-0.1(-3.23 %),277760,832960000,0,0,3.0,3.1,2.9
05/09/2022,3.0,3.0,0(0.00 %),151397,449842000,0,0,3.0,3.1,2.9
06/09/2022,3.0,3.0,0(0.00 %),644140,1878340000,0,0,3.0,3.1,2.9
07/09/2022,2.9,2.9,0(0.00 %),368547,1068077300,0,0,2.9,3.0,2.8
08/09/2022,2.9,2.9,0(0.00 %),222714,628228200,0,0,2.9,2.9,2.8
09/09/2022,2.9,2.9,0.1(3.57 %),514740,1450852100,0,0,2.9,2.9,2.7
12/09/2022,3.0,3.0,0.2(7.14 %),263894,764703900,0,0,3.0,3.0,2.8
13/09/2022,2.8,2.8,-0.1(-3.45 %),88740,252783400,0,0,2.9,3.0,2.8
14/09/2022,2.9,2.9,0.1(3.57 %),302601,851596600,0,0,2.8,2.9,2.7
15/09/2022,2.9,2.9,0.1(3.57 %),264875,741072900,0,0,2.8,2.9,2.7
16/09/2022,2.7,2.7,-0.1(-3.57 %),762798,2023533000,0,0,2.8,2.9,2.5
19/09/2022,2.7,2.7,0(0.00 %),376327,983506800,0,0,2.7,2.7,2.5
20/09/2022,2.8,2.8,0.2(7.69 %),542070,1445070900,0,0,2.6,2.8,2.5
21/09/2022,3.1,3.1,0.4(14.81 %),2395877,7250905400,0,0,2.7,3.1,2.7
22/09/2022,3.2,3.2,0.2(6.67 %),1662770,5407153100,0,0,3.2,3.4,3.0
23/09/2022,3.0,3.0,-0.3(-9.09 %),1388023,4063320300,0,0,3.2,3.2,2.9
26/09/2022,2.7,2.7,-0.2(-6.90 %),1222714,3241211800,0,0,2.9,2.9,2.5
27/09/2022,2.8,2.8,0.1(3.70 %),586392,1655869000,0,0,2.7,3.0,2.6
28/09/2022,2.8,2.8,0(0.00 %),587889,1636013100,0,0,2.9,3.0,2.7
29/09/2022,2.8,2.8,0(0.00 %),245646,679674400,0,0,2.8,2.9,2.7
30/09/2022,2.7,2.7,-0.1(-3.57 %),525759,1377525500,0,0,2.7,2.8,2.5
03/10/2022,2.6,2.6,0(0.00 %),537835,1386551000,0,0,2.7,2.7,2.5
04/10/2022,2.5,2.5,-0.1(-3.85 %),524090,1325964000,0,0,2.5,2.6,2.5
05/10/2022,2.7,2.7,0.2(8.00 %),421365,1084125500,0,0,2.5,2.7,2.5
06/10/2022,2.6,2.6,0(0.00 %),377300,964570000,0,0,2.5,2.7,2.5
07/10/2022,2.4,2.4,-0.2(-7.69 %),533007,1291388200,0,0,2.5,2.5,2.3
10/10/2022,2.3,2.3,-0.1(-4.17 %),529690,1209927000,0,0,2.4,2.4,2.2
11/10/2022,2.1,2.1,-0.2(-8.70 %),495110,1075524000,0,0,2.3,2.4,2.0
12/10/2022,2.1,2.1,-0.1(-4.55 %),618348,1334565800,0,0,2.1,2.3,2.1
13/10/2022,2.2,2.2,0(0.00 %),226236,497572800,0,0,2.2,2.3,2.1
14/10/2022,2.3,2.3,0.1(4.55 %),128565,287459500,0,0,2.2,2.3,2.2
17/10/2022,2.2,2.2,0(0.00 %),139322,304328400,0,0,2.3,2.3,2.1
18/10/2022,2.3,2.3,0.1(4.55 %),723678,1642484300,15700,29830000,2.2,2.4,2.2
19/10/2022,2.3,2.3,0(0.00 %),243376,559539000,10000,20000000,2.3,2.4,2.2
20/10/2022,2.2,2.2,-0.1(-4.35 %),97760,215348000,4700,9400000,2.3,2.3,2.2
21/10/2022,2.0,2.0,-0.2(-9.09 %),819854,1690959800,0,0,2.2,2.3,1.9
24/10/2022,1.8,1.8,-0.3(-14.29 %),642068,1195188300,0,0,2.0,2.1,1.8
25/10/2022,1.8,1.8,-0.1(-5.26 %),526159,921427000,0,0,1.9,1.9,1.7
26/10/2022,1.8,1.8,0(0.00 %),488019,902865100,0,0,1.8,1.9,1.7
27/10/2022,1.9,1.9,0(0.00 %),434002,782973800,143480,243916000,1.9,1.9,1.7
28/10/2022,1.8,1.8,0(0.00 %),268336,506188200,0,0,1.9,1.9,1.8
31/10/2022,1.8,1.8,-0.1(-5.26 %),333380,585543100,0,0,1.8,1.9,1.7
01/11/2022,1.8,1.8,0(0.00 %),203585,362220500,0,0,1.8,1.9,1.7
02/11/2022,1.8,1.8,0(0.00 %),279630,477472000,0,0,1.8,1.8,1.7
03/11/2022,1.6,1.6,-0.1(-5.88 %),690348,1113117800,0,0,1.7,1.8,1.5
04/11/2022,1.6,1.6,0(0.00 %),226151,342161200,0,0,1.7,1.7,1.4
07/11/2022,1.3,1.3,-0.2(-13.33 %),490710,678361000,0,0,1.5,1.5,1.3
08/11/2022,1.4,1.4,0(0.00 %),286429,369808700,0,0,1.3,1.4,1.2
09/11/2022,1.4,1.4,0.1(7.69 %),329733,456715200,0,0,1.4,1.4,1.3
10/11/2022,1.3,1.3,-0.1(-7.14 %),211520,278968000,0,0,1.6,1.6,1.2
11/11/2022,1.4,1.4,0.1(7.69 %),257025,341623800,0,0,1.4,1.4,1.2
14/11/2022,1.3,1.3,0(0.00 %),315400,379880000,0,0,1.3,1.3,1.2
15/11/2022,1.1,1.1,-0.1(-8.33 %),274638,303232800,0,0,1.3,1.3,1.1
16/11/2022,1.2,1.2,0.1(9.09 %),877841,951278200,0,0,1.0,1.2,1.0
