Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,37.1,0.0,-38(-100.00 %),3744300,37100,0,0,38.5,38.9,37.1
22/08/2025,38.0,38.0,-2.35(-5.82 %),6860800,266065600000,0,0,40.0,40.05,37.8
21/08/2025,40.35,40.35,0.15(0.37 %),5138800,209401475000,0,0,40.6,41.3,40.25
20/08/2025,40.2,40.2,-0.6(-1.47 %),6767000,274178955000,0,0,40.9,41.6,39.0
19/08/2025,40.8,40.8,0.2(0.49 %),7358900,300763975000,0,0,40.7,41.4,40.4
18/08/2025,40.6,40.6,-0.6(-1.46 %),5162800,210793495000,0,0,41.2,41.6,40.55
15/08/2025,41.2,41.2,-1.35(-3.17 %),9416700,392393335000,0,0,42.9,42.9,40.85
14/08/2025,42.55,42.55,0.1(0.24 %),10692000,461598335000,0,0,42.95,44.45,42.45
13/08/2025,42.45,42.45,0.85(2.04 %),12271400,512104585000,0,0,41.8,42.6,40.8
12/08/2025,41.6,41.6,-0.2(-0.48 %),7668500,320971975000,0,0,41.9,42.95,41.35
11/08/2025,41.8,41.8,0(0.00 %),7643800,319458835000,0,0,42.0,42.55,41.45
08/08/2025,41.8,41.8,-1(-2.34 %),7502900,316087850000,0,0,43.0,43.55,41.4
07/08/2025,42.8,42.8,1.5(3.63 %),8720300,370879550000,0,0,41.85,43.5,41.6
06/08/2025,41.3,41.3,0.55(1.35 %),3941500,161803630000,0,0,41.35,41.35,40.75
05/08/2025,40.75,40.75,-0.4(-0.97 %),10941900,453895990000,0,0,41.6,42.9,38.3
04/08/2025,41.15,41.15,0.3(0.73 %),3225900,131573790000,0,0,40.8,41.2,40.35
01/08/2025,40.85,40.85,-0.15(-0.37 %),4071300,167156125000,0,0,40.6,42.05,40.1
31/07/2025,41.0,41.0,0.15(0.37 %),5620000,227575035000,0,0,41.15,41.5,39.9
30/07/2025,40.85,40.85,-0.2(-0.49 %),7531500,306993300000,0,0,41.1,41.7,39.9
29/07/2025,41.05,41.05,-3.05(-6.92 %),12863400,548182840000,0,0,45.1,45.1,41.05
28/07/2025,44.1,44.1,2.3(5.50 %),9578100,418572095000,0,0,42.9,44.5,42.8
25/07/2025,41.8,41.8,1.3(3.21 %),10113200,420068055000,0,0,40.75,42.4,40.6
24/07/2025,40.5,40.5,-0.55(-1.34 %),5562900,225705895000,0,0,41.3,41.35,40.2
23/07/2025,41.05,41.05,0.35(0.86 %),7994200,330534050000,0,0,41.0,41.95,40.65
22/07/2025,40.7,40.7,0.7(1.75 %),5181600,209264355000,0,0,39.9,41.0,39.65
21/07/2025,40.0,40.0,-1.1(-2.68 %),8279500,334544485000,0,0,41.1,41.4,40.0
18/07/2025,41.1,41.1,-0.05(-0.12 %),7398200,305768150000,0,0,40.95,42.15,40.9
17/07/2025,41.15,41.15,-0.4(-0.96 %),5613600,232409110000,0,0,41.8,42.3,41.0
16/07/2025,41.55,41.55,0.4(0.97 %),8081700,333941075000,0,0,41.15,42.05,40.75
15/07/2025,41.15,41.15,-0.65(-1.56 %),9185300,387388095000,0,0,42.0,43.25,41.1
14/07/2025,41.8,41.8,0.9(2.20 %),6489700,270419855000,0,0,41.05,43.1,40.05
11/07/2025,40.9,40.9,0.85(2.12 %),10693000,433777610000,0,0,40.05,41.75,39.35
10/07/2025,40.05,40.05,-0.45(-1.11 %),5679100,228219900000,0,0,40.6,40.65,39.95
09/07/2025,40.5,40.5,0.5(1.25 %),8445800,345574230000,0,0,40.05,41.5,40.0
08/07/2025,40.0,40.0,0.1(0.25 %),6611900,266101655000,200000,7980000000,40.25,40.95,39.9
07/07/2025,39.9,39.9,0.5(1.27 %),5115700,203178765000,163400,6437960000,39.75,40.2,39.4
04/07/2025,39.4,39.4,-0.4(-1.01 %),5099100,201895400000,246000,9790800000,40.2,40.5,39.2
03/07/2025,39.8,39.8,-0.05(-0.13 %),8379500,336945275000,758676,28284379600,39.9,40.95,38.9
02/07/2025,39.85,39.85,2.6(6.98 %),11671700,453399105000,178500,7113225000,37.3,39.85,37.2
01/07/2025,37.25,37.25,-0.45(-1.19 %),2712000,101263725000,146000,5504200000,37.8,37.8,37.1
30/06/2025,37.7,37.7,0.5(1.34 %),3702900,140718885000,40000,1488000000,37.85,38.5,37.65
27/06/2025,37.2,37.2,0.2(0.54 %),3023200,112639555000,394200,15361110000,37.25,37.65,36.9
26/06/2025,37.0,37.0,-0.6(-1.60 %),3773600,140271655000,115500,4342800000,37.55,37.75,36.95
25/06/2025,37.6,37.6,0.05(0.13 %),4108700,155275080000,0,0,37.6,38.4,37.25
24/06/2025,37.55,37.55,1.1(3.02 %),8474700,318570920000,215500,7854975000,36.95,38.3,36.8
23/06/2025,36.45,36.45,-0.35(-0.95 %),2186100,79153875000,143200,5269760000,36.25,36.45,36.0
20/06/2025,36.8,36.8,0.45(1.24 %),4318300,159665725000,237000,8614950000,36.6,37.5,36.6
19/06/2025,36.35,36.35,0(0.00 %),1458200,52758255000,80100,2911635000,36.3,36.45,36.05
18/06/2025,36.35,36.35,0.15(0.41 %),2909500,106129595000,237000,8579400000,36.2,36.85,36.05
17/06/2025,36.2,36.2,-0.2(-0.55 %),1977100,71813825000,80000,2912000000,36.9,36.9,36.0
16/06/2025,36.4,36.4,0.85(2.39 %),2178200,78044755000,150000,5332500000,35.35,36.4,35.2
13/06/2025,35.55,35.55,-1.05(-2.87 %),5465400,194849295000,0,0,36.0,36.25,35.0
12/06/2025,36.6,36.6,0.4(1.10 %),2186200,80151490000,0,0,36.4,37.0,36.35
11/06/2025,36.2,36.2,0.25(0.70 %),1737400,62706510000,0,0,36.05,36.25,35.85
10/06/2025,35.95,35.95,0.1(0.28 %),2097900,76051020000,0,0,36.0,36.55,35.85
09/06/2025,35.85,35.85,-0.25(-0.69 %),2629500,95332420000,0,0,36.1,36.65,35.85
06/06/2025,36.1,36.1,-0.8(-2.17 %),4101900,149667490000,0,0,36.95,37.3,36.0
05/06/2025,36.9,36.9,-0.65(-1.73 %),3724700,138529990000,25000,943750000,37.6,37.9,36.85
04/06/2025,37.55,37.55,-0.65(-1.70 %),4456800,167827770000,0,0,38.3,38.35,37.25
03/06/2025,38.2,38.2,0.6(1.60 %),6687400,258515680000,0,0,38.6,39.4,38.0
02/06/2025,37.6,37.6,1.1(3.01 %),3420400,127629500000,0,0,36.5,37.7,36.5
30/05/2025,36.5,36.5,0.2(0.55 %),6852700,255515250000,0,0,36.3,38.3,36.1
29/05/2025,36.3,36.3,-0.7(-1.89 %),3365800,123471110000,0,0,37.45,37.45,36.2
28/05/2025,37.0,37.0,0.35(0.95 %),5160200,192771240000,0,0,37.05,37.8,36.6
27/05/2025,36.65,36.65,0.7(1.95 %),4651800,170418555000,0,0,36.3,37.15,36.05
26/05/2025,35.95,35.95,1.75(5.12 %),5372500,189010555000,0,0,34.4,36.2,33.15
23/05/2025,34.2,34.2,-0.6(-1.72 %),2497500,86104385000,0,0,34.65,35.1,34.2
22/05/2025,34.8,34.8,-0.2(-0.57 %),3039900,106885535000,0,0,34.65,35.7,34.65
21/05/2025,35.0,35.0,-0.2(-0.57 %),2643300,92733095000,0,0,35.55,35.7,34.75
20/05/2025,35.2,35.2,0.05(0.14 %),2558500,90266780000,0,0,35.15,35.9,34.75
19/05/2025,35.15,35.15,-1.05(-2.90 %),3485700,123640905000,0,0,36.0,36.0,35.15
16/05/2025,36.2,36.2,0(0.00 %),4197600,153330710000,0,0,36.3,36.85,36.1
15/05/2025,36.2,36.2,0.1(0.28 %),3547600,129053970000,0,0,36.8,36.85,36.1
14/05/2025,36.1,36.1,0.85(2.41 %),4008800,143984320000,0,0,36.05,36.2,35.55
13/05/2025,39.3,39.3,1(2.61 %),6463500,256471115000,0,0,39.0,40.5,38.9
12/05/2025,38.3,38.3,0.05(0.13 %),2934700,112124055000,0,0,38.5,38.65,37.95
09/05/2025,38.25,38.25,-0.5(-1.29 %),2408500,92922995000,0,0,39.1,39.1,38.1
08/05/2025,38.75,38.75,1.2(3.20 %),3963200,152141910000,0,0,37.9,38.8,37.8
07/05/2025,37.55,37.55,-0.45(-1.18 %),2133100,80504145000,0,0,38.2,38.2,37.5
06/05/2025,38.0,38.0,-0.05(-0.13 %),3481800,133801340000,0,0,38.5,39.0,37.8
05/05/2025,38.05,38.05,0.65(1.74 %),2026200,76744515000,0,0,37.9,38.15,37.5
29/04/2025,37.4,37.4,-0.4(-1.06 %),1938600,73090000000,0,0,38.1,38.1,37.4
28/04/2025,37.8,37.8,1.15(3.14 %),4072600,151871000000,0,0,36.65,38.25,36.15
25/04/2025,36.65,36.65,-0.2(-0.54 %),3191300,117185000000,0,0,37.25,37.25,36.15
24/04/2025,36.85,36.85,0.7(1.94 %),3894300,144661000000,0,0,36.2,38.3,36.2
23/04/2025,36.15,36.15,0.65(1.83 %),3158900,114010000000,0,0,36.7,36.7,35.55
22/04/2025,35.5,35.5,-2.1(-5.59 %),7375900,263161000000,0,0,37.2,37.6,35.0
21/04/2025,37.6,37.6,-1.8(-4.57 %),3369000,128735000000,0,0,39.6,39.7,37.6
18/04/2025,39.4,39.4,0.05(0.13 %),3819600,152800000000,0,0,40.0,40.65,39.4
17/04/2025,39.35,39.35,0.35(0.90 %),2941400,113604000000,0,0,36.5,39.9,36.5
16/04/2025,39.0,39.0,-2.05(-4.99 %),6255900,250239000000,0,0,41.05,41.5,39.0
15/04/2025,41.05,41.05,-1.95(-4.53 %),4230900,176143000000,0,0,42.8,42.8,41.0
14/04/2025,43.0,43.0,0.3(0.70 %),5355400,228461000000,0,0,42.7,43.8,41.85
11/04/2025,42.7,42.7,1.95(4.79 %),9968600,413513000000,0,0,41.7,42.9,40.0
10/04/2025,40.75,40.75,2.65(6.96 %),251900,10264000000,0,0,40.75,40.75,40.75
09/04/2025,38.1,38.1,-2.85(-6.96 %),10174200,389122000000,0,0,38.1,39.7,38.1
08/04/2025,40.95,40.95,-3.05(-6.93 %),2609800,106901000000,0,0,40.95,41.55,40.95
04/04/2025,44.0,44.0,-3(-6.38 %),10238500,450193000000,0,0,43.75,45.8,43.75
03/04/2025,47.0,47.0,-3.5(-6.93 %),6559200,311538000000,0,0,47.1,49.0,47.0
02/04/2025,50.5,50.5,0.2(0.40 %),3200100,162910000000,0,0,50.6,51.6,50.2
01/04/2025,50.3,50.3,-0.3(-0.59 %),2689100,134922000000,0,0,50.8,50.9,49.6
31/03/2025,50.6,50.6,0.6(1.20 %),3838400,193646000000,0,0,49.6,50.9,49.6
28/03/2025,50.0,50.0,0.7(1.42 %),3221600,160319000000,0,0,49.6,50.8,48.7
27/03/2025,49.3,49.3,-0.2(-0.40 %),2518100,124495000000,0,0,49.5,50.1,49.1
26/03/2025,49.5,49.5,-1.3(-2.56 %),3345500,167124000000,0,0,50.5,50.9,49.1
25/03/2025,50.8,50.8,-0.7(-1.36 %),3000900,153379000000,0,0,52.0,52.0,50.5
24/03/2025,51.5,51.5,1.2(2.39 %),2898300,146900000000,0,0,50.1,51.5,49.8
21/03/2025,50.3,50.3,0(0.00 %),1603800,80917000000,0,0,50.2,50.8,50.1
20/03/2025,50.3,50.3,-0.1(-0.20 %),3363300,170490000000,0,0,50.6,51.9,49.9
19/03/2025,50.4,50.4,0.75(1.51 %),2560300,128402000000,0,0,49.55,50.9,49.5
