Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
27/10/2021,22.64,27.3,0(0.00 %),0,0,0,0,27.3,27.3,27.3
28/10/2021,20.57,24.8,-2.5(-9.16 %),200,4960000,0,0,24.8,24.8,24.8
29/10/2021,22.31,26.9,2.1(8.47 %),2200,54570000,0,0,24.8,26.9,24.3
01/11/2021,22.31,26.9,0(0.00 %),0,0,0,0,26.9,26.9,26.9
02/11/2021,20.74,25.0,-1.9(-7.06 %),100,2500000,0,0,25.0,25.0,25.0
03/11/2021,20.74,25.0,0(0.00 %),500,12500000,0,0,25.0,25.0,25.0
04/11/2021,21.48,25.9,0.9(3.60 %),200,5090000,0,0,25.0,25.9,25.0
05/11/2021,22.06,26.6,0.7(2.70 %),500,13090000,20,468000,25.9,26.6,25.9
08/11/2021,22.06,26.6,0(0.00 %),2900,74980000,0,0,24.6,26.6,24.6
09/11/2021,22.98,27.7,1.1(4.14 %),3106,82949600,0,0,26.6,27.7,26.6
10/11/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
11/11/2021,22.23,26.8,-0.9(-3.25 %),6500,172920000,0,0,26.6,26.8,26.6
12/11/2021,22.06,26.6,-0.2(-0.75 %),6700,178300000,0,0,26.6,26.9,26.6
15/11/2021,22.06,26.6,0(0.00 %),6300,167690000,0,0,27.7,27.7,26.6
16/11/2021,22.06,26.6,0(0.00 %),800,21690000,0,0,27.5,27.5,26.6
17/11/2021,22.23,26.8,0.2(0.75 %),1400,37330000,0,0,26.6,26.8,26.6
18/11/2021,22.98,27.7,0.9(3.36 %),100,2770000,0,0,27.7,27.7,27.7
19/11/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
22/11/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
23/11/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
24/11/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
25/11/2021,22.64,27.3,-0.4(-1.44 %),1200,32760000,0,0,27.3,27.3,27.3
26/11/2021,22.64,27.3,0(0.00 %),0,0,0,0,27.3,27.3,27.3
29/11/2021,20.9,25.2,-2.1(-7.69 %),2600,65760000,0,0,26.0,26.0,25.2
30/11/2021,22.56,27.2,2(7.94 %),2000,54400000,0,0,27.2,27.2,27.2
01/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
02/12/2021,22.56,27.2,0(0.00 %),2100,57120000,0,0,27.2,27.2,27.2
03/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
06/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
07/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
08/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
09/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
10/12/2021,22.56,27.2,0(0.00 %),0,0,0,0,27.2,27.2,27.2
13/12/2021,22.56,27.2,0(0.00 %),1,27200,0,0,27.2,27.2,27.2
14/12/2021,22.48,27.1,-0.1(-0.37 %),201,5449900,0,0,27.1,27.1,27.1
15/12/2021,22.48,27.1,0(0.00 %),1,27100,0,0,27.1,27.1,27.1
16/12/2021,22.98,27.7,0.6(2.21 %),100,2770000,0,0,27.7,27.7,27.7
17/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
20/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
21/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
22/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
23/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
24/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
27/12/2021,22.98,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
28/12/2021,23.14,27.9,0.2(0.72 %),200,5580000,0,0,27.9,27.9,27.9
29/12/2021,23.14,27.9,0(0.00 %),0,0,0,0,27.9,27.9,27.9
30/12/2021,23.14,27.9,0(0.00 %),0,0,0,0,27.9,27.9,27.9
31/12/2021,20.9,25.2,-2.7(-9.68 %),100,2520000,0,0,25.2,25.2,25.2
04/01/2022,19.91,24.0,-1.2(-4.76 %),1300,30800000,0,0,23.6,24.0,23.6
05/01/2022,19.91,24.0,0(0.00 %),0,0,0,0,24.0,24.0,24.0
06/01/2022,18.0,21.7,-2.3(-9.58 %),803,17425100,0,0,21.7,21.7,21.7
07/01/2022,18.0,21.7,0(0.00 %),0,0,0,0,21.7,21.7,21.7
10/01/2022,18.0,21.7,0(0.00 %),0,0,0,0,21.7,21.7,21.7
11/01/2022,18.0,21.7,0(0.00 %),0,0,0,0,21.7,21.7,21.7
12/01/2022,19.74,23.8,2.1(9.68 %),3800,90440000,0,0,23.8,23.8,23.8
13/01/2022,18.08,21.8,-2(-8.40 %),100,2180000,0,0,21.8,21.8,21.8
14/01/2022,19.82,23.9,2.1(9.63 %),501,11973900,0,0,23.9,23.9,23.9
17/01/2022,19.82,23.9,0(0.00 %),4,104800,0,0,23.9,23.9,23.9
18/01/2022,18.08,21.8,-2.1(-8.79 %),400,8690000,0,0,21.7,21.8,21.7
19/01/2022,19.82,23.9,2.1(9.63 %),102200,2440550000,0,0,23.9,23.9,19.8
