Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
12/10/2009,25.46,30.0,5.5(22.45 %),418800,11262830000.0,0,0,24.5,30.0,22.0
13/10/2009,22.83,26.9,0(0.00 %),266500,7271900000.0,595000,14934500000,28.7,28.7,25.5
14/10/2009,21.56,25.4,-1.9(-6.96 %),71800,1823910000.0,0,0,26.0,26.0,25.4
15/10/2009,20.46,24.1,-1.3(-5.12 %),762200,18268310000.0,0,0,25.4,26.0,23.7
16/10/2009,19.1,22.5,-1.5(-6.25 %),443400,9999550000.0,0,0,24.0,24.0,22.4
19/10/2009,18.84,22.2,-0.4(-1.77 %),325000,7247040000.0,416500,8788150000,23.0,23.0,21.5
20/10/2009,20.2,23.8,1.5(6.73 %),375400,8508600000.0,75000,1560000000,23.0,23.8,22.2
21/10/2009,20.54,24.2,1.5(6.61 %),238000,5737970000.0,0,0,24.0,24.2,23.2
22/10/2009,21.48,25.3,1.2(4.98 %),442500,11171120000.0,0,0,25.5,25.7,24.6
23/10/2009,19.95,23.5,-1.7(-6.75 %),165100,3913740000.0,0,0,25.3,25.3,23.5
26/10/2009,19.35,22.8,-0.9(-3.80 %),372500,8343340000.0,0,0,23.7,25.0,22.1
27/10/2009,18.42,21.7,-0.7(-3.12 %),184400,3955650000.0,0,0,21.1,22.0,21.1
28/10/2009,19.18,22.6,1.1(5.12 %),160300,3599970000.0,0,0,20.2,23.0,20.1
29/10/2009,17.83,21.0,-1.5(-6.67 %),98200,2062450000.0,25000,555000000,21.0,22.0,21.0
30/10/2009,18.25,21.5,0.5(2.38 %),111400,2371900000.0,0,0,21.5,22.0,20.7
02/11/2009,16.89,19.9,-1.4(-6.57 %),38300,766210000.0,0,0,21.0,21.0,19.9
03/11/2009,15.79,18.6,-1.4(-7.00 %),34500,653340000.0,20000,372000000,19.9,20.0,18.6
04/11/2009,14.94,17.6,-1.3(-6.88 %),97600,1728450000.0,0,0,18.0,18.6,17.6
05/11/2009,15.28,18.0,0.3(1.69 %),176800,3113600000.0,0,0,18.0,18.4,16.6
06/11/2009,14.94,17.6,0(0.00 %),108600,1952480000.0,0,0,18.6,18.8,17.5
09/11/2009,14.26,16.8,-1.2(-6.67 %),77800,1315180000.0,0,0,16.9,17.3,16.8
10/11/2009,13.5,15.9,-1(-5.92 %),91800,1457510000.0,10000,158000000,16.8,16.8,15.8
11/11/2009,13.67,16.1,0.2(1.26 %),46600,744630000.0,0,0,16.9,16.9,15.2
12/11/2009,14.43,17.0,1(6.25 %),90600,1517890000.0,0,0,16.5,17.1,16.3
13/11/2009,14.09,16.6,-0.2(-1.19 %),97700,1594700000.0,0,0,17.0,17.0,15.9
