Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
GIL,02/11/2022,9900,0,281160000,0
GIL,03/11/2022,80000,300,2110000000,8230000
GIL,09/11/2022,0,200,0,4180000
GIL,30/11/2022,0,100,0,2590000
GIL,14/12/2022,0,100,0,2820000
GIL,15/12/2022,0,109900,0,2887875000
GIL,11/01/2023,0,300,0,5715000
GIL,16/01/2023,0,100,0,1870000
GIL,06/03/2023,0,100,0,1915000
GIL,30/03/2023,0,1400,0,26740000
GIL,19/04/2023,0,100,0,2310000
GIL,07/06/2023,0,100,0,2670000
GIL,22/06/2023,0,100,0,2755000
GIL,23/06/2023,0,400,0,11020000
GIL,13/07/2023,0,100,0,3130000
GIL,02/08/2023,0,200,0,6500000
GIL,09/08/2023,0,200,0,6590000
GIL,16/08/2023,0,100,0,3035000
GIL,23/08/2023,0,100,0,2820000
GIL,27/11/2023,0,100,0,2475000
GIL,29/05/2024,8000,0,279550000,0
GIL,30/05/2024,1000,0,34600000,0
GIL,31/05/2024,1500,0,52100000,0
GIL,03/06/2024,3500,0,127775000,0
GIL,04/06/2024,1000,0,36400000,0
GIL,05/06/2024,4000,0,144200000,0
GIL,07/06/2024,1000,0,36250000,0
GIL,25/06/2024,0,20000,0,649160000
GIL,22/05/2025,0,72,0,1181000
GIL,09/07/2025,0,15,0,287000
GIL,06/08/2025,0,114,0,2181000
