Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
17/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
18/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
19/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
20/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
21/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
24/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
25/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
26/07/2017,0,0,0(0.00 %),0,0,0,0,2205000,0.0
27/07/2017,0,0,18(-8.63 %),0,0,0,0,2205000,0.0
28/07/2017,0,0,16.2(-10.00 %),0,0,0,0,2205000,0.0
31/07/2017,0,0,15.5(-4.32 %),0,0,0,0,2205000,0.0
01/08/2017,0,0,15.7(1.29 %),0,0,0,0,2205000,0.0
02/08/2017,0,0,15.8(0.64 %),0,0,0,0,2205000,0.0
03/08/2017,5000,81500000,15.3(-3.16 %),5000,81500000,0,0,2200000,0.11
04/08/2017,0,0,15.4(0.65 %),0,0,0,0,2200000,0.11
07/08/2017,0,0,15.3(-0.65 %),0,0,0,0,2200000,0.11
08/08/2017,0,0,15.2(-0.65 %),0,0,0,0,2200000,0.11
09/08/2017,0,0,15.1(-0.66 %),0,0,0,0,2200000,0.11
10/08/2017,-5000,-74720000,15.2(0.66 %),0,0,5000,74720000,2200000,0.11
11/08/2017,0,0,15.3(0.66 %),0,0,0,0,2200000,0.11
14/08/2017,0,0,14.8(-3.27 %),0,0,0,0,2200000,0.11
15/08/2017,0,0,15(1.35 %),0,0,0,0,2205000,0.0
16/08/2017,0,0,14.8(-1.33 %),0,0,0,0,2205000,0.0
17/08/2017,0,0,14.8(0.00 %),0,0,0,0,2205000,0.0
18/08/2017,0,0,14.7(-0.68 %),0,0,0,0,2205000,0.0
21/08/2017,0,0,14.8(0.68 %),0,0,0,0,2205000,0.0
22/08/2017,0,0,14.7(-0.68 %),0,0,0,0,2205000,0.0
23/08/2017,0,0,14.9(1.36 %),0,0,0,0,2205000,0.0
24/08/2017,0,0,14.8(-0.67 %),0,0,0,0,2205000,0.0
25/08/2017,0,0,14.8(0.00 %),0,0,0,0,2205000,0.0
28/08/2017,0,0,15.2(2.70 %),0,0,0,0,2205000,0.0
29/08/2017,0,0,15.5(1.97 %),0,0,0,0,2205000,0.0
30/08/2017,0,0,14.5(0.00 %),0,0,0,0,2205000,0.0
31/08/2017,0,0,14.6(0.69 %),0,0,0,0,2205000,0.0
01/09/2017,0,0,14.5(-0.68 %),0,0,0,0,2205000,0.0
05/09/2017,0,0,14.7(1.38 %),0,0,0,0,2205000,0.0
06/09/2017,0,0,14.6(-0.68 %),0,0,0,0,2205000,0.0
07/09/2017,0,0,14.6(0.00 %),0,0,0,0,2205000,0.0
