Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
27/12/2021,0,0,0(0.00 %),0,0,0,0,8250000,0.0
28/12/2021,0,0,0(0.00 %),0,0,0,0,8250000,0.0
29/12/2021,0,0,0(0.00 %),0,0,0,0,8250000,0.0
30/12/2021,0,0,0(0.00 %),0,0,0,0,8250000,0.0
31/12/2021,0,0,0(0.00 %),0,0,0,0,8250000,0.0
04/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
05/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
06/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
07/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
10/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
11/01/2022,0,0,0(0.00 %),0,0,0,0,8250000,0.0
12/01/2022,7000,184800000,0(0.00 %),7000,184800000,0,0,8243000,0.0
13/01/2022,0,0,28.2(6.82 %),0,0,0,0,8243000,0.0
14/01/2022,3000,90300000,26.25(-6.91 %),3000,90300000,0,0,8240000,0.06
17/01/2022,0,0,24.45(-6.86 %),0,0,0,0,8240000,0.06
18/01/2022,0,0,22.75(-6.95 %),0,0,0,0,8240000,0.06
19/01/2022,0,0,21.2(-7.02 %),0,0,0,0,8240000,0.06
20/01/2022,0,0,19.75(-6.84 %),0,0,0,0,8240000,0.06
21/01/2022,0,0,18.4(-7.07 %),0,0,0,0,8240000,0.06
24/01/2022,1500,25725000,18.5(0.54 %),1500,25725000,0,0,8238500,0.07
25/01/2022,-3000,-57000000,19.4(4.86 %),0,0,3000,57000000,8238500,0.07
26/01/2022,0,0,18.6(-4.12 %),0,0,0,0,8238500,0.07
27/01/2022,0,0,18.6(0.00 %),0,0,0,0,8241500,0.05
28/01/2022,0,0,19(2.15 %),0,0,0,0,8241500,0.05
07/02/2022,0,0,19.2(1.05 %),0,0,0,0,8241500,0.05
08/02/2022,0,0,19.2(0.00 %),0,0,0,0,8241500,0.05
09/02/2022,0,0,18.6(-3.12 %),0,0,0,0,8241500,0.05
10/02/2022,100,1860000,18.8(1.08 %),100,1860000,0,0,8241400,0.05
11/02/2022,0,0,18.8(0.00 %),0,0,0,0,8241400,0.05
14/02/2022,0,0,18.8(0.00 %),0,0,0,0,8241400,0.05
15/02/2022,0,0,18.5(-1.60 %),0,0,0,0,8241400,0.05
16/02/2022,0,0,18.3(-1.08 %),0,0,0,0,8241400,0.05
17/02/2022,0,0,18.7(2.19 %),0,0,0,0,8241400,0.05
18/02/2022,0,0,18.65(-0.27 %),0,0,0,0,8241400,0.05
21/02/2022,0,0,18.8(0.53 %),0,0,0,0,8241400,0.05
22/02/2022,0,0,18.85(0.27 %),0,0,0,0,8241400,0.05
23/02/2022,0,0,18.95(0.26 %),0,0,0,0,8241400,0.05
24/02/2022,0,0,18.8(-1.05 %),0,0,0,0,8241400,0.05
25/02/2022,0,0,19.1(1.60 %),0,0,0,0,8241400,0.05
28/02/2022,0,0,20.4(6.81 %),0,0,0,0,8241400,0.05
01/03/2022,100,2125000,21.8(6.86 %),100,2125000,0,0,8241300,0.05
02/03/2022,-100,-2230000,21.95(0.69 %),0,0,100,2230000,8241300,0.05
03/03/2022,100,2140000,21.3(-3.18 %),100,2140000,0,0,8241200,0.05
04/03/2022,-100,-2135000,21.75(2.11 %),0,0,100,2135000,8241300,0.05
07/03/2022,0,0,21.6(-0.92 %),0,0,0,0,8241300,0.05
08/03/2022,0,0,21.55(-0.23 %),0,0,0,0,8241400,0.05
09/03/2022,0,0,23.05(6.71 %),0,0,0,0,8241400,0.05
10/03/2022,0,0,23.8(3.03 %),0,0,0,0,8241400,0.05
11/03/2022,0,0,23.3(-2.10 %),0,0,0,0,8241400,0.05
14/03/2022,0,0,22.6(-3.00 %),0,0,0,0,8241400,0.05
15/03/2022,0,0,23(1.77 %),0,0,0,0,8241400,0.05
16/03/2022,0,0,23.6(2.61 %),0,0,0,0,8241400,0.05
17/03/2022,0,0,24(1.69 %),0,0,0,0,8241400,0.05
18/03/2022,0,0,23.6(-1.67 %),0,0,0,0,8241400,0.05
21/03/2022,0,0,23.6(0.00 %),0,0,0,0,8241400,0.05
22/03/2022,0,0,23.9(1.27 %),0,0,0,0,8241400,0.05
23/03/2022,0,0,24.2(1.26 %),0,0,0,0,8241400,0.05
24/03/2022,100,2300000,22.85(-1.51 %),100,2300000,0,0,8241300,0.05
25/03/2022,0,0,23.9(4.37 %),0,0,0,0,8241300,0.05
28/03/2022,0,0,23.95(0.21 %),0,0,0,0,8241300,0.05
29/03/2022,0,0,23.8(-0.83 %),0,0,0,0,8241300,0.05
30/03/2022,0,0,23.35(-1.89 %),0,0,0,0,8241300,0.05
31/03/2022,0,0,22.55(-3.63 %),0,0,0,0,8241300,0.05
01/04/2022,0,0,22.5(-0.44 %),0,0,0,0,8241300,0.05
04/04/2022,0,0,23.4(4.00 %),0,0,0,0,8241300,0.05
05/04/2022,0,0,22.9(-2.14 %),0,0,0,0,8241300,0.05
06/04/2022,0,0,22.4(-2.18 %),0,0,0,0,8241300,0.05
07/04/2022,0,0,22.1(-1.34 %),0,0,0,0,8241300,0.0
08/04/2022,0,0,22.1(0.00 %),0,0,0,0,8241300,0.05
12/04/2022,0,0,21.7(-1.81 %),0,0,0,0,8241300,0.0
13/04/2022,0,0,21.05(-3.00 %),0,0,0,0,8241300,0.05
14/04/2022,0,0,21.4(1.42 %),0,0,0,0,8241300,0.05
15/04/2022,0,0,21.4(0.00 %),0,0,0,0,8241300,0.05
18/04/2022,0,0,20.5(-4.21 %),0,0,0,0,8241300,0.05
19/04/2022,0,0,21.25(3.66 %),0,0,0,0,8241300,0.05
20/04/2022,0,0,21.2(-0.24 %),0,0,0,0,8241300,0.0
21/04/2022,0,0,20.65(-2.59 %),0,0,0,0,8241300,0.05
22/04/2022,0,0,20.9(1.21 %),0,0,0,0,8241300,0.05
25/04/2022,0,0,20.45(-2.15 %),0,0,0,0,8241300,0.05
26/04/2022,0,0,20.65(0.73 %),0,0,0,0,8241300,0.05
27/04/2022,0,0,21(1.45 %),0,0,0,0,8241300,0.05
28/04/2022,2000,42600000,21.1(0.48 %),2000,42600000,0,0,8239300,0.06
29/04/2022,0,0,21.3(0.95 %),0,0,0,0,8239300,0.06
04/05/2022,0,0,21.3(0.00 %),0,0,0,0,8239300,0.06
05/05/2022,0,0,21.3(0.00 %),0,0,0,0,8239300,0.0
06/05/2022,-2200,-46750000,21.25(-0.23 %),0,0,2200,46750000,8239300,0.06
09/05/2022,100,2050000,20.5(-3.76 %),100,2050000,0,0,8239200,0.07
10/05/2022,0,0,20.55(3.27 %),0,0,0,0,8241400,0.05
11/05/2022,0,0,20.6(0.24 %),0,0,0,0,8241400,0.0
12/05/2022,0,0,20.25(-1.70 %),0,0,0,0,8241400,0.0
13/05/2022,-1200,-23760000,18.85(-6.91 %),0,0,1200,23760000,8241400,0.05
16/05/2022,0,0,17.55(-7.14 %),0,0,0,0,8241400,0.05
17/05/2022,0,0,18.3(3.98 %),0,0,0,0,8242600,0.04
18/05/2022,0,0,17.9(-2.19 %),0,0,0,0,8242600,0.04
19/05/2022,0,0,17.8(-0.56 %),0,0,0,0,8242600,0.04
20/05/2022,0,0,17.7(-0.56 %),0,0,0,0,8242600,0.04
23/05/2022,0,0,17.4(-1.69 %),0,0,0,0,8242600,0.04
24/05/2022,0,0,16.6(-4.60 %),0,0,0,0,8242600,0.04
25/05/2022,0,0,15.6(-6.02 %),0,0,0,0,8242600,0.04
26/05/2022,200,3300000,16.5(5.77 %),200,3300000,0,0,8242400,0.05
27/05/2022,0,3300000,16.6(0.61 %),0,3300000,0,0,8242400,0.05
30/05/2022,100,1650000,16.5(-0.60 %),100,1650000,0,0,8242300,0.05
31/05/2022,500,8300000,16.6(0.61 %),500,8300000,0,0,8241800,0.05
01/06/2022,-200,-3280000,16.4(-1.20 %),0,0,200,3280000,8241800,0.05
02/06/2022,-100,-1640000,16.4(0.00 %),0,0,100,1640000,8241800,0.05
03/06/2022,-500,-8125000,16.25(-0.91 %),0,0,500,8125000,8242000,0.05
06/06/2022,0,0,16.2(-0.61 %),0,0,0,0,8242100,0.05
07/06/2022,0,-8125000,16.2(0.00 %),0,0,0,8125000,8242600,0.04
08/06/2022,0,-8125000,17.3(6.79 %),0,0,0,8125000,8242600,0.04
09/06/2022,0,-8125000,17.3(0.00 %),0,0,0,8125000,8242600,0.04
10/06/2022,0,-8125000,17.1(-1.16 %),0,0,0,8125000,8242600,0.04
13/06/2022,0,-8125000,16.6(-2.92 %),0,0,0,8125000,8242600,0.04
14/06/2022,200,3320000,16.6(0.00 %),200,3320000,0,0,8242400,0.05
15/06/2022,0,3320000,16.25(-2.11 %),0,3320000,0,0,8242400,0.05
16/06/2022,200,3300000,16.5(1.23 %),200,3300000,0,0,8242200,0.05
17/06/2022,-200,-3280000,16.4(-0.61 %),0,0,200,3280000,8242200,0.05
20/06/2022,0,0,16.1(-1.83 %),0,0,0,0,8242200,0.05
21/06/2022,-200,-3240000,16.2(0.62 %),0,0,200,3240000,8242400,0.05
22/06/2022,0,-3240000,17(4.94 %),0,0,0,3240000,8242400,0.05
