Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
21/02/2017,8.43,16.0,3.5(28.00 %),3100,46600000,0,0,15.0,16.0,15.0
22/02/2017,9.06,17.2,2.2(14.67 %),200,3370000,0,0,16.5,17.2,16.5
23/02/2017,8.91,16.9,0(0.00 %),0,0,0,0,16.9,16.9,16.9
24/02/2017,9.49,18.0,1.1(6.51 %),100,1800000,0,0,18.0,18.0,18.0
27/02/2017,9.49,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
28/02/2017,9.49,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/03/2017,8.06,15.3,-2.7(-15.00 %),500,7650000,0,0,15.3,15.3,15.3
02/03/2017,8.06,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
03/03/2017,8.06,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
06/03/2017,8.06,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
07/03/2017,8.06,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
08/03/2017,8.06,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
09/03/2017,7.9,15.0,-0.3(-1.96 %),6000,90010000,0,0,15.1,15.1,15.0
10/03/2017,7.9,15.0,0(0.00 %),12000,180000000,0,0,15.0,15.0,15.0
13/03/2017,7.96,15.1,0.1(0.67 %),13200,198100000,0,0,15.0,15.1,15.0
14/03/2017,8.01,15.2,0.2(1.33 %),500,7600000,0,0,15.2,15.2,15.2
15/03/2017,7.8,14.8,-0.4(-2.63 %),3600,53980000,0,0,15.0,15.0,14.8
16/03/2017,8.01,15.2,0.2(1.33 %),3400,52750000,40000,640000000,15.0,16.5,15.0
17/03/2017,8.01,15.2,-0.3(-1.94 %),15800,244750000,0,0,15.5,15.5,15.2
20/03/2017,8.22,15.6,0.1(0.65 %),27300,427350000,0,0,15.5,15.7,15.5
21/03/2017,8.17,15.5,-0.2(-1.27 %),6600,103600000,0,0,15.7,15.7,15.5
22/03/2017,8.43,16.0,0.3(1.91 %),7500,118300000,0,0,15.7,16.0,15.7
23/03/2017,8.12,15.4,-0.4(-2.53 %),600,9220000,0,0,15.2,15.4,15.2
24/03/2017,8.38,15.9,0.5(3.25 %),4700,73930000,0,0,15.7,15.9,15.7
27/03/2017,8.43,16.0,0.3(1.91 %),3500,56000000,0,0,16.0,16.0,16.0
28/03/2017,8.38,15.9,-0.1(-0.62 %),3100,49590000,0,0,16.0,16.0,15.9
29/03/2017,8.43,16.0,0(0.00 %),2800,44800000,0,0,16.0,16.0,16.0
30/03/2017,7.9,15.0,-1(-6.25 %),3600,56040000,0,0,16.4,16.4,15.0
31/03/2017,8.06,15.3,-0.3(-1.92 %),7015,108440000,0,0,15.6,15.6,15.3
03/04/2017,8.17,15.5,0(0.00 %),0,0,0,0,15.5,15.5,15.5
04/04/2017,8.17,15.5,0(0.00 %),0,0,0,0,15.5,15.5,15.5
05/04/2017,9.38,17.8,2.3(14.84 %),20900,359710000,0,0,16.0,17.8,16.0
07/04/2017,10.33,19.6,2.4(13.95 %),1000,19600000,0,0,19.6,19.6,19.6
10/04/2017,11.86,22.5,2.9(14.80 %),2000,45000000,0,0,22.5,22.5,22.5
11/04/2017,11.86,22.5,0(0.00 %),0,0,0,0,22.5,22.5,22.5
12/04/2017,10.17,19.3,-3.2(-14.22 %),721,13976200,0,0,19.3,19.3,19.3
13/04/2017,10.17,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
14/04/2017,10.17,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
17/04/2017,10.17,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
18/04/2017,10.17,19.3,0(0.00 %),100,1930000,0,0,19.3,19.3,19.3
19/04/2017,10.17,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
20/04/2017,9.75,18.5,-0.8(-4.15 %),1100,20430000,0,0,19.3,19.3,18.5
21/04/2017,9.8,18.6,0(0.00 %),15500,288300000,0,0,18.6,18.6,18.6
24/04/2017,11.07,21.0,2.4(12.90 %),100,2100000,0,0,21.0,21.0,21.0
25/04/2017,11.07,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
26/04/2017,9.75,18.5,-2.5(-11.90 %),1600,29600000,0,0,18.5,18.5,18.5
27/04/2017,9.75,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
28/04/2017,9.75,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
03/05/2017,9.75,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
04/05/2017,9.75,18.5,0(0.00 %),2500,46250000,0,0,18.5,18.5,18.5
05/05/2017,9.75,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
08/05/2017,8.33,15.8,-2.7(-14.59 %),30400,483170000,0,0,17.0,17.0,15.8
09/05/2017,7.17,13.6,-2.3(-14.47 %),19600,268780000,0,0,13.6,14.0,13.6
10/05/2017,8.27,15.7,2(14.60 %),100,1570000,0,0,15.7,15.7,15.7
11/05/2017,9.43,17.9,2.2(14.01 %),1700,30120000,0,0,15.9,18.0,15.9
