Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/11/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
01/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
04/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
05/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
06/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
07/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
08/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
11/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
12/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
13/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
14/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
15/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
18/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
19/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
20/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
21/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
22/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
25/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
26/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
27/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
28/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
29/12/2017,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
02/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
03/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
04/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
05/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
08/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
09/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
10/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
11/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
12/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
15/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
16/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
17/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
18/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
19/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
22/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
23/01/2018,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
