Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
16/07/2010,0,0,19.7(-0.51 %),0,0,0,0,14700000,0.0
19/07/2010,0,0,18.7(-3.11 %),0,0,0,0,14700000,0.0
20/07/2010,0,0,18.5(-1.60 %),0,0,0,0,14700000,0.0
21/07/2010,0,0,18.5(-0.54 %),0,0,0,0,14700000,0.0
22/07/2010,0,0,18.8(1.08 %),0,0,0,0,14700000,0.0
23/07/2010,200,3800000,19(1.60 %),200,3800000,0,0,14699800,0.0
26/07/2010,0,0,18.8(0.00 %),0,0,0,0,14699800,0.0
27/07/2010,0,0,19.9(6.99 %),0,0,0,0,14699800,0.0
28/07/2010,0,0,20.5(5.13 %),0,0,0,0,14699800,0.0
29/07/2010,0,0,21(1.45 %),0,0,0,0,14699800,0.0
30/07/2010,0,0,21.5(1.90 %),0,0,0,0,14699800,0.0
02/08/2010,0,0,20.5(-3.30 %),0,0,0,0,14699800,0.0
03/08/2010,0,0,21(1.94 %),0,0,0,0,14699800,0.0
04/08/2010,0,0,21.4(3.88 %),0,0,0,0,14699800,0.0
05/08/2010,1000,22200000,22.2(5.71 %),1000,22200000,0,0,14698800,0.0
06/08/2010,0,0,21.8(-1.80 %),0,0,0,0,14698800,0.0
09/08/2010,0,0,20.9(-5.00 %),0,0,0,0,14698800,0.0
10/08/2010,0,0,21(0.00 %),0,0,0,0,14698800,0.0
11/08/2010,0,0,21.6(5.37 %),0,0,0,0,14698800,0.0
12/08/2010,-1000,-20900000,20.3(-3.33 %),0,0,1000,20900000,14699800,0.0
13/08/2010,0,0,20.8(0.97 %),0,0,0,0,14699800,0.0
16/08/2010,0,0,21.9(6.83 %),0,0,0,0,14699800,0.0
17/08/2010,0,0,21.2(-1.40 %),0,0,0,0,14699800,0.0
18/08/2010,0,0,20.8(-2.35 %),0,0,0,0,14699800,0.0
19/08/2010,2000,40800000,20.6(-1.90 %),2000,40800000,0,0,14697800,0.01
20/08/2010,1000,20500000,20.6(-0.48 %),1000,20500000,0,0,14696800,0.01
23/08/2010,0,0,20.2(-1.46 %),0,0,0,0,14696800,0.01
24/08/2010,0,0,19.1(-6.83 %),0,0,0,0,14696800,0.01
25/08/2010,0,0,18.5(-6.57 %),0,0,0,0,14696800,0.01
26/08/2010,0,0,18.8(-1.05 %),0,0,0,0,14696800,0.01
27/08/2010,0,0,18(-3.23 %),0,0,0,0,14696800,0.01
30/08/2010,0,0,19.9(6.99 %),0,0,0,0,14696800,0.01
31/08/2010,-1000,-20100000,20.3(3.57 %),0,0,1000,20100000,14697800,0.01
01/09/2010,-1000,-20900000,20.3(0.00 %),0,0,1000,20900000,14698800,0.0
06/09/2010,-600,-12600000,20.7(0.98 %),0,0,600,12600000,14698400,0.0
07/09/2010,-400,-8280000,21.1(1.93 %),0,0,400,8280000,14699800,0.0
08/09/2010,0,0,21.9(4.78 %),0,0,0,0,14699800,0.0
09/09/2010,12000,271100000,22.8(6.54 %),12000,271100000,0,0,14687800,0.04
10/09/2010,0,0,22.8(0.88 %),0,0,0,0,14687800,0.04
13/09/2010,0,0,21.6(-6.90 %),0,0,0,0,14687800,0.04
14/09/2010,0,0,20.9(-5.86 %),0,0,0,0,14687800,0.04
15/09/2010,0,0,19.8(-6.16 %),0,0,0,0,14687800,0.04
16/09/2010,-5000,-101500000,20.4(2.00 %),0,0,5000,101500000,14692800,0.02
17/09/2010,0,0,21.6(5.88 %),0,0,0,0,14692800,0.02
20/09/2010,0,0,21.5(0.47 %),0,0,0,0,14692800,0.02
21/09/2010,0,0,20.6(-6.79 %),0,0,0,0,14692800,0.02
22/09/2010,0,0,20(-5.21 %),0,0,0,0,14692800,0.02
23/09/2010,0,0,19(-5.00 %),0,0,0,0,14692800,0.02
24/09/2010,0,0,18.6(-1.59 %),0,0,0,0,14692800,0.02
27/09/2010,0,0,18.5(-1.60 %),0,0,0,0,14692800,0.02
28/09/2010,0,0,18.6(0.00 %),0,0,0,0,14692800,0.02
29/09/2010,0,0,17.9(-4.28 %),0,0,0,0,14692800,0.02
30/09/2010,0,0,17.8(-2.20 %),0,0,0,0,14691800,0.02
01/10/2010,-3000,-51600000,17.6(-0.56 %),0,0,3000,51600000,14694800,0.02
04/10/2010,-1000,-16700000,16.4(-6.82 %),0,0,1000,16700000,14695800,0.01
05/10/2010,0,0,16.7(0.60 %),0,0,0,0,14695800,0.01
06/10/2010,0,0,17(4.29 %),0,0,0,0,14695800,0.01
