Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
HCD,14/12/2022,0,100,0,615000
HCD,30/03/2023,0,500,0,3160000
HCD,01/06/2023,191300,0,1413147000,0
HCD,02/06/2023,105000,0,799746000,0
HCD,05/06/2023,150000,0,1137500000,0
HCD,06/06/2023,50400,0,375438000,0
HCD,07/06/2023,103000,0,778198000,0
HCD,13/07/2023,0,87000,0,801972000
HCD,17/07/2023,0,412700,0,4085091000
HCD,20/07/2023,0,50000,0,500125000
HCD,10/08/2023,0,100,0,969000
HCD,11/08/2023,0,50000,0,480667000
HCD,23/11/2023,0,100,0,741000
HCD,15/12/2023,0,100,0,790000
HCD,27/12/2023,0,100,0,782000
HCD,02/02/2024,0,700,0,6636000
HCD,29/02/2024,0,100,0,995000
HCD,06/08/2025,0,214,0,1623000
