Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/01/2018,5009910,189541240000,0(0.00 %),5078810,192188900000,68900,2647660000,74480343,22.41
08/01/2018,13730483,505988350000,0(0.00 %),14372903,531476400000,642420,25488050000,60127440,23.87
09/01/2018,510250,16212620000,0(0.00 %),5637800,219082550000,5127550,202869930000,58241240,24.06
10/01/2018,4034820,160454820000,0(0.00 %),4521690,179792140000,486870,19337320000,53788450,24.52
11/01/2018,4023220,168180770000,0(0.00 %),4194520,175114810000,171300,6934040000,50216350,24.88
12/01/2018,7357720,327860420000,0(0.00 %),8322620,369801810000,964900,41941390000,43269680,25.59
15/01/2018,-1258230,-56601440000,45.5(0.11 %),1256100,56562460000,2514330,113163900000,42500450,25.67
16/01/2018,1296660,57827080000,44.95(-1.21 %),2467390,110349790000,1170730,52522710000,40611360,25.86
17/01/2018,1239260,54731360000,42.7(-5.01 %),1777950,78443970000,538690,23712610000,39798310,25.94
18/01/2018,1806790,74502750000,44(3.04 %),2260270,94090380000,453480,19587630000,40052370,25.92
19/01/2018,947910,42944530000,45.2(2.73 %),2346280,106622420000,1398370,63677890000,38599820,26.07
22/01/2018,7900,389800000,45.3(0.22 %),244190,10964940000,236290,10575140000,38894320,26.04
25/01/2018,3503760,162818090000,47.8(5.52 %),5925690,273990440000,2421930,111172350000,36320550,26.3
26/01/2018,-442590,-20952000000,47(-1.67 %),199350,9422360000,641940,30374360000,36121200,26.32
29/01/2018,-1371470,-64461140000,47.05(0.11 %),200900,9408170000,1572370,73869310000,35920300,26.34
30/01/2018,-1304370,-60771350000,47(-0.11 %),890660,41212050000,2195030,101983400000,36057790,26.32
31/01/2018,858070,39945370000,46.6(-0.85 %),4728560,211974060000,3870490,172028690000,34871170,26.45
01/02/2018,429480,19875080000,46(-1.29 %),1549910,71583760000,1120430,51708680000,34993630,26.43
02/02/2018,-629580,-28878510000,46(0.00 %),865800,39743030000,1495380,68621540000,36322860,26.3
05/02/2018,156070,6532620000,43(-6.52 %),663150,28809500000,507080,22276880000,36630200,26.27
06/02/2018,132530,5462390000,41(-4.65 %),1353320,54548960000,1220790,49086570000,36297310,26.3
07/02/2018,1339630,58452180000,43.85(6.95 %),1994630,87170180000,655000,28718000000,35798060,26.35
08/02/2018,4431654,198706590000,44.9(2.39 %),5353984,240247140000,922330,41540550000,30951156,26.84
09/02/2018,282030,12329090000,44.6(-0.67 %),1273930,56085550000,991900,43756460000,30898016,26.85
12/02/2018,105950,4837700000,46.5(4.26 %),2354280,106527260000,2248330,101689560000,30206766,26.92
13/02/2018,-3024950,-140535100000,46.6(0.22 %),463440,21618010000,3488390,162153110000,30863516,26.85
21/02/2018,-543440,-25149430000,46.7(0.21 %),791280,36453100000,1334720,61602530000,31268136,26.81
22/02/2018,-154920,-7100300000,45(-3.64 %),591080,27003130000,746000,34103430000,32467356,26.69
23/02/2018,-324050,-14491470000,44.55(-1.00 %),56660,2539490000,380710,17030960000,35701226,26.36
26/02/2018,-698340,-30903110000,44(-1.23 %),73180,3235750000,771520,34138860000,36758766,26.25
27/02/2018,-128990,-5624590000,44.5(1.14 %),197740,8600800000,326730,14225390000,36807026,26.25
