Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/02/2010,0,0,0(0.00 %),0,0,0,0,6615000,0.0
03/02/2010,0,0,0(0.00 %),0,0,0,0,6615000,0.0
04/02/2010,0,0,0(0.00 %),0,0,0,0,6615000,0.0
05/02/2010,30,3450000,0(0.00 %),30,3450000,0,0,6614970,0.0
08/02/2010,120,13920000,0(0.00 %),120,13920000,0,0,6614850,0.0
09/02/2010,2160,248400000,0(0.00 %),2160,248400000,0,0,6612690,0.02
10/02/2010,0,0,0(0.00 %),0,0,0,0,6612690,0.02
11/02/2010,0,0,0(0.00 %),0,0,0,0,6612690,0.02
12/02/2010,0,0,0(0.00 %),0,0,0,0,6612690,0.02
22/02/2010,310,36270000,0(0.00 %),310,36270000,0,0,6612380,0.02
23/02/2010,2000,224000000,111(-4.31 %),2000,224000000,0,0,6610380,0.03
24/02/2010,0,0,112(0.90 %),0,0,0,0,6610380,0.03
25/02/2010,200,22800000,113(0.89 %),200,22800000,0,0,6610180,0.04
26/02/2010,0,0,113(0.00 %),0,0,0,0,6610180,0.04
01/03/2010,0,0,114(0.88 %),0,0,0,0,6610180,0.04
02/03/2010,0,0,114(0.00 %),0,0,0,0,6610180,0.04
03/03/2010,0,0,117(2.63 %),0,0,0,0,6610180,0.04
04/03/2010,0,0,118(0.85 %),0,0,0,0,6610180,0.04
05/03/2010,0,0,123(4.24 %),0,0,0,0,6610180,0.04
08/03/2010,0,0,128(4.07 %),0,0,0,0,6610180,0.04
09/03/2010,0,0,126(-1.56 %),0,0,0,0,6610180,0.04
10/03/2010,0,0,131(3.97 %),0,0,0,0,6610180,0.04
11/03/2010,0,0,137(4.58 %),0,0,0,0,6610180,0.04
12/03/2010,0,0,143(4.38 %),0,0,0,0,6610180,0.04
15/03/2010,50,7300000,150(4.90 %),50,7300000,0,0,6610130,0.04
16/03/2010,-1000,-149000000,149(-0.67 %),0,0,1000,149000000,6611130,0.03
17/03/2010,0,0,148(-0.67 %),0,0,0,0,6611130,0.03
18/03/2010,320,47360000,151(2.03 %),320,47360000,0,0,6610810,0.03
19/03/2010,240,35950000,148(-1.99 %),240,35950000,0,0,6610570,0.03
22/03/2010,0,0,142(-4.05 %),0,0,0,0,6610570,0.03
23/03/2010,0,0,136(-4.23 %),0,0,0,0,6610570,0.03
24/03/2010,0,0,142(4.41 %),0,0,0,0,6610570,0.03
25/03/2010,490,71580000,142(0.00 %),1000,144000000,510,72420000,6610080,0.04
26/03/2010,1000,143000000,144(1.41 %),1000,143000000,0,0,6609080,0.04
29/03/2010,0,0,147(2.08 %),0,0,0,0,6609080,0.04
31/03/2010,76000,10116000000,139(-0.71 %),76000,10116000000,0,0,6533080,0.61
01/04/2010,0,0,143(2.88 %),0,0,0,0,6533080,0.61
02/04/2010,112300,16785520000,150(4.90 %),112620,16833200000,320,47680000,6420780,1.44
05/04/2010,0,0,155(3.33 %),0,0,0,0,6420780,1.44
06/04/2010,1000,156000000,154(-0.65 %),1000,156000000,0,0,6419780,1.45
07/04/2010,0,0,155(0.65 %),0,0,0,0,6419780,1.45
08/04/2010,0,0,156(0.65 %),0,0,0,0,6419780,1.45
09/04/2010,2850,446650000,163(4.49 %),2850,446650000,0,0,6416930,1.47
12/04/2010,0,0,113(4.63 %),0,0,0,0,6416930,1.47
13/04/2010,1700,198800000,115(1.77 %),1700,198800000,0,0,6415230,1.48
14/04/2010,0,0,112(-2.61 %),0,0,0,0,6415230,1.48
15/04/2010,0,0,111(-0.89 %),0,0,0,0,6415230,1.48
16/04/2010,0,0,115(3.60 %),0,0,0,0,6415230,1.48
19/04/2010,100,11400000,112(-2.61 %),100,11400000,0,0,6415130,1.48
20/04/2010,0,0,108(-3.57 %),0,0,0,0,6415130,1.48
21/04/2010,0,0,112(3.70 %),0,0,0,0,6415130,1.48
22/04/2010,0,0,111(-0.89 %),0,0,0,0,6415130,1.48
26/04/2010,5010,556130000,111(0.00 %),5060,561780000,50,5650000,6410120,1.52
27/04/2010,0,0,110(-0.90 %),0,0,0,0,6410120,1.52
28/04/2010,10,1100000,111(0.91 %),10,1100000,0,0,6410110,1.52
04/05/2010,0,0,116(0.87 %),0,0,0,0,6410110,1.52
05/05/2010,0,0,114(-1.72 %),0,0,0,0,6410110,1.52
06/05/2010,0,0,113(-0.88 %),0,0,0,0,6410110,1.52
07/05/2010,0,0,109(-3.54 %),0,0,0,0,6410110,1.52
10/05/2010,200,21600000,108(-0.92 %),200,21600000,0,0,6409910,1.52
11/05/2010,-10,-1070000,107(-0.93 %),0,0,10,1070000,6409920,1.52
12/05/2010,0,0,105(-1.87 %),0,0,0,0,6409920,1.52
13/05/2010,0,0,105(0.00 %),0,0,0,0,6409920,1.52
14/05/2010,0,0,105(0.00 %),0,0,0,0,6409920,1.52
17/05/2010,0,0,103(-1.90 %),0,0,0,0,6409920,1.52
18/05/2010,0,0,100(-2.91 %),0,0,0,0,6409920,1.52
19/05/2010,31660,3126810000,98.5(-1.50 %),31660,3126810000,0,0,6378260,1.75
20/05/2010,51250,5028235000,103(4.57 %),51250,5028235000,0,0,6327010,2.13
21/05/2010,60400,5929400000,98(-4.85 %),60400,5929400000,0,0,6266610,2.58
24/05/2010,0,0,98.5(0.51 %),0,0,0,0,6266610,2.58
25/05/2010,18320,1802085000,98(-0.51 %),18320,1802085000,0,0,6248290,2.72
26/05/2010,10000,980000000,99.5(1.53 %),10000,980000000,0,0,6238290,2.79
27/05/2010,0,0,99(-0.50 %),0,0,0,0,6238290,2.79
28/05/2010,0,0,103(4.04 %),0,0,0,0,6238290,2.79
31/05/2010,0,0,100(-2.91 %),0,0,0,0,6238290,2.79
01/06/2010,2000,202000000,100(0.00 %),2000,202000000,0,0,6236290,2.81
02/06/2010,0,0,100(0.00 %),0,0,0,0,6236290,2.81
