Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/01/2010,0,0,0(0.00 %),0,0,0,0,1470000,0.0
22/01/2010,0,0,0(0.00 %),0,0,0,0,1470000,0.0
25/01/2010,0,0,0(0.00 %),0,0,0,0,1470000,0.0
26/01/2010,0,0,0(0.00 %),0,0,0,0,1470000,0.0
27/01/2010,0,0,0(0.00 %),0,0,0,0,1470000,0.0
28/01/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
29/01/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
01/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
02/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
03/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
04/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
05/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
08/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
09/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
10/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
11/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
12/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
22/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
23/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
24/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
25/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
26/02/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
01/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
02/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
03/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
04/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
05/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
08/03/2010,0,0,12(0.00 %),0,0,0,0,1470000,0.0
