Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
21/12/2016,14.77,29.1,8.3(39.90 %),200,5820000,0,0,29.1,29.1,29.1
22/12/2016,16.96,33.4,4.3(14.78 %),300,10020000,0,0,33.4,33.4,33.4
23/12/2016,16.96,33.4,0(0.00 %),100,3340000,0,0,33.4,33.4,33.4
26/12/2016,14.72,29.0,-4.4(-13.17 %),3000,87000000,0,0,29.0,29.0,29.0
27/12/2016,14.72,29.0,0(0.00 %),1000,29000000,0,0,29.0,29.0,29.0
28/12/2016,14.77,29.1,0.1(0.34 %),100,2910000,0,0,29.1,29.1,29.1
29/12/2016,14.77,29.1,0(0.00 %),0,0,0,0,29.1,29.1,29.1
30/12/2016,14.72,29.0,-0.1(-0.34 %),2000,58000000,0,0,29.0,29.0,29.0
03/01/2017,15.23,30.0,1(3.45 %),200,6330000,0,0,33.3,33.3,30.0
04/01/2017,18.43,36.3,4.6(14.51 %),100,3630000,0,0,36.3,36.3,36.3
05/01/2017,20.31,40.0,3.7(10.19 %),100,4000000,0,0,40.0,40.0,40.0
06/01/2017,20.31,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
09/01/2017,17.26,34.0,-6(-15.00 %),100,3400000,0,0,34.0,34.0,34.0
10/01/2017,17.26,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
11/01/2017,17.26,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
12/01/2017,17.26,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
13/01/2017,14.67,28.9,-5.1(-15.00 %),2100,60690000,0,0,28.9,28.9,28.9
16/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
17/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
18/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
19/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
20/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
23/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
24/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
25/01/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
02/02/2017,14.67,28.9,0(0.00 %),0,0,0,0,28.9,28.9,28.9
03/02/2017,14.52,28.6,-0.3(-1.04 %),2200,62920000,0,0,28.6,28.6,28.6
06/02/2017,14.37,28.3,-0.3(-1.05 %),2200,62260000,0,0,28.3,28.3,28.3
07/02/2017,14.37,28.3,0(0.00 %),0,0,0,0,28.3,28.3,28.3
08/02/2017,14.22,28.0,-0.3(-1.06 %),2200,61600000,0,0,28.0,28.0,28.0
09/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
10/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
13/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
14/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
15/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
16/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
17/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
20/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
21/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
22/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
23/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
24/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
27/02/2017,14.22,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
28/02/2017,14.06,27.7,-0.3(-1.07 %),200,5540000,0,0,27.7,27.7,27.7
01/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
02/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
03/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
06/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
07/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
08/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
09/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
10/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
13/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
14/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
15/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
16/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
17/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
20/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
21/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
22/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
23/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
24/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
27/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
28/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
29/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
30/03/2017,14.06,27.7,0(0.00 %),400,11080000,0,0,27.7,27.7,27.7
31/03/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
03/04/2017,14.06,27.7,0(0.00 %),1200,33240000,0,0,27.7,27.7,27.7
04/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
05/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
07/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
10/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
11/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
12/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
13/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
14/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
17/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
18/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
19/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
20/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
21/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
24/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
25/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
26/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
27/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
28/04/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
03/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
04/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
05/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
08/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
09/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
10/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
11/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
12/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
15/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
16/05/2017,14.06,27.7,0(0.00 %),0,0,0,0,27.7,27.7,27.7
17/05/2017,15.23,30.0,2.3(8.30 %),4600,78150000,0,0,16.7,30.0,16.7
18/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
19/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
22/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
23/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
24/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
25/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
26/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
29/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
30/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
31/05/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
01/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
02/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
05/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
06/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
07/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
08/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
09/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
12/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
13/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
14/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
16/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
19/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
20/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
21/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
22/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
23/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
26/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
27/06/2017,8.63,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
28/06/2017,9.14,18.0,1(5.88 %),3100,55800000,0,0,18.0,18.0,18.0
29/06/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/06/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
03/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
04/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
05/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
06/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
10/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
11/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
12/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
18/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
24/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
26/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
27/07/2017,9.14,18.0,0(0.00 %),0,0,5000,76500000,18.0,18.0,18.0
28/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
31/07/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
02/08/2017,9.14,18.0,0(0.00 %),0,0,2700,41310000,18.0,18.0,18.0
03/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
04/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
08/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
10/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
11/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
15/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
18/08/2017,9.14,18.0,0(0.00 %),1900,34200000,0,0,18.0,18.0,18.0
21/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/08/2017,9.14,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/08/2017,7.77,15.3,-2.7(-15.00 %),100,1530000,0,0,15.3,15.3,15.3
24/08/2017,7.77,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
25/08/2017,7.77,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
28/08/2017,8.88,17.5,2.2(14.38 %),1500,26250000,1000,15000000,17.5,17.5,17.5
29/08/2017,10.2,20.1,2.6(14.86 %),1000,20100000,0,0,20.1,20.1,20.1
30/08/2017,11.73,23.1,3(14.93 %),2500,57750000,0,0,23.1,23.1,23.1
31/08/2017,11.78,23.2,0.1(0.43 %),1000,23200000,0,0,23.2,23.2,23.2
01/09/2017,10.05,19.8,-3.4(-14.66 %),100,1980000,0,0,19.8,19.8,19.8
05/09/2017,10.05,19.8,0(0.00 %),0,0,0,0,19.8,19.8,19.8
06/09/2017,10.05,19.8,0(0.00 %),700,14350000,0,0,20.5,19.8,19.8
07/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
08/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
12/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
13/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
14/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
15/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
18/09/2017,10.41,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
19/09/2017,9.04,17.8,-2.7(-13.17 %),100,1780000,0,0,17.8,17.8,17.8
20/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
21/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
22/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
25/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
26/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
27/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
28/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
29/09/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
02/10/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
03/10/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
04/10/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
05/10/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
06/10/2017,9.04,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
