Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
16/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/12/2016,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
04/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/01/2017,2.9,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
