Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
08/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
09/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
10/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
13/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
14/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
15/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
16/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
17/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
20/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
21/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
22/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
23/08/2018,0,0,0(0.00 %),0,0,0,0,4900000,0.0
24/08/2018,0,0,10.7(-1.83 %),0,0,0,0,4900000,0.0
27/08/2018,0,0,11.1(3.74 %),0,0,0,0,4900000,0.0
28/08/2018,0,0,11.2(0.90 %),0,0,0,0,4900000,0.0
29/08/2018,0,0,11(-1.79 %),0,0,0,0,4900000,0.0
30/08/2018,0,0,11.2(1.82 %),0,0,0,0,4900000,0.0
31/08/2018,0,0,11.1(-0.89 %),0,0,0,0,4900000,0.0
04/09/2018,0,0,11.6(4.50 %),0,0,0,0,4900000,0.0
05/09/2018,10000,120000000,12.7(9.48 %),10000,120000000,0,0,4890000,0.1
06/09/2018,0,0,13.7(7.87 %),0,0,0,0,4890000,0.1
07/09/2018,0,0,12.8(-6.57 %),0,0,0,0,4890000,0.1
10/09/2018,0,0,11.9(-7.03 %),0,0,0,0,4890000,0.1
11/09/2018,0,0,12(0.84 %),0,0,0,0,4890000,0.1
12/09/2018,5000,60000000,11.6(-3.33 %),5000,60000000,0,0,4885000,0.15
13/09/2018,0,0,11.4(-1.72 %),0,0,0,0,4885000,0.15
14/09/2018,0,0,11.3(-0.88 %),0,0,0,0,4885000,0.15
17/09/2018,10000,115330000,11.9(5.31 %),10000,115330000,0,0,4875000,0.25
18/09/2018,0,0,11.5(-3.36 %),0,0,0,0,4875000,0.25
19/09/2018,0,0,11.6(0.87 %),0,0,0,0,4875000,0.25
20/09/2018,-20000,-224230000,11.6(0.00 %),0,0,20000,224230000,4875000,0.25
21/09/2018,5000,58500000,11.5(-0.86 %),5000,58500000,0,0,4870000,0.3
24/09/2018,0,0,11.8(2.61 %),0,0,0,0,4870000,0.3
25/09/2018,0,0,11.9(0.85 %),0,0,0,0,4890000,0.1
26/09/2018,0,0,12.2(2.52 %),0,0,0,0,4890000,0.1
27/09/2018,0,0,12.3(0.82 %),0,0,0,0,4890000,0.1
28/09/2018,0,0,12.4(0.81 %),0,0,0,0,4890000,0.1
01/10/2018,5000,62000000,12.5(0.81 %),5000,62000000,0,0,4885000,0.15
02/10/2018,0,0,12.5(0.00 %),0,0,0,0,4885000,0.15
03/10/2018,0,0,12.4(-0.80 %),0,0,0,0,4885000,0.15
04/10/2018,0,0,12.8(3.23 %),0,0,0,0,4885000,0.15
05/10/2018,5000,64000000,12.7(-0.78 %),5000,64000000,0,0,4880000,0.2
08/10/2018,0,0,13(2.36 %),0,0,0,0,4880000,0.2
09/10/2018,0,0,13(0.00 %),0,0,0,0,4880000,0.2
10/10/2018,0,0,13(0.00 %),0,0,0,0,4880000,0.2
11/10/2018,0,0,13(0.00 %),0,0,0,0,4880000,0.2
12/10/2018,0,0,13.1(0.77 %),0,0,0,0,4880000,0.2
15/10/2018,0,0,13.1(0.00 %),0,0,0,0,4880000,0.2
16/10/2018,0,0,14(6.87 %),0,0,0,0,4880000,0.2
17/10/2018,0,0,14.7(5.00 %),0,0,0,0,4880000,0.2
18/10/2018,0,0,14.2(-3.40 %),0,0,0,0,4880000,0.2
19/10/2018,0,0,13.8(-2.82 %),0,0,0,0,4880000,0.2
22/10/2018,400,5440000,13.8(0.00 %),400,5440000,0,0,4879600,0.2
23/10/2018,0,0,14(1.45 %),0,0,0,0,4879600,0.2
24/10/2018,0,0,14.1(0.71 %),0,0,0,0,4879600,0.2
25/10/2018,0,0,14.1(0.00 %),0,0,0,0,4879600,0.2
26/10/2018,0,0,13.9(-1.42 %),0,0,0,0,4879600,0.2
29/10/2018,0,0,13.9(0.00 %),0,0,0,0,4879600,0.2
30/10/2018,6000,91200000,15.2(9.35 %),6000,91200000,0,0,4873600,0.26
31/10/2018,0,0,16.2(6.58 %),0,0,0,0,4873600,0.26
01/11/2018,0,0,15.5(-4.32 %),0,0,0,0,4873600,0.26
02/11/2018,-6000,-87000000,14.5(-6.45 %),0,0,6000,87000000,4873600,0.26
05/11/2018,2000,28800000,14.3(-1.38 %),2000,28800000,0,0,4871600,0.28
06/11/2018,2000,28800000,14.7(2.80 %),2000,28800000,0,0,4869600,0.3
07/11/2018,9600,147090000,15.9(8.16 %),9600,147090000,0,0,4866000,0.34
08/11/2018,4400,69520000,15.9(0.00 %),4400,69520000,0,0,4861600,0.38
09/11/2018,0,0,15.3(-3.77 %),0,0,0,0,4861600,0.38
12/11/2018,0,0,15.2(-0.65 %),0,0,0,0,4861600,0.38
13/11/2018,0,0,15.2(0.00 %),0,0,0,0,4861600,0.38
14/11/2018,0,0,15.5(1.97 %),0,0,0,0,4861600,0.38
15/11/2018,0,0,15.2(-1.94 %),0,0,0,0,4861600,0.38
