Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
09/01/2012,0,0,0(0.00 %),0,0,0,0,4899800,0.0
15/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
16/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
17/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
20/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
21/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
22/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
23/02/2012,0,0,0(0.00 %),0,0,0,0,4900000,0.0
24/02/2012,0,0,31.5(-0.94 %),0,0,0,0,4900000,0.0
27/02/2012,0,0,32.7(3.81 %),0,0,0,0,4900000,0.0
28/02/2012,0,0,34(3.98 %),0,0,0,0,4900000,0.0
29/02/2012,0,0,33.8(-0.59 %),0,0,0,0,4900000,0.0
01/03/2012,0,0,35(3.55 %),0,0,0,0,4900000,0.0
02/03/2012,0,0,36.5(4.29 %),0,0,0,0,4900000,0.0
05/03/2012,0,0,38(4.11 %),0,0,0,0,4900000,0.0
06/03/2012,0,0,36.1(-5.00 %),0,0,0,0,4900000,0.0
07/03/2012,0,0,34.3(-4.99 %),0,0,0,0,4900000,0.0
08/03/2012,0,0,32.6(-4.96 %),0,0,0,0,4900000,0.0
09/03/2012,0,0,33.8(3.68 %),0,0,0,0,4900000,0.0
12/03/2012,0,0,35(3.55 %),0,0,0,0,4900000,0.0
13/03/2012,0,0,36.3(3.71 %),0,0,0,0,4900000,0.0
14/03/2012,0,0,34.5(-4.96 %),0,0,0,0,4900000,0.0
15/03/2012,0,0,35(1.45 %),0,0,0,0,4900000,0.0
16/03/2012,0,0,35.9(2.57 %),0,0,0,0,4900000,0.0
19/03/2012,0,0,34.6(-3.62 %),0,0,0,0,4900000,0.0
20/03/2012,0,0,32.9(-4.91 %),0,0,0,0,4900000,0.0
21/03/2012,0,0,34.5(4.86 %),0,0,0,0,4900000,0.0
22/03/2012,0,0,35(1.45 %),0,0,0,0,4900000,0.0
23/03/2012,0,0,34.9(-0.29 %),0,0,0,0,4900000,0.0
26/03/2012,0,0,33.2(-4.87 %),0,0,0,0,4900000,0.0
