Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,14.25,0.0,-15.1(-100.00 %),17659700,14250,0,0,15.45,15.5,14.15
22/08/2025,15.1,15.1,0.1(0.67 %),26680000,400021640000,0,0,14.6,15.5,14.3
21/08/2025,15.0,15.0,-0.4(-2.60 %),18780700,283899580000,0,0,15.65,15.65,14.95
20/08/2025,15.4,15.4,-0.5(-3.14 %),31023100,475256935000,0,0,15.85,15.9,14.8
19/08/2025,15.9,15.9,0.15(0.95 %),25459900,414305820000,0,0,16.35,16.8,15.85
18/08/2025,15.75,15.75,1(6.78 %),30827400,483101210000,0,0,15.15,15.75,15.1
15/08/2025,14.75,14.75,-0.05(-0.34 %),20291600,302906740000,0,0,14.9,15.4,14.6
14/08/2025,14.8,14.8,-0.2(-1.33 %),21046900,311495760000,0,0,15.15,15.2,14.6
13/08/2025,15.0,15.0,-0.05(-0.33 %),20581700,309577985000,0,0,15.2,15.5,14.65
12/08/2025,15.05,15.05,0.4(2.73 %),32833700,486883360000,0,0,14.95,15.25,14.35
11/08/2025,14.65,14.65,0.95(6.93 %),21374700,310211405000,0,0,13.95,14.65,13.95
08/08/2025,13.7,13.7,-0.15(-1.08 %),17593700,240853155000,0,0,14.0,14.1,13.45
07/08/2025,13.85,13.85,0.65(4.92 %),30104900,409312105000,0,0,13.35,13.9,13.1
06/08/2025,13.2,13.2,0.05(0.38 %),11117800,146808205000,0,0,13.3,13.35,13.1
05/08/2025,13.15,13.15,0.15(1.15 %),31983900,424939880000,0,0,13.2,13.5,12.8
04/08/2025,13.0,13.0,0.2(1.56 %),9694100,125838760000,0,0,12.9,13.1,12.85
01/08/2025,12.8,12.8,0(0.00 %),13248100,171862480000,0,0,12.8,13.2,12.7
31/07/2025,12.8,12.8,0.35(2.81 %),11268400,141413675000,0,0,12.6,12.8,12.35
30/07/2025,12.45,12.45,-0.1(-0.80 %),15456300,193041820000,0,0,12.6,12.75,12.25
29/07/2025,12.55,12.55,-0.9(-6.69 %),39381900,511478100000,0,0,13.6,13.6,12.55
28/07/2025,13.45,13.45,0.3(2.28 %),19319800,257807190000,0,0,13.25,13.5,13.1
25/07/2025,13.15,13.15,0.2(1.54 %),14981300,197906830000,0,0,13.05,13.4,13.0
24/07/2025,12.95,12.95,-0.2(-1.52 %),10941900,142371140000,0,0,13.2,13.25,12.85
23/07/2025,13.15,13.15,0.15(1.15 %),21384800,284426715000,0,0,13.1,13.6,13.05
22/07/2025,13.0,13.0,0.15(1.17 %),13348500,171284885000,0,0,12.65,13.0,12.6
21/07/2025,12.85,12.85,-0.05(-0.39 %),11544300,149257930000,0,0,13.05,13.1,12.8
18/07/2025,12.9,12.9,-0.1(-0.77 %),13050400,169561245000,0,0,13.3,13.3,12.8
17/07/2025,13.0,13.65,0.25(1.87 %),29670500,404885330000,0,0,13.55,13.9,13.4
16/07/2025,12.76,13.4,0.5(3.88 %),28520800,378343585000,0,0,12.85,13.6,12.85
15/07/2025,12.29,12.9,-0.1(-0.77 %),13653900,177123510000,0,0,13.15,13.15,12.85
14/07/2025,12.38,13.0,0.35(2.77 %),14922200,191067695000,0,0,12.75,13.1,12.5
11/07/2025,12.05,12.65,-0.15(-1.17 %),9155600,116144620000,0,0,12.8,12.85,12.6
10/07/2025,12.19,12.8,0.05(0.39 %),12606200,161788085000,0,0,12.85,13.05,12.7
09/07/2025,12.14,12.75,0.05(0.39 %),14756600,188451450000,0,0,12.8,12.9,12.65
08/07/2025,12.1,12.7,0(0.00 %),8771300,111382135000,0,0,12.8,12.85,12.6
07/07/2025,12.1,12.7,0.2(1.60 %),11171500,140834775000,0,0,12.55,12.7,12.5
04/07/2025,11.9,12.5,0.1(0.81 %),7389000,91970350000,0,0,12.45,12.55,12.4
03/07/2025,11.81,12.4,0(0.00 %),10418200,130152480000,0,0,12.45,12.6,12.35
02/07/2025,11.81,12.4,-0.05(-0.40 %),6050900,75241745000,0,0,12.4,12.55,12.35
01/07/2025,11.86,12.45,0.1(0.81 %),13463200,169940975000,40000,460000000,12.55,12.85,12.45
30/06/2025,11.76,12.35,0(0.00 %),4610600,57043165000,0,0,12.4,12.45,12.3
27/06/2025,11.76,12.35,-0.05(-0.40 %),4692800,58151670000,0,0,12.45,12.5,12.35
26/06/2025,11.81,12.4,-0.05(-0.40 %),4445200,55160815000,0,0,12.55,12.55,12.3
25/06/2025,11.86,12.45,0.05(0.40 %),16940000,213891945000,0,0,12.5,12.8,12.45
24/06/2025,11.81,12.4,0.05(0.40 %),5190700,64064745000,0,0,12.4,12.45,12.25
23/06/2025,11.76,12.35,0.15(1.23 %),8320300,102028210000,0,0,12.1,12.5,12.0
20/06/2025,11.62,12.2,0(0.00 %),4632100,56559120000,0,0,12.25,12.3,12.15
19/06/2025,11.62,12.2,-0.1(-0.81 %),2887100,35352720000,0,0,12.35,12.35,12.2
18/06/2025,11.71,12.3,0(0.00 %),8149900,101169640000,0,0,12.35,12.6,12.3
17/06/2025,11.71,12.3,0.1(0.82 %),5875800,72229920000,0,0,12.3,12.35,12.2
16/06/2025,11.62,12.2,0.15(1.24 %),4055600,49362080000,0,0,12.0,12.3,11.95
13/06/2025,11.48,12.05,-0.25(-2.03 %),10512500,127001570000,0,0,12.15,12.25,11.95
12/06/2025,11.71,12.3,0.15(1.23 %),5289700,64992955000,0,0,12.25,12.4,12.2
11/06/2025,11.57,12.15,0(0.00 %),3693700,44911645000,0,0,12.25,12.25,12.1
10/06/2025,11.57,12.15,0(0.00 %),5766000,70249430000,0,0,12.15,12.3,12.05
09/06/2025,11.57,12.15,-0.2(-1.62 %),8509400,103959620000,0,0,12.35,12.4,12.1
06/06/2025,11.76,12.35,-0.35(-2.76 %),7807500,97433965000,0,0,12.65,12.7,12.35
05/06/2025,12.1,12.7,0.15(1.20 %),20296100,261870125000,0,0,12.65,13.15,12.65
04/06/2025,11.95,12.55,0.1(0.80 %),10381500,130064240000,0,0,12.45,12.65,12.45
03/06/2025,11.86,12.45,0.05(0.40 %),8116500,101064110000,0,0,12.5,12.6,12.4
02/06/2025,11.81,12.4,0.25(2.06 %),6892700,84940400000,0,0,12.15,12.45,12.1
30/05/2025,11.57,12.15,-0.15(-1.22 %),5556200,68084590000,0,0,12.3,12.35,12.15
29/05/2025,11.71,12.3,-0.1(-0.81 %),5908300,73134945000,0,0,12.45,12.5,12.3
28/05/2025,11.81,12.4,-0.2(-1.59 %),8238100,102978445000,0,0,12.7,12.7,12.4
27/05/2025,12.0,12.6,0.4(3.28 %),18455800,231609445000,0,0,12.25,12.7,12.25
26/05/2025,11.62,12.2,0.05(0.41 %),7346400,88678125000,0,0,12.25,12.25,11.8
23/05/2025,11.57,12.15,-0.1(-0.82 %),6478300,79357505000,0,0,12.25,12.4,12.15
22/05/2025,11.67,12.25,-0.2(-1.61 %),8481400,104453515000,0,0,12.5,12.5,12.2
21/05/2025,11.86,12.45,0.35(2.89 %),15181100,187238405000,0,0,12.15,12.55,12.05
20/05/2025,11.52,12.1,-0.05(-0.41 %),6132500,74728200000,0,0,12.2,12.35,12.1
