Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
11/07/2016,10.52,13.2,2.2(20.00 %),213620,2683000000,0,0,11.8,13.2,11.8
12/07/2016,11.24,14.1,0.9(6.82 %),43600,615000000,0,0,14.1,14.1,14.1
13/07/2016,11.96,15.0,0.9(6.38 %),90160,1351000000,0,0,15.0,15.0,14.0
14/07/2016,11.16,14.0,-1(-6.67 %),41520,581000000,0,0,14.0,14.0,14.0
15/07/2016,11.16,14.0,0(0.00 %),56210,761000000,0,0,13.4,14.0,13.1
18/07/2016,11.56,14.5,0.5(3.57 %),86000,1208000000,0,0,14.0,14.5,13.5
19/07/2016,11.96,15.0,0.5(3.45 %),135470,2023000000,0,0,14.6,15.1,14.6
20/07/2016,11.8,14.8,-0.2(-1.33 %),50290,754000000,0,0,15.2,15.2,14.4
21/07/2016,11.8,14.8,0(0.00 %),40000,603000000,0,0,15.1,15.4,14.6
22/07/2016,11.48,14.4,-0.4(-2.70 %),89810,1304000000,0,0,14.9,14.9,14.4
25/07/2016,11.88,14.9,0.5(3.47 %),77600,1147000000,0,0,14.5,15.0,14.5
26/07/2016,11.96,15.0,0.1(0.67 %),66500,995000000,0,0,14.8,15.3,14.8
27/07/2016,11.96,15.0,0(0.00 %),107620,1619000000,0,0,15.0,15.2,14.9
28/07/2016,12.04,15.1,0.1(0.67 %),111610,1678000000,0,0,15.0,15.2,14.8
29/07/2016,11.96,15.0,-0.1(-0.66 %),126500,1906000000,0,0,15.1,15.2,14.9
01/08/2016,12.04,15.1,0.1(0.67 %),188200,2859000000,0,0,15.2,15.4,15.0
02/08/2016,11.64,14.6,-0.5(-3.31 %),137700,2030000000,0,0,14.9,14.9,14.5
03/08/2016,11.56,14.5,-0.1(-0.68 %),189300,2747000000,0,0,14.6,14.7,14.3
04/08/2016,11.56,14.5,0(0.00 %),149000,2168000000,0,0,14.5,14.8,14.4
05/08/2016,11.32,14.2,-0.3(-2.07 %),213300,3064000000,0,0,14.4,14.6,14.2
08/08/2016,11.4,14.3,0.1(0.70 %),187670,2671000000,0,0,14.3,14.3,14.0
09/08/2016,11.4,14.3,0(0.00 %),27900,399000000,0,0,14.3,14.3,14.3
10/08/2016,11.4,14.3,0(0.00 %),145420,2057000000,0,0,14.3,14.3,14.0
11/08/2016,11.32,14.2,-0.1(-0.70 %),102000,1448000000,0,0,14.3,14.3,14.1
12/08/2016,11.4,14.3,0.1(0.70 %),145000,2079000000,0,0,14.1,14.6,14.1
15/08/2016,11.64,14.6,0.3(2.10 %),145700,2109000000,0,0,14.4,14.6,14.3
16/08/2016,11.72,14.7,0.1(0.68 %),131100,1909000000,0,0,14.5,14.7,14.3
17/08/2016,11.96,15.0,0.3(2.04 %),161210,2398000000,0,0,14.5,15.0,14.5
18/08/2016,12.04,15.1,0.1(0.67 %),164260,2465000000,0,0,14.9,15.2,14.8
19/08/2016,11.88,14.9,-0.2(-1.32 %),140500,2089000000,0,0,15.0,15.0,14.7
22/08/2016,11.88,14.9,0(0.00 %),152600,2281000000,0,0,15.0,15.1,14.8
23/08/2016,11.72,14.7,-0.2(-1.34 %),142200,2111000000,250000,3475000000,15.0,15.0,14.7
24/08/2016,11.72,14.7,0(0.00 %),183300,2715000000,0,0,14.8,15.0,14.7
25/08/2016,11.64,14.6,-0.1(-0.68 %),172850,2542000000,0,0,14.6,14.9,14.6
26/08/2016,11.4,14.3,-0.3(-2.05 %),154300,2257000000,0,0,14.6,14.8,14.3
29/08/2016,11.56,14.5,0.2(1.40 %),156500,2271000000,0,0,14.3,14.7,14.2
30/08/2016,11.32,14.2,-0.3(-2.07 %),150300,2152000000,0,0,14.3,14.5,14.2
31/08/2016,11.4,14.3,0.1(0.70 %),162700,2321000000,0,0,14.1,14.5,14.1
01/09/2016,11.72,14.7,0.4(2.80 %),181900,2661000000,0,0,14.2,14.9,14.2
05/09/2016,11.88,14.9,0.2(1.36 %),184440,2729000000,0,0,14.6,14.9,14.6
06/09/2016,11.96,15.0,0.1(0.67 %),175320,2639000000,0,0,15.0,15.2,14.9
07/09/2016,11.8,14.8,-0.2(-1.33 %),161300,2391000000,0,0,15.0,15.0,14.6
08/09/2016,11.64,14.6,-0.2(-1.35 %),193320,2855000000,0,0,14.9,14.9,14.6
09/09/2016,11.56,14.5,-0.1(-0.68 %),185210,2698000000,0,0,14.8,14.8,14.4
12/09/2016,11.72,14.7,0.2(1.38 %),161200,2353000000,0,0,14.4,14.8,14.4
13/09/2016,11.56,14.5,-0.2(-1.36 %),188500,2740000000,0,0,14.6,14.7,14.4
14/09/2016,11.8,14.8,0.3(2.07 %),175920,2590000000,0,0,14.5,14.85,14.5
15/09/2016,11.64,14.6,-0.2(-1.35 %),183490,2702000000,0,0,14.9,14.9,14.6
16/09/2016,11.72,14.7,0.1(0.68 %),162880,2404000000,0,0,14.7,15.0,14.6
19/09/2016,11.59,13.8,-0.15(-1.08 %),192150,2680000000,0,0,14.1,14.2,13.8
20/09/2016,11.46,13.65,-0.15(-1.09 %),197770,2735000000,0,0,13.8,14.0,13.6
21/09/2016,11.8,14.05,0.4(2.93 %),180730,2509000000,0,0,13.6,14.1,13.55
22/09/2016,11.76,14.0,-0.05(-0.36 %),208680,2938000000,0,0,14.0,14.2,14.0
23/09/2016,11.92,14.2,0.2(1.43 %),253720,3529000000,0,0,14.0,14.2,13.65
26/09/2016,12.18,14.5,0.3(2.11 %),455700,6607000000,0,0,14.0,14.75,14.0
27/09/2016,11.84,14.1,-0.4(-2.76 %),386500,5508000000,0,0,14.55,14.55,14.1
28/09/2016,11.63,13.85,-0.25(-1.77 %),363850,5049000000,0,0,14.05,14.05,13.7
29/09/2016,12.43,14.8,0.95(6.86 %),541730,7569000000,0,0,13.9,14.8,13.55
30/09/2016,13.27,15.8,1(6.76 %),399570,6304000000,0,0,15.0,15.8,15.0
03/10/2016,13.65,16.25,0.45(2.85 %),553980,9033000000,0,0,16.6,16.7,15.75
04/10/2016,14.57,17.35,1.1(6.77 %),403630,6728000000,0,0,16.1,17.35,16.1
05/10/2016,14.19,16.9,-0.45(-2.59 %),464560,8031000000,0,0,17.4,17.85,16.6
06/10/2016,14.36,17.1,0.2(1.18 %),456920,7879000000,0,0,16.8,17.75,16.8
07/10/2016,13.86,16.5,-0.6(-3.51 %),360060,5984000000,0,0,17.0,17.0,16.35
10/10/2016,13.6,16.2,-0.3(-1.82 %),244240,3957000000,0,0,16.4,16.4,15.9
11/10/2016,13.35,15.9,-0.3(-1.85 %),193440,3076000000,0,0,15.9,16.1,15.75
12/10/2016,13.44,16.0,0.1(0.63 %),270480,4313000000,0,0,15.8,16.1,15.8
13/10/2016,13.6,16.2,0.2(1.25 %),220000,3531000000,0,0,16.0,16.2,15.8
14/10/2016,13.77,16.4,0.2(1.23 %),242740,3953000000,0,0,16.25,16.4,16.1
17/10/2016,13.77,16.4,0(0.00 %),225540,3742000000,0,0,16.6,16.8,16.4
18/10/2016,13.35,15.9,-0.5(-3.05 %),266100,4285000000,0,0,16.3,16.3,15.9
19/10/2016,13.35,15.9,0(0.00 %),216730,3421000000,0,0,15.9,15.9,15.55
20/10/2016,13.73,16.35,0.45(2.83 %),327380,5275000000,0,0,15.9,16.35,15.85
21/10/2016,14.19,16.9,0.55(3.36 %),265790,4452000000,0,0,16.5,16.9,16.5
24/10/2016,14.61,17.4,0.5(2.96 %),381790,6536000000,0,0,17.1,17.4,16.65
25/10/2016,15.62,18.6,1.2(6.90 %),578500,10329000000,0,0,17.3,18.6,17.2
26/10/2016,16.5,19.65,1.05(5.65 %),726730,14068000000,0,0,19.2,19.7,19.0
27/10/2016,15.79,18.8,-0.85(-4.33 %),381080,7323000000,0,0,19.8,19.85,18.8
28/10/2016,15.12,18.0,-0.8(-4.26 %),421690,7668000000,0,0,18.4,18.5,18.0
31/10/2016,14.86,17.7,-0.3(-1.67 %),220520,3911000000,0,0,17.7,17.9,17.55
01/11/2016,14.7,17.5,-0.2(-1.13 %),171620,2988000000,0,0,17.4,17.55,17.2
02/11/2016,14.28,17.0,-0.5(-2.86 %),217540,3776000000,0,0,17.5,17.5,17.0
03/11/2016,14.32,17.05,0.05(0.29 %),146600,2496000000,0,0,17.0,17.1,16.95
04/11/2016,14.28,17.0,-0.05(-0.29 %),94000,1597000000,0,0,17.0,17.05,16.9
07/11/2016,14.4,17.15,0.15(0.88 %),75700,1294000000,0,0,17.0,17.2,16.95
08/11/2016,14.7,17.5,0.35(2.04 %),152100,2644000000,0,0,17.15,17.55,17.1
09/11/2016,14.53,17.3,-0.2(-1.14 %),175650,3055000000,0,0,17.55,17.6,17.25
10/11/2016,14.7,17.5,0.2(1.16 %),157780,2757000000,0,0,17.35,17.6,17.35
11/11/2016,14.57,17.35,-0.15(-0.86 %),145640,2532000000,0,0,17.45,17.7,17.3
14/11/2016,14.65,17.45,0.1(0.58 %),117860,2051000000,0,0,17.3,17.5,17.25
15/11/2016,14.57,17.35,-0.1(-0.57 %),137840,2404000000,0,0,17.4,17.6,17.35
16/11/2016,14.44,17.2,-0.15(-0.86 %),138680,2401000000,0,0,17.35,17.4,17.1
17/11/2016,14.65,17.45,0.25(1.45 %),171210,2973000000,0,0,17.25,17.55,17.15
18/11/2016,14.91,17.75,0.3(1.72 %),175500,3097000000,0,0,17.55,17.8,17.4
21/11/2016,14.91,17.75,0(0.00 %),121470,2164000000,0,0,17.85,18.05,17.7
22/11/2016,14.74,17.55,-0.2(-1.13 %),136860,2403000000,0,0,17.7,17.75,17.5
23/11/2016,14.78,17.6,0.05(0.28 %),218020,3829000000,0,0,17.45,17.65,17.35
24/11/2016,14.65,17.45,-0.15(-0.85 %),250260,4379000000,0,0,17.55,17.7,17.35
25/11/2016,14.61,17.4,-0.05(-0.29 %),255660,4484000000,0,0,17.45,17.65,17.4
28/11/2016,14.61,17.4,0(0.00 %),190500,3315000000,0,0,17.55,17.55,17.35
29/11/2016,14.78,17.6,0.2(1.15 %),212830,3707000000,0,0,17.35,17.6,17.35
30/11/2016,14.86,17.7,0.1(0.57 %),476560,8389000000,0,0,17.55,17.7,17.5
01/12/2016,13.86,16.5,-1.2(-6.78 %),424440,7535000000,0,0,17.75,18.0,16.5
02/12/2016,14.82,17.65,1.15(6.97 %),209800,3668000000,0,0,17.0,17.65,17.0
05/12/2016,14.82,17.65,0(0.00 %),415860,7317000000,1000000,16450000000,17.45,17.7,17.4
06/12/2016,15.83,18.85,1.2(6.80 %),1965090,36409000000,0,0,17.55,18.85,17.55
07/12/2016,16.88,20.1,1.25(6.63 %),2139680,41592000000,0,0,18.85,20.1,18.8
08/12/2016,17.21,20.5,0.4(1.99 %),960400,19578000000,0,0,20.1,20.6,20.05
09/12/2016,16.84,20.05,-0.45(-2.20 %),500450,9960000000,0,0,19.9,20.1,19.75
12/12/2016,18.01,21.45,1.4(6.98 %),2202860,46060000000,0,0,20.15,21.45,20.1
13/12/2016,18.73,22.3,0.85(3.96 %),1957500,43168000000,0,0,21.5,22.5,21.45
14/12/2016,19.48,23.2,0.9(4.04 %),2558270,57603000000,0,0,22.0,23.2,21.55
15/12/2016,20.83,24.8,1.6(6.90 %),2404480,57428000000,0,0,22.7,24.8,22.5
16/12/2016,22.25,26.5,1.7(6.85 %),2135200,54163000000,0,0,24.0,26.5,24.0
19/12/2016,23.81,28.35,1.85(6.98 %),2124400,58191000000,0,0,25.8,28.35,25.5
20/12/2016,24.77,29.5,1.15(4.06 %),1373330,39394000000,0,0,27.8,29.6,27.4
21/12/2016,25.53,30.4,0.9(3.05 %),1173380,35097000000,0,0,29.0,30.6,28.9
22/12/2016,27.29,32.5,2.1(6.91 %),2359190,73718000000,0,0,29.5,32.5,29.5
23/12/2016,25.78,30.7,-1.8(-5.54 %),1402260,43742000000,0,0,31.0,31.6,30.7
26/12/2016,26.03,31.0,0.3(0.98 %),1247990,38442000000,0,0,29.9,31.3,29.9
27/12/2016,26.79,31.9,0.9(2.90 %),3222030,97208000000,0,0,31.0,32.0,28.85
28/12/2016,26.45,31.5,-0.4(-1.25 %),1309140,40560000000,0,0,31.9,31.9,30.1
29/12/2016,25.95,30.9,-0.6(-1.90 %),875290,26977000000,0,0,30.4,31.2,30.4
30/12/2016,26.2,31.2,0.3(0.97 %),640520,19972000000,0,0,30.9,31.4,30.8
03/01/2017,25.7,30.6,-0.6(-1.92 %),261970,8051000000,0,0,30.6,31.2,30.6
04/01/2017,23.93,28.5,-2.1(-6.86 %),2715010,84229000000,0,0,30.5,32.7,28.5
05/01/2017,22.29,26.55,-1.95(-6.84 %),304600,8087000000,0,0,26.55,26.55,26.55
06/01/2017,20.74,24.7,-1.85(-6.97 %),18200,450000000,0,0,24.7,24.7,24.7
09/01/2017,19.31,23.0,-1.7(-6.88 %),505320,11622000000,0,0,23.0,23.0,23.0
10/01/2017,17.97,21.4,-1.6(-6.96 %),340,7000000,0,0,21.4,21.4,21.4
11/01/2017,16.75,19.95,-1.45(-6.78 %),443730,8852000000,0,0,19.95,19.95,19.95
12/01/2017,15.62,18.6,-1.35(-6.77 %),5300,99000000,0,0,18.6,18.6,18.6
13/01/2017,14.53,17.3,-1.3(-6.99 %),370,6000000,0,0,17.3,17.3,17.3
16/01/2017,13.52,16.1,-1.2(-6.94 %),400,6000000,800000,12880000000,16.1,16.1,16.1
