Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/06/2009,8.9,29.0,-2.4(-7.64 %),9600,280000000,1000,34000000,31.4,31.4,28.3
26/06/2009,8.1,26.4,-2.8(-9.59 %),9200,242800000,670,18655000,29.2,29.0,26.3
29/06/2009,7.31,23.8,-2.6(-9.85 %),12346,301024000,200,4800000,26.4,29.0,23.8
30/06/2009,6.75,22.0,-2.4(-9.84 %),17201,378522000,0,0,24.4,23.0,22.0
01/07/2009,6.08,19.8,-2.2(-10.00 %),21540,427092000,17685,350163000,22.0,20.0,19.8
02/07/2009,6.14,20.0,0.2(1.01 %),14996,297689200,0,0,19.8,20.0,17.9
03/07/2009,6.6,21.5,1.6(8.04 %),4200,90390000,0,0,19.9,21.8,21.5
06/07/2009,7.24,23.6,2.1(9.77 %),5528,130460800,1011,22013400,21.5,23.6,23.6
07/07/2009,7.24,23.6,0(0.00 %),300,7000000,20,427000,23.6,23.6,22.8
08/07/2009,7.06,23.0,-0.3(-1.29 %),5150,119720000,18000,423000000,23.3,23.5,23.0
09/07/2009,7.06,23.0,-0.2(-0.86 %),11137,245314000,0,0,23.2,23.0,22.0
10/07/2009,7.43,24.2,2.2(10.00 %),25792,607314000,2000,44000000,22.0,24.2,22.0
13/07/2009,7.52,24.5,1(4.26 %),2826,70756800,0,0,23.5,25.3,24.0
14/07/2009,7.55,24.6,-0.4(-1.60 %),8730,214045000,0,0,25.0,25.0,24.0
15/07/2009,7.67,25.0,0.5(2.04 %),14162,354584000,0,0,24.5,26.0,23.2
16/07/2009,8.13,26.5,1.5(6.00 %),17860,467070000,1500,37500000,25.0,26.5,25.0
17/07/2009,7.67,25.0,-1.2(-4.58 %),14400,359500000,0,0,26.2,25.0,24.5
20/07/2009,7.21,23.5,-1.5(-6.00 %),14282,341468000,0,0,25.0,24.0,23.5
21/07/2009,7.67,25.0,1.1(4.60 %),1200,30000000,0,0,23.9,25.0,25.0
22/07/2009,6.94,22.6,-2.4(-9.60 %),20,501000,0,0,25.0,27.5,22.6
23/07/2009,7.83,25.5,0.4(1.59 %),4000,100900000,0,0,25.1,25.5,23.3
24/07/2009,8.5,27.7,2.5(9.92 %),45884,1248335800,6900,191130000,25.2,27.7,22.7
27/07/2009,9.18,29.9,2.7(9.93 %),44202,1303660200,3500,104650000,27.2,29.9,28.9
28/07/2009,8.38,27.3,-2.2(-7.46 %),25176,682218400,0,0,29.5,27.3,27.0
29/07/2009,7.92,25.8,-1.3(-4.80 %),3580,94582000,0,0,27.1,29.0,25.8
30/07/2009,8.1,26.4,0(0.00 %),5900,151340000,0,0,26.4,26.8,25.1
31/07/2009,8.66,28.2,2.5(9.73 %),1870,51370000,0,0,25.7,28.2,26.1
03/08/2009,8.44,27.5,0(0.00 %),200,5500000,0,0,27.5,27.5,27.5
04/08/2009,8.9,29.0,1.5(5.45 %),35571,1012605000,0,0,27.5,30.2,26.2
05/08/2009,9.21,30.0,1.5(5.26 %),57718,1716869000,0,0,28.5,31.3,29.0
06/08/2009,9.12,29.7,0(0.00 %),10932,324599400,0,0,29.7,32.6,29.5
07/08/2009,8.44,27.5,-2.2(-7.41 %),730,20090000,0,0,29.7,28.0,27.5
10/08/2009,8.6,28.0,0.5(1.82 %),656,18390000,0,0,27.5,30.2,28.0
11/08/2009,9.06,29.5,1.5(5.36 %),28184,813936000,11030,319900000,28.0,29.5,28.5
12/08/2009,9.06,29.5,0.6(2.08 %),37550,1098640000,0,0,28.9,29.5,27.0
13/08/2009,9.15,29.8,0.5(1.71 %),937,27922600,0,0,29.3,29.8,29.8
14/08/2009,8.96,29.2,-0.6(-2.01 %),3910,113627000,0,0,29.8,32.7,29.0
17/08/2009,8.78,28.6,-0.5(-1.72 %),5666,160749200,0,0,29.1,29.0,27.5
18/08/2009,8.87,28.9,0.5(1.76 %),25053,720501500,2000,56500000,28.4,29.2,28.0
19/08/2009,9.06,29.5,0.7(2.43 %),16820,498750100,0,0,28.8,30.0,26.0
20/08/2009,9.06,29.5,-0.2(-0.67 %),1158,34032000,0,0,29.7,29.5,28.5
21/08/2009,8.9,29.0,-0.4(-1.36 %),11195,324655000,0,0,29.4,29.0,29.0
24/08/2009,9.06,29.5,0.5(1.72 %),47532,1404344000,5286,153294000,29.0,31.0,29.0
25/08/2009,9.06,29.5,0(0.00 %),8135,239145000,1000,29100000,29.5,32.0,29.0
26/08/2009,9.06,29.5,0.1(0.34 %),36310,1081198000,36000,1080000000,29.4,30.0,29.5
27/08/2009,9.21,30.0,0.2(0.67 %),15061,456324000,0,0,29.8,30.5,29.8
28/08/2009,9.36,30.5,0.2(0.66 %),17765,539450000,0,0,30.3,31.0,29.5
31/08/2009,9.67,31.5,1.1(3.62 %),21580,657842000,0,0,30.4,32.0,27.4
01/09/2009,9.52,31.0,0.5(1.64 %),30612,948972000,0,0,30.5,31.0,31.0
03/09/2009,9.61,31.3,0.3(0.97 %),19000,588900000,0,0,31.0,31.3,30.3
04/09/2009,9.52,31.0,0(0.00 %),17698,548638000,2000,62000000,31.0,31.0,31.0
07/09/2009,10.47,34.1,3.1(10.00 %),14580,453282000,0,0,31.0,34.1,27.9
08/09/2009,9.67,31.5,0.4(1.29 %),2289,70909000,0,0,31.1,31.5,30.0
09/09/2009,9.76,31.8,0.8(2.58 %),16473,526586400,0,0,31.0,32.0,31.5
10/09/2009,10.13,33.0,1(3.12 %),9418,309028000,0,0,32.0,33.0,32.0
11/09/2009,11.05,36.0,3.2(9.76 %),15282,499643000,0,0,32.8,36.0,29.6
14/09/2009,9.09,29.6,-3.1(-9.48 %),20633,624256000,0,0,32.7,32.0,29.6
15/09/2009,9.55,31.1,0.8(2.64 %),5190,154981000,0,0,30.3,32.0,28.5
16/09/2009,8.29,27.0,-2.9(-9.70 %),9434,285894000,562,16803800,29.9,32.7,27.0
17/09/2009,9.82,32.0,1.7(5.61 %),2122,67726600,0,0,30.3,33.3,30.3
18/09/2009,9.09,29.6,-2.3(-7.21 %),25801,788451000,0,0,31.9,32.0,29.6
21/09/2009,9.82,32.0,1.4(4.58 %),8000,245500000,0,0,30.6,32.0,28.5
22/09/2009,9.98,32.5,1.8(5.86 %),12878,414796000,0,0,30.7,32.7,32.0
23/09/2009,9.82,32.0,-0.2(-0.62 %),15525,507947500,0,0,32.2,33.0,32.0
24/09/2009,9.82,32.0,-0.7(-2.14 %),4725,151400000,0,0,32.7,32.5,32.0
25/09/2009,10.13,33.0,1(3.12 %),24490,803160000,0,0,32.0,33.5,32.5
28/09/2009,10.13,33.0,0.2(0.61 %),4250,138765000,0,0,32.8,33.5,32.2
29/09/2009,9.06,29.5,-3.2(-9.79 %),8700,268460000,0,0,32.7,32.8,29.5
30/09/2009,8.56,27.9,-3(-9.71 %),13069,378070000,0,0,30.9,32.5,27.9
01/10/2009,9.21,30.0,1.1(3.81 %),24931,763631000,0,0,28.9,31.7,30.0
02/10/2009,9.67,31.5,0.9(2.94 %),2762,87375500,0,0,30.6,32.0,31.0
05/10/2009,9.82,32.0,0.4(1.27 %),13119,418808000,0,0,31.6,32.0,31.0
06/10/2009,9.21,30.0,-1.9(-5.96 %),38353,1216927500,0,0,31.9,33.0,30.0
07/10/2009,9.98,32.5,0.8(2.52 %),4225,136812500,0,0,31.7,32.5,32.0
08/10/2009,9.98,32.5,0.1(0.31 %),2900,94245000,0,0,32.4,32.5,32.4
09/10/2009,9.98,32.5,0(0.00 %),20455,661777500,0,0,32.5,32.5,32.0
12/10/2009,10.13,33.0,0.6(1.85 %),38530,1251890400,0,0,32.4,33.0,32.0
13/10/2009,10.13,33.0,0.5(1.54 %),40148,1323084000,0,0,32.5,33.0,31.5
14/10/2009,10.74,35.0,2(6.06 %),17551,592934000,1000,32500000,33.0,36.3,33.2
15/10/2009,11.08,36.1,2.3(6.80 %),2240,80952000,0,0,33.8,36.5,35.0
16/10/2009,11.08,36.1,0(0.00 %),33383,1292612500,11749,419764000,36.1,39.7,32.5
19/10/2009,12.89,42.0,3.3(8.53 %),0,0,0,0,38.7,38.7,38.7
20/10/2009,11.66,38.0,0.3(0.80 %),5260,197580000,0,0,37.7,38.0,37.0
21/10/2009,11.66,38.0,0.4(1.06 %),5800,215100000,0,0,37.6,38.0,37.0
22/10/2009,12.28,40.0,2.9(7.82 %),26065,1009620000,10749,438559200,37.1,40.0,38.0
23/10/2009,13.05,42.5,3.8(9.82 %),23693,985237000,0,0,38.7,42.5,40.0
26/10/2009,11.82,38.5,-3.1(-7.45 %),11100,427960000,0,0,41.6,41.6,38.0
27/10/2009,11.66,38.0,-0.6(-1.55 %),6000,224000000,0,0,38.6,38.0,37.0
28/10/2009,11.66,38.0,1(2.70 %),17000,641000000,0,0,37.0,39.0,37.0
29/10/2009,11.36,37.0,-0.7(-1.86 %),9200,336700000,0,0,37.7,37.0,36.0
30/10/2009,11.36,37.0,-0.2(-0.54 %),7276,286040000,0,0,37.2,40.0,39.0
02/11/2009,11.66,38.0,-1.1(-2.81 %),25378,940364000,0,0,39.1,38.0,36.0
03/11/2009,11.24,36.6,-0.5(-1.35 %),5600,206420000,0,0,37.1,37.0,36.5
04/11/2009,11.33,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
05/11/2009,12.28,40.0,3.1(8.40 %),33836,1343463400,0,0,36.9,40.5,37.5
06/11/2009,12.59,41.0,1.3(3.27 %),55600,2223500000,0,0,39.7,41.0,38.5
09/11/2009,11.94,38.9,-1.1(-2.75 %),30704,1208060000,0,0,40.0,40.0,37.5
10/11/2009,12.03,39.2,-0.1(-0.25 %),21100,833130000,0,0,39.3,39.5,39.2
11/11/2009,12.25,39.9,0.4(1.01 %),10,399000,0,0,39.5,39.9,39.9
12/11/2009,11.97,39.0,-0.9(-2.26 %),3560,137880000,0,0,39.9,39.0,38.0
13/11/2009,11.82,38.5,-0.2(-0.52 %),2000,77000000,0,0,38.7,38.5,38.5
16/11/2009,11.82,38.5,0(0.00 %),2921,112458500,0,0,38.5,38.5,38.5
17/11/2009,11.82,38.5,0(0.00 %),6922,262104000,0,0,38.5,38.5,37.0
18/11/2009,11.82,38.5,0.6(1.58 %),1500,57650000,0,0,37.9,38.5,38.4
19/11/2009,11.66,38.0,-0.4(-1.04 %),5485,208430000,0,0,38.4,38.0,38.0
20/11/2009,11.66,38.0,0(0.00 %),4800,182400000,0,0,38.0,38.0,38.0
23/11/2009,11.66,38.0,0(0.00 %),5900,224220000,10300,391400000,38.0,38.1,38.0
24/11/2009,11.66,38.0,0(0.00 %),14048,532476000,0,0,38.0,38.0,37.0
25/11/2009,11.05,36.0,-1.9(-5.01 %),10500,385500000,0,0,37.9,37.0,36.0
26/11/2009,10.74,35.0,-1.7(-4.63 %),400,14000000,0,0,36.7,35.0,35.0
27/11/2009,10.74,35.0,0(0.00 %),1000,35000000,0,0,35.0,35.0,35.0
30/11/2009,10.59,34.5,-0.5(-1.43 %),1000,34500000,0,0,35.0,34.5,34.5
01/12/2009,10.59,34.5,0(0.00 %),0,0,0,0,34.5,34.5,34.5
