Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/10/2015,9.18,10.0,-1.1(-9.91 %),100,1000000,0,0,10.0,10.0,10.0
15/10/2015,8.26,9.0,-1(-10.00 %),3000,29500000,0,0,10.0,10.0,9.0
16/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
19/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
20/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
21/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
22/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
23/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
26/10/2015,8.26,9.0,-0.8(-8.16 %),0,0,0,0,9.8,9.8,9.8
27/10/2015,9.18,10.0,0.2(2.04 %),5555,55535000,0,0,10.0,10.0,10.0
28/10/2015,9.63,10.5,0.5(5.00 %),1000,10500000,0,0,10.5,10.5,10.5
29/10/2015,9.18,10.0,-0.5(-4.76 %),6000,60000000,0,0,10.0,10.0,10.0
30/10/2015,9.18,10.0,0(0.00 %),2000,20000000,0,0,10.0,10.0,10.0
02/11/2015,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
03/11/2015,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
04/11/2015,8.26,9.0,-1(-10.00 %),200,1800000,0,0,9.0,9.0,9.0
05/11/2015,8.26,9.0,0(0.00 %),100,900000,0,0,9.0,9.0,9.0
06/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
09/11/2015,8.26,9.0,0(0.00 %),100,900000,0,0,9.0,9.0,9.0
10/11/2015,8.26,9.0,0(0.00 %),100,900000,0,0,9.0,9.0,9.0
11/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
12/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
13/11/2015,8.26,9.0,0(0.00 %),200,1800000,0,0,9.0,9.0,9.0
16/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
17/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
18/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
19/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
20/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
23/11/2015,8.26,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
24/11/2015,9.18,10.0,1(11.11 %),3000,30000000,0,0,10.0,10.0,10.0
25/11/2015,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
26/11/2015,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/11/2015,8.72,9.5,-0.5(-5.00 %),200,1900000,719,6830500,9.5,9.5,9.5
30/11/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
01/12/2015,8.72,9.5,0(0.00 %),200,1900000,0,0,9.5,9.5,9.5
02/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
03/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
04/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
07/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
08/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
09/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
10/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
11/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
14/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
15/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
16/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
17/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
18/12/2015,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
21/12/2015,8.44,9.2,-0.3(-3.16 %),100,920000,0,0,9.2,9.2,9.2
22/12/2015,8.44,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
23/12/2015,8.44,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
24/12/2015,8.99,9.8,0.6(6.52 %),400,3920000,0,0,9.8,9.8,9.8
25/12/2015,8.99,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
28/12/2015,8.99,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
29/12/2015,8.99,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
30/12/2015,9.18,10.0,0.2(2.04 %),4900,49000000,0,0,10.0,10.0,10.0
31/12/2015,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
04/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
05/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
08/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
11/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
12/01/2016,9.18,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
13/01/2016,8.81,9.6,-0.4(-4.00 %),500,4800000,0,0,9.6,9.6,9.6
14/01/2016,8.81,9.6,0(0.00 %),0,0,0,0,9.6,9.6,9.6
15/01/2016,8.63,9.4,-0.2(-2.08 %),600,5650000,0,0,9.5,9.5,9.4
18/01/2016,8.63,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
19/01/2016,8.72,9.5,0.1(1.06 %),1000,9500000,0,0,9.5,9.5,9.5
20/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
21/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
22/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
25/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
26/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
27/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
28/01/2016,8.72,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
