Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
05/06/2017,16.36,28.0,8(40.00 %),100,2800000,0,0,28.0,28.0,28.0
06/06/2017,18.82,32.2,4.2(15.00 %),100,3220000,0,0,32.2,32.2,32.2
07/06/2017,21.62,37.0,4.8(14.91 %),100,3700000,0,0,37.0,37.0,37.0
08/06/2017,24.84,42.5,5.5(14.86 %),24250,1028210000,0,0,42.5,42.5,40.0
09/06/2017,28.05,48.0,5.6(13.21 %),8700,335930000,8530,307933000,48.4,48.4,36.1
12/06/2017,22.56,38.6,0(0.00 %),4200,172820000,0,0,38.6,43.9,38.6
13/06/2017,24.02,41.1,0(0.00 %),2700,116770000,15520,543200000,46.6,46.6,40.0
14/06/2017,21.62,37.0,-6.2(-14.35 %),2600,95720000,5400,198720000,36.8,37.0,36.8
16/06/2017,22.27,38.1,-3.9(-9.29 %),3900,151370000,0,0,40.0,40.0,38.0
19/06/2017,22.68,38.8,0(0.00 %),100,3880000,0,0,38.8,38.8,38.8
20/06/2017,22.5,38.5,-0.3(-0.77 %),1700,69780000,10700,353100000,42.8,42.8,38.5
21/06/2017,21.22,36.3,-4.7(-11.46 %),5900,218250000,0,0,35.8,37.5,35.0
22/06/2017,21.98,37.6,0.6(1.62 %),7800,293450000,0,0,39.8,39.8,36.0
23/06/2017,22.38,38.3,0.7(1.86 %),1500,59520000,0,0,40.9,40.9,38.0
26/06/2017,22.5,38.5,-1.2(-3.02 %),2900,111640000,0,0,40.0,40.0,38.1
27/06/2017,22.56,38.6,0.1(0.26 %),1800,71010000,0,0,40.3,40.3,38.6
28/06/2017,22.5,38.5,-1(-2.53 %),2200,83940000,0,0,38.0,38.5,37.7
29/06/2017,22.21,38.0,-0.2(-0.52 %),1800,69060000,0,0,38.3,38.9,38.0
30/06/2017,21.62,37.0,-1.4(-3.65 %),1410,53960000,0,0,38.9,39.0,37.0
03/07/2017,22.21,38.0,-0.3(-0.78 %),500,19000000,0,0,38.0,38.0,38.0
04/07/2017,23.38,37.9,1.9(5.28 %),500,18950000,0,0,37.9,37.9,37.9
05/07/2017,23.38,37.9,0(0.00 %),0,0,0,0,37.9,37.9,37.9
06/07/2017,22.21,36.0,-1.9(-5.01 %),1500,54000000,0,0,36.0,36.0,36.0
07/07/2017,22.21,36.0,0(0.00 %),2900,104400000,0,0,36.0,36.0,36.0
