Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
22/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
23/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
26/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
27/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
28/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
29/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
30/10/2015,0,0,0(0.00 %),0,0,0,0,4655000,0.0
02/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
03/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
04/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
05/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
06/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
09/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
10/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
11/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
12/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
13/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
16/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
17/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
18/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
19/11/2015,0,0,16.8(0.00 %),0,0,0,0,4655000,0.0
20/11/2015,0,0,19.3(14.88 %),0,0,0,0,4655000,0.0
23/11/2015,0,0,19.3(0.00 %),0,0,0,0,4655000,0.0
24/11/2015,0,0,19.3(0.00 %),0,0,0,0,4655000,0.0
25/11/2015,0,0,19.3(0.00 %),0,0,0,0,4655000,0.0
26/11/2015,0,0,19.3(0.00 %),0,0,0,0,4655000,0.0
27/11/2015,0,0,19.3(0.00 %),0,0,0,0,4655000,0.0
30/11/2015,0,0,22.1(14.51 %),0,0,0,0,4655000,0.0
01/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
02/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
03/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
04/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
07/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
08/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
09/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
10/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
11/12/2015,0,0,22.1(0.00 %),0,0,0,0,4655000,0.0
14/12/2015,0,0,21(-4.98 %),0,0,0,0,4655000,0.0
15/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
16/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
17/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
18/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
21/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
22/12/2015,0,0,21(0.00 %),0,0,0,0,4655000,0.0
23/12/2015,0,0,19.5(-7.14 %),0,0,0,0,4655000,0.0
24/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
25/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
28/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
29/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
30/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
31/12/2015,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
04/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
05/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
06/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
07/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
08/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
11/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
12/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
13/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
14/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
15/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
18/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
19/01/2016,0,0,19.5(0.00 %),0,0,0,0,4655000,0.0
