Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/10/2015,8.2,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/10/2015,8.2,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/10/2015,8.2,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/10/2015,8.2,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/10/2015,8.2,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/10/2015,11.48,16.8,4.8(40.00 %),100,1680000,0,0,16.8,16.8,16.8
30/10/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
02/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
03/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
04/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
05/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
06/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
09/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
10/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
11/11/2015,11.48,16.8,0(0.00 %),0,0,3500,58800000,16.8,16.8,16.8
12/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
13/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
16/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
17/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
18/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
19/11/2015,11.48,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
20/11/2015,13.19,19.3,2.5(14.88 %),100,1930000,0,0,19.3,19.3,19.3
23/11/2015,13.19,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
24/11/2015,13.19,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
25/11/2015,13.19,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
26/11/2015,13.19,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
27/11/2015,13.19,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
30/11/2015,15.1,22.1,2.8(14.51 %),100,2210000,0,0,22.1,22.1,22.1
01/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
02/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
03/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
04/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
07/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
08/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
09/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
10/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
11/12/2015,15.1,22.1,0(0.00 %),0,0,0,0,22.1,22.1,22.1
14/12/2015,14.35,21.0,-1.1(-4.98 %),1000,21000000,0,0,21.0,21.0,21.0
15/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
16/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
17/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
18/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
21/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
22/12/2015,14.35,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
23/12/2015,13.32,19.5,-1.5(-7.14 %),1900,37050000,0,0,19.5,19.5,19.5
24/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
25/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
28/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
29/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
30/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
31/12/2015,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
04/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
05/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
06/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
07/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
08/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
11/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
12/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
13/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
14/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
15/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
18/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
19/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
20/01/2016,13.32,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
21/01/2016,15.31,22.4,2.9(14.87 %),100,2240000,0,0,22.4,22.4,22.4
22/01/2016,15.31,22.4,0(0.00 %),0,0,0,0,22.4,22.4,22.4
25/01/2016,15.31,22.4,0(0.00 %),0,0,0,0,22.4,22.4,22.4
26/01/2016,15.31,22.4,0(0.00 %),0,0,0,0,22.4,22.4,22.4
27/01/2016,13.67,20.0,-2.4(-10.71 %),2600,52000000,0,0,20.0,20.0,20.0
28/01/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
29/01/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
01/02/2016,13.67,20.0,0(0.00 %),0,0,2700,45900000,20.0,20.0,20.0
02/02/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
03/02/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
04/02/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
05/02/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
15/02/2016,13.67,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
16/02/2016,15.03,22.0,2(10.00 %),1000,22000000,0,0,22.0,22.0,22.0
17/02/2016,15.03,22.0,0(0.00 %),0,0,0,0,22.0,22.0,22.0
18/02/2016,15.03,22.0,0(0.00 %),0,0,0,0,22.0,22.0,22.0
19/02/2016,15.03,22.0,0(0.00 %),0,0,0,0,22.0,22.0,22.0
22/02/2016,15.03,22.0,0(0.00 %),0,0,0,0,22.0,22.0,22.0
23/02/2016,12.85,18.8,-3.2(-14.55 %),200,4410000,0,0,25.3,25.3,18.8
24/02/2016,12.85,18.8,-3.3(-14.93 %),0,0,0,0,22.1,22.1,22.1
25/02/2016,12.85,18.8,-3.3(-14.93 %),0,0,0,0,22.1,22.1,22.1
26/02/2016,12.85,18.8,-3.3(-14.93 %),0,0,0,0,22.1,22.1,22.1
29/02/2016,12.91,18.9,-3.2(-14.48 %),300,6320000,0,0,18.9,25.4,18.9
01/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
02/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
03/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
04/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
07/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
08/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
09/03/2016,14.42,21.1,0(0.00 %),0,0,0,0,21.1,21.1,21.1
10/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
11/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
14/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
15/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
16/03/2016,12.91,18.9,-2.2(-10.43 %),0,0,0,0,21.1,21.1,21.1
17/03/2016,14.49,21.2,0.1(0.47 %),1000,21200000,0,0,21.2,21.2,21.2
18/03/2016,12.71,18.6,-2.6(-12.26 %),300,6090000,0,0,18.2,24.1,18.2
21/03/2016,12.71,18.6,-1.7(-8.37 %),0,0,0,0,20.3,20.3,20.3
22/03/2016,12.71,18.6,-1.7(-8.37 %),0,0,0,0,20.3,20.3,20.3
23/03/2016,12.71,18.6,-1.7(-8.37 %),0,0,0,0,20.3,20.3,20.3
24/03/2016,12.71,18.6,-1.7(-8.37 %),0,0,0,0,20.3,20.3,20.3
25/03/2016,15.92,23.3,3(14.78 %),100,2330000,0,0,23.3,23.3,23.3
28/03/2016,15.92,23.3,0(0.00 %),0,0,0,0,23.3,23.3,23.3
29/03/2016,15.92,23.3,0(0.00 %),0,0,0,0,23.3,23.3,23.3
30/03/2016,14.08,20.6,-2.7(-11.59 %),200,4730000,0,0,26.7,26.7,20.6
31/03/2016,18.59,27.2,3.5(14.77 %),100,2720000,0,0,27.2,27.2,27.2
01/04/2016,21.32,31.2,4(14.71 %),100,3120000,0,0,31.2,31.2,31.2
04/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
05/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
06/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
07/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
08/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
11/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
12/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
13/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
14/04/2016,21.32,31.2,0(0.00 %),0,0,0,0,31.2,31.2,31.2
15/04/2016,24.32,35.6,4.4(14.10 %),100,3560000,0,0,35.6,35.6,35.6
19/04/2016,24.32,35.6,0(0.00 %),0,0,0,0,35.6,35.6,35.6
20/04/2016,24.32,35.6,0(0.00 %),0,0,0,0,35.6,35.6,35.6
21/04/2016,24.32,35.6,0(0.00 %),0,0,0,0,35.6,35.6,35.6
22/04/2016,27.74,40.6,5(14.04 %),500,16460000,0,0,31.0,40.6,31.0
25/04/2016,25.69,37.6,4.7(14.29 %),100,3760000,0,0,37.6,37.6,37.6
26/04/2016,29.11,42.6,5(13.30 %),100,4260000,0,0,42.6,42.6,42.6
27/04/2016,31.16,45.6,3(7.04 %),100,4560000,0,0,45.6,45.6,45.6
28/04/2016,31.16,45.6,0(0.00 %),0,0,0,0,45.6,45.6,45.6
29/04/2016,30.75,45.0,-0.6(-1.32 %),100,4500000,0,0,45.0,45.0,45.0
04/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
05/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
06/05/2016,30.75,45.0,0(0.00 %),100,4500000,0,0,45.0,45.0,45.0
09/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
10/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
11/05/2016,30.75,45.0,0(0.00 %),100,4500000,0,0,45.0,45.0,45.0
12/05/2016,30.75,45.0,0(0.00 %),300,13500000,0,0,45.0,45.0,45.0
13/05/2016,30.75,45.0,0(0.00 %),100,4500000,0,0,45.0,45.0,45.0
16/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
17/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
18/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
19/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
20/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
23/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
24/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
25/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
26/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
27/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
30/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
31/05/2016,30.75,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
