Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
03/11/2015,6.58,13.0,0(0.00 %),24200,314830000,0,0,10.1,18.2,10.1
04/11/2015,6.58,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
05/11/2015,6.58,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
06/11/2015,7.08,14.0,1(7.69 %),500,7040000,0,0,14.4,14.4,14.0
09/11/2015,7.08,14.0,-0.1(-0.71 %),0,0,0,0,14.1,14.1,14.1
10/11/2015,7.08,14.0,-0.1(-0.71 %),0,0,0,0,14.1,14.1,14.1
11/11/2015,7.08,14.0,-0.1(-0.71 %),0,0,0,0,14.1,14.1,14.1
12/11/2015,7.08,14.0,-0.1(-0.71 %),0,0,0,0,14.1,14.1,14.1
13/11/2015,6.07,12.0,-2.1(-14.89 %),100,1200000,0,0,12.0,12.0,12.0
16/11/2015,6.07,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/11/2015,6.07,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/11/2015,6.07,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/11/2015,5.26,10.4,-1.6(-13.33 %),100,1040000,0,0,10.4,10.4,10.4
20/11/2015,5.26,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
23/11/2015,5.26,10.4,0(0.00 %),0,0,12000,124800000,10.4,10.4,10.4
24/11/2015,5.26,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
25/11/2015,5.26,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
26/11/2015,5.26,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
27/11/2015,4.55,9.0,-1.4(-13.46 %),100,900000,0,0,9.0,9.0,9.0
30/11/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
01/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
02/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
03/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
04/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
07/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
08/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
09/12/2015,4.55,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
