Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
09/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
10/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
13/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
14/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
15/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
16/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
17/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
20/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
21/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
22/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
23/07/2009,0,0,0(0.00 %),0,0,0,0,14257271,29.2
24/07/2009,8600,136740000,0(0.00 %),108600,1726740000,100000,1590000000,14248671,29.21
27/07/2009,-6500,-106210000,0(0.00 %),143500,2436690000,150000,2542900000,14255171,29.2
28/07/2009,0,0,0(0.00 %),0,0,0,0,14255171,29.2
29/07/2009,1400,22430000,0(0.00 %),1400,22430000,0,0,14253771,29.2
30/07/2009,0,0,0(0.00 %),0,0,0,0,14253771,29.2
31/07/2009,0,0,0(0.00 %),0,0,0,0,14253771,29.2
03/08/2009,0,0,0(0.00 %),0,0,0,0,14253771,29.2
04/08/2009,-99700,-1586600000,0(0.00 %),0,0,99700,1586600000,14353471,29.06
05/08/2009,-92700,-1465280000,0(0.00 %),0,0,92700,1465280000,14446171,28.94
06/08/2009,-88900,-1399610000,15.7(-0.63 %),0,0,88900,1399610000,14535071,28.81
07/08/2009,0,0,15.6(-0.64 %),0,0,0,0,14535071,28.81
10/08/2009,-81200,-1274840000,15.6(-0.64 %),0,0,81200,1274840000,14616271,28.7
11/08/2009,-126400,-1981650000,15.9(1.27 %),0,0,126400,1981650000,14742671,28.52
12/08/2009,-70100,-1132790000,16.2(6.58 %),5000,80830000,75100,1213620000,14812771,28.43
13/08/2009,0,0,16.2(0.00 %),0,0,0,0,14812771,28.43
14/08/2009,0,0,15.9(-4.22 %),0,0,0,0,14812771,28.43
17/08/2009,0,0,15.5(-1.90 %),0,0,0,0,14812771,28.43
18/08/2009,0,0,16.5(5.77 %),0,0,0,0,14812771,28.43
19/08/2009,-51400,-847760000,16.4(0.61 %),0,0,51400,847760000,14864171,28.36
20/08/2009,0,0,16.2(-1.82 %),0,0,0,0,14864171,28.36
21/08/2009,0,0,16(-0.62 %),0,0,0,0,14864171,28.36
24/08/2009,-52400,-833160000,15.9(-1.85 %),0,0,52400,833160000,14916571,28.28
25/08/2009,-139300,-2189490000,15.6(-2.50 %),0,0,139300,2189490000,15055871,28.09
26/08/2009,-93700,-1471090000,15.7(0.00 %),0,0,93700,1471090000,15149571,27.96
27/08/2009,0,0,15.7(-0.63 %),0,0,0,0,15149571,27.96
28/08/2009,-173300,-2736460000,15.9(1.27 %),0,0,173300,2736460000,15322871,27.72
31/08/2009,-69400,-1110400000,15.9(0.00 %),0,0,69400,1110400000,15392271,27.62
01/09/2009,0,0,16(-0.62 %),0,0,0,0,15392271,27.62
03/09/2009,0,0,15.7(-1.88 %),0,0,0,0,15392271,27.62
04/09/2009,0,0,15.6(-1.27 %),0,0,0,0,15392271,27.62
07/09/2009,-7000,-105000000,15.3(-1.92 %),0,0,7000,105000000,15399271,27.61
08/09/2009,0,0,15.2(0.66 %),0,0,0,0,15399271,27.61
09/09/2009,0,0,15.6(1.96 %),0,0,0,0,15399271,27.61
10/09/2009,0,0,15.6(1.96 %),0,0,0,0,15399271,27.61
11/09/2009,0,0,15.5(0.00 %),0,0,0,0,15399271,27.61
14/09/2009,0,0,16.6(6.41 %),0,0,0,0,15399271,27.61
15/09/2009,0,0,17.3(5.49 %),0,0,0,0,15399271,27.61
16/09/2009,0,0,16.7(-3.47 %),0,0,0,0,15399271,27.61
17/09/2009,0,0,16.3(-2.98 %),0,0,0,0,15399271,27.61
18/09/2009,0,0,16.2(0.00 %),0,0,0,0,15399271,27.61
21/09/2009,0,0,16.2(0.62 %),0,0,0,0,15399271,27.61
22/09/2009,0,0,16.2(0.62 %),0,0,0,0,15399271,27.61
23/09/2009,0,0,16(-1.84 %),0,0,0,0,15399271,27.61
24/09/2009,-350000,-5553450000,15.9(-1.85 %),0,0,350000,5553450000,15749271,27.13
25/09/2009,-170700,-2711830000,16(0.63 %),0,0,170700,2711830000,15919971,26.89
28/09/2009,-120000,-1926090000,16.2(1.89 %),200000,3212910000,320000,5139000000,16039971,26.72
29/09/2009,36100,581210000,16.3(1.24 %),36100,581210000,0,0,16003871,26.77
30/09/2009,115400,1867940000,16.4(1.23 %),115400,1867940000,0,0,15888471,26.93
01/10/2009,116000,1891900000,16.4(1.23 %),116000,1891900000,0,0,15772471,27.09
02/10/2009,102100,1652960000,16.4(0.61 %),102100,1652960000,0,0,15670371,27.24
05/10/2009,5000,82000000,16.5(1.85 %),5000,82000000,0,0,15665371,27.24
06/10/2009,0,0,17.3(4.85 %),0,0,0,0,15665371,27.24
07/10/2009,81100,1422360000,18(6.51 %),89100,1563760000,8000,141400000,15584271,27.36
08/10/2009,-8100,-154710000,18.7(4.47 %),0,0,8100,154710000,15592371,27.34
09/10/2009,-5000,-98500000,19(1.06 %),0,0,5000,98500000,15597371,27.34
12/10/2009,0,0,18.4(-4.66 %),0,0,0,0,15597371,27.34
13/10/2009,43300,774890000,17.9(-3.76 %),43300,774890000,0,0,15554071,27.4
14/10/2009,3000,57300000,19.1(6.70 %),3000,57300000,0,0,15551071,27.4
15/10/2009,-7000,-140500000,19.5(3.17 %),0,0,7000,140500000,15558071,27.39
16/10/2009,-200,-3720000,18.6(-5.10 %),0,0,200,3720000,16805571,25.66
19/10/2009,0,0,18.2(-3.70 %),0,0,0,0,16805371,25.66
20/10/2009,-174700,-3247200000,18.7(3.31 %),0,0,174700,3247200000,16980071,25.42
21/10/2009,-505100,-9026870000,18.3(-1.08 %),0,0,505100,9026870000,16238071,26.45
22/10/2009,-1800,-32400000,18(-0.55 %),0,0,1800,32400000,16239871,26.44
23/10/2009,4500,82360000,17.6(-2.22 %),4500,82360000,0,0,16800871,25.67
26/10/2009,0,0,17.3(-2.26 %),0,0,0,0,16800871,25.67
27/10/2009,0,0,17.1(-1.72 %),0,0,0,0,16800871,25.67
28/10/2009,0,0,17.3(2.37 %),0,0,0,0,16800871,25.67
29/10/2009,0,0,17(-2.30 %),0,0,0,0,16800871,25.67
30/10/2009,0,0,17.6(3.53 %),0,0,0,0,16800871,25.67
02/11/2009,48700,798680000,16.5(-6.25 %),48700,798680000,0,0,16752171,25.73
03/11/2009,100000,1600000000,16.4(-0.61 %),100000,1600000000,0,0,16652171,25.87
04/11/2009,14300,234170000,16.5(1.85 %),14300,234170000,0,0,16637871,25.89
05/11/2009,0,0,17(4.29 %),0,0,0,0,16637871,25.89
06/11/2009,0,0,16.6(-1.19 %),0,0,0,0,16637871,25.89
09/11/2009,0,0,15.9(-5.36 %),0,0,0,0,16637871,25.89
10/11/2009,0,0,15.7(-1.26 %),0,0,0,0,16637871,25.89
11/11/2009,0,0,16(1.27 %),0,0,0,0,16637871,25.89
12/11/2009,0,0,15.8(-0.63 %),0,0,0,0,16637871,25.89
13/11/2009,0,0,16.2(1.25 %),0,0,0,0,16637871,25.89
16/11/2009,0,0,16(-0.62 %),0,0,0,0,16637871,25.89
17/11/2009,0,0,16(-0.62 %),0,0,0,0,16637871,25.89
18/11/2009,0,0,16.3(1.88 %),0,0,0,0,16637871,25.89
19/11/2009,0,0,16.3(1.24 %),0,0,0,0,16637871,25.89
20/11/2009,0,0,16.5(0.61 %),0,0,0,0,16637871,25.89
23/11/2009,0,0,15.6(-4.29 %),0,0,0,0,16637871,25.89
24/11/2009,0,0,15.8(-0.63 %),0,0,0,0,16637871,25.89
25/11/2009,0,0,14.7(-6.96 %),0,0,0,0,16608871,25.93
26/11/2009,29000,400200000,13.8(-6.76 %),29000,400200000,0,0,16608871,25.93
27/11/2009,0,0,14(1.45 %),0,0,0,0,16608871,25.93
30/11/2009,0,0,14.3(5.93 %),0,0,0,0,16608871,25.93
01/12/2009,0,0,14.7(5.76 %),0,0,0,0,16608871,25.93
02/12/2009,0,0,13.9(-4.79 %),0,0,0,0,16608871,25.93
03/12/2009,0,0,14(-2.10 %),0,0,0,0,16608871,25.93
04/12/2009,11900,173190000,14.9(6.43 %),11900,173190000,0,0,16596971,25.95
07/12/2009,0,0,14.6(0.69 %),0,0,0,0,16596971,25.95
08/12/2009,0,0,14.2(-3.40 %),0,0,0,0,16596971,25.95
09/12/2009,-3000,-40200000,13.5(-6.25 %),0,0,3000,40200000,16599971,25.94
