Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
HPG,22/08/2025,10088400,4065700,267442580000,108033325000
HPG,21/08/2025,4290200,2767902,118151995000,76112711000
HPG,20/08/2025,5471300,2211100,151267095000,60997235000
HPG,19/08/2025,3640000,1600302,102989530000,45203158000
HPG,18/08/2025,3892100,1814001,110615600000,51591651000
HPG,15/08/2025,5276700,3407903,148821205000,96191219000
HPG,14/08/2025,5329100,1807957,150036205000,50937405000
HPG,13/08/2025,4208000,4146302,118385725000,116850568000
HPG,12/08/2025,3840800,5596302,109335605000,160514607000
HPG,11/08/2025,4372200,3120804,122484455000,87834124000
HPG,08/08/2025,3853500,5397602,107926995000,151136533000
HPG,07/08/2025,4159200,5813606,115160900000,161576402000
HPG,06/08/2025,4298400,3260294,116773870000,88746465000
HPG,05/08/2025,9555300,10839899,248760355000,286445794000
HPG,04/08/2025,3605200,3762403,90907650000,94711750000
HPG,01/08/2025,2814000,2161085,70451795000,54165967000
HPG,31/07/2025,4801900,5242509,120010175000,129316298000
HPG,30/07/2025,1941800,3688060,49371385000,93751891000
HPG,29/07/2025,6794100,2787500,176768045000,72703185000
HPG,28/07/2025,2698600,3911800,71182940000,103281985000
HPG,25/07/2025,1917400,2035500,49898955000,52966475000
HPG,24/07/2025,2457400,3686700,64274260000,96495925000
HPG,23/07/2025,4018300,3467500,106754490000,92258175000
HPG,22/07/2025,3151200,544100,82533435000,14253975000
HPG,21/07/2025,2224700,2267800,58681235000,59778525000
HPG,18/07/2025,3088300,1918250,80001865000,49689552000
HPG,17/07/2025,4997400,6655100,130153670000,173483920000
HPG,16/07/2025,1535300,3329000,39724560000,86411590000
HPG,15/07/2025,1361200,1859000,35022815000,47915585000
HPG,14/07/2025,3502700,1516000,90316125000,39163000000
HPG,11/07/2025,3100400,1493900,80614755000,38646730000
HPG,10/07/2025,2419400,1595900,60201470000,39803145000
HPG,09/07/2025,1123800,829642,27909970000,20614912000
HPG,08/07/2025,2727400,2131701,66665875000,51866097000
HPG,07/07/2025,2081700,1069100,48946760000,25096825000
HPG,04/07/2025,1938800,511000,44649695000,11859670000
HPG,03/07/2025,4914200,4115500,113265330000,94182845000
HPG,02/07/2025,490800,7984400,11166950000,180507265000
HPG,01/07/2025,2017500,355900,45862095000,8074530000
HPG,30/06/2025,320100,345800,7302625000,7882030000
HPG,27/06/2025,158800,1315700,3624025000,30031450000
HPG,26/06/2025,3382000,2706000,76848490000,62145815000
HPG,25/06/2025,8502900,2740501,229812280000,74364460000
HPG,24/06/2025,1001700,2005500,27109145000,54260460000
HPG,23/06/2025,2686800,1329500,68746785000,35735120000
HPG,20/06/2025,381700,1032100,10301615000,27841245000
HPG,19/06/2025,1501900,967400,40609495000,26066705000
HPG,18/06/2025,1012300,2777500,27349390000,75140945000
HPG,17/06/2025,1467900,3393600,39529815000,91247110000
HPG,16/06/2025,867300,4097700,23247195000,109594970000
HPG,13/06/2025,1546200,3059534,40951895000,81001565000
HPG,12/06/2025,3494600,2187300,93621715000,58601045000
HPG,11/06/2025,1503500,846700,38183045000,22098825000
HPG,10/06/2025,3494500,1466201,92799030000,38983745000
HPG,09/06/2025,3735300,248900,97773560000,6541425000
HPG,06/06/2025,2442800,2841400,64034710000,74504465000
HPG,05/06/2025,719700,1321500,18588375000,34136385000
HPG,04/06/2025,818700,732600,21409185000,19163040000
HPG,03/06/2025,1890600,245900,49013660000,6407975000
HPG,02/06/2025,338700,823700,8644490000,21037675000
HPG,30/05/2025,2740200,4358000,71927865000,114082165000
HPG,29/05/2025,303100,2295200,7764605000,58693120000
HPG,28/05/2025,963000,991000,24805930000,25387065000
HPG,27/05/2025,721500,1476600,18646570000,37938955000
HPG,26/05/2025,1227600,1139500,31170870000,28854835000
HPG,23/05/2025,1466900,215900,37600245000,5532230000
HPG,22/05/2025,2871700,1717102,73830990000,44244163000
HPG,21/05/2025,2262200,1612700,58366755000,41627300000
HPG,20/05/2025,817000,4911493,21002510000,126137715000
HPG,19/05/2025,1001300,2542900,25752880000,65426205000
HPG,16/05/2025,2925700,806400,74588535000,20893775000
HPG,15/05/2025,1478200,1217201,38388685000,31616354000
HPG,14/05/2025,2016000,4808801,52947725000,124195534000
HPG,13/05/2025,1258400,1479500,32434705000,38172355000
HPG,12/05/2025,3557100,3268001,90020410000,82216854000
HPG,09/05/2025,333300,514700,8536525000,13162215000
HPG,08/05/2025,1631200,2211100,41968290000,56383780000
HPG,07/05/2025,729700,591600,18563240000,15023885000
HPG,06/05/2025,677400,1971800,17428690000,50711535000
HPG,05/05/2025,175200,1547800,4473910000,39263350000
HPG,29/04/2025,3281600,9559000,83927310000,245552965000
HPG,28/04/2025,546000,1550800,13921870000,39543890000
HPG,25/04/2025,8418300,3655000,217309990000,93390410000
HPG,24/04/2025,665400,2787600,16945670000,70922600000
HPG,23/04/2025,3796300,2469200,96898980000,62938050000
HPG,22/04/2025,4017800,3708100,98840740000,90440750000
HPG,21/04/2025,1015900,3045300,25556060000,76380745000
HPG,18/04/2025,924100,1548800,23705845000,39577855000
HPG,17/04/2025,1827900,543900,45966555000,13630955000
HPG,16/04/2025,793000,4034100,20078290000,102185555000
HPG,15/04/2025,3889300,3934200,100183100000,100612520000
HPG,14/04/2025,3470100,2627100,87774805000,66425950000
HPG,11/04/2025,2986700,7562900,72247470000,182921585000
HPG,10/04/2025,0,3100,0,70525000
HPG,09/04/2025,4215100,7541900,90106140000,161621540000
HPG,08/04/2025,1635300,6732900,37533410000,154493890000
HPG,04/04/2025,8571100,4457500,206563045000,108864900000
HPG,03/04/2025,4361800,5728600,111957515000,147414300000
HPG,02/04/2025,728300,1028600,19825635000,28004915000
HPG,01/04/2025,556000,1069600,14951490000,28756495000
