Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/12/2006,28.6,142.0,0(0.00 %),14150,2009300,0,0,142.0,142.0,142.0
27/12/2006,30.01,149.0,7(4.93 %),550,81950,0,0,142.0,142.0,142.0
28/12/2006,31.42,156.0,7(4.70 %),1100,171600,0,0,149.0,156.0,149.0
29/12/2006,32.82,163.0,7(4.49 %),100,16300,0,0,163.0,163.0,163.0
02/01/2007,34.44,171.0,8(4.91 %),6650,1137000000,0,0,171.0,171.0,171.0
03/01/2007,34.44,171.0,0(0.00 %),71300,0,0,0,179.0,179.0,171.0
04/01/2007,36.05,179.0,8(4.68 %),55360,9808000000,0,0,179.0,179.0,175.0
05/01/2007,37.66,187.0,8(4.47 %),42440,0,0,0,187.0,187.0,187.0
08/01/2007,39.47,196.0,9(4.81 %),41830,3140000000,0,0,196.0,196.0,196.0
09/01/2007,39.47,196.0,0(0.00 %),20650,4047000000,0,0,196.0,196.0,196.0
10/01/2007,41.13,198.0,8(4.21 %),30380,5994000000,0,0,196.0,198.0,196.0
11/01/2007,39.47,190.0,-8(-4.04 %),36470,6997000000,0,0,198.0,198.0,190.0
12/01/2007,39.47,190.0,0(0.00 %),34650,6546000000,0,0,185.0,190.0,185.0
15/01/2007,40.92,197.0,7(3.68 %),78100,15464000000,0,0,199.0,199.0,197.0
16/01/2007,40.92,197.0,0(0.00 %),41890,8252000000,0,0,197.0,197.0,197.0
17/01/2007,40.92,197.0,0(0.00 %),39220,7748000000,0,0,197.0,198.0,197.0
18/01/2007,40.51,195.0,-2(-1.02 %),36620,7145000000,0,0,197.0,196.0,195.0
19/01/2007,41.55,200.0,5(2.56 %),51560,10270000000,0,0,199.0,200.0,199.0
22/01/2007,41.34,199.0,-1(-0.50 %),31810,6315000000,0,0,195.0,199.0,195.0
23/01/2007,41.13,198.0,-1(-0.50 %),24780,4925000000,0,0,199.0,199.0,198.0
24/01/2007,41.55,200.0,2(1.01 %),28660,5828000000,0,0,205.0,205.0,200.0
25/01/2007,41.55,200.0,0(0.00 %),13010,2590000000,0,0,198.0,200.0,198.0
26/01/2007,43.62,210.0,10(5.00 %),7460,1567000000,0,0,200.0,210.0,210.0
29/01/2007,45.7,220.0,10(4.76 %),3440,757000000,0,0,220.0,220.0,220.0
30/01/2007,47.99,231.0,11(5.00 %),1060,245000000,0,0,231.0,231.0,231.0
31/01/2007,50.27,242.0,11(4.76 %),2570,257000000,0,0,231.0,242.0,242.0
01/02/2007,52.76,254.0,12(4.96 %),6780,678000000,0,0,254.0,254.0,254.0
02/02/2007,55.26,266.0,12(4.72 %),3460,346000000,0,0,254.0,266.0,266.0
05/02/2007,57.96,279.0,13(4.89 %),7080,1922000000,0,0,279.0,279.0,270.0
06/02/2007,60.66,292.0,13(4.66 %),320,93000000,0,0,292.0,292.0,292.0
07/02/2007,63.57,306.0,14(4.79 %),16600,5080000000,0,0,306.0,306.0,306.0
08/02/2007,66.68,321.0,15(4.90 %),134660,43226000000,0,0,321.0,321.0,321.0
09/02/2007,66.68,321.0,0(0.00 %),43650,13876000000,0,0,321.0,321.0,306.0
12/02/2007,70.01,337.0,16(4.98 %),31670,10521000000,0,0,330.0,337.0,330.0
13/02/2007,71.67,345.0,8(2.37 %),17080,5868000000,0,0,345.0,345.0,340.0
14/02/2007,75.2,362.0,17(4.93 %),32230,11667000000,0,0,362.0,362.0,362.0
15/02/2007,78.94,380.0,18(4.97 %),9300,3534000000,0,0,380.0,380.0,380.0
26/02/2007,82.89,399.0,19(5.00 %),8900,3551000000,0,0,399.0,399.0,399.0
27/02/2007,86.83,418.0,19(4.76 %),15070,6299000000,0,0,418.0,418.0,418.0
28/02/2007,82.68,398.0,-20(-4.78 %),32530,13054000000,0,0,398.0,410.0,398.0
01/03/2007,82.68,398.0,0(0.00 %),49730,19856000000,0,0,398.0,400.0,398.0
02/03/2007,81.22,391.0,-7(-1.76 %),38570,15021000000,0,0,379.0,398.0,379.0
05/03/2007,79.98,385.0,-6(-1.53 %),24350,9445000000,0,0,385.0,391.0,385.0
