Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
21/12/2007,27.0,45.0,0(0.00 %),355730,15483000000,0,0,41.6,48.0,41.6
24/12/2007,25.68,42.8,-2.2(-4.89 %),34120,1463000000,0,0,42.9,44.0,42.8
25/12/2007,26.34,43.9,1.1(2.57 %),49070,2066000000,0,0,40.7,43.9,40.7
26/12/2007,26.1,43.5,-0.4(-0.91 %),46290,1996000000,0,0,43.0,43.5,42.0
27/12/2007,25.2,42.0,-1.5(-3.45 %),28280,1195000000,0,0,42.3,42.8,42.0
28/12/2007,24.6,41.0,-1(-2.38 %),72840,2927000000,0,0,40.0,41.0,39.9
02/01/2008,24.9,41.5,0.5(1.22 %),49060,2039000000,0,0,41.9,41.9,41.0
03/01/2008,24.6,41.0,-0.5(-1.20 %),24090,981000000,0,0,40.2,41.0,40.2
04/01/2008,24.3,40.5,-0.5(-1.22 %),15400,624000000,0,0,41.0,41.0,40.5
07/01/2008,23.1,38.5,-2(-4.94 %),40940,1583000000,0,0,39.0,39.4,38.5
08/01/2008,22.5,37.5,-1(-2.60 %),32120,1213000000,23000,842000000,37.5,39.0,37.5
09/01/2008,21.6,36.0,-1.5(-4.00 %),45440,1652000000,0,0,37.5,37.5,35.7
10/01/2008,20.52,34.2,-1.8(-5.00 %),71740,2461000000,0,0,35.8,35.8,34.2
11/01/2008,21.0,35.0,0.8(2.34 %),34790,1200000000,0,0,34.2,35.0,34.0
14/01/2008,19.98,33.3,-1.7(-4.86 %),38190,1280000000,0,0,33.5,33.6,33.3
15/01/2008,19.02,31.7,-1.6(-4.80 %),40470,1283000000,0,0,33.3,33.3,31.7
16/01/2008,19.92,33.2,1.5(4.73 %),62200,1997000000,0,0,30.5,33.2,30.5
17/01/2008,19.92,33.2,0(0.00 %),30330,1036000000,0,0,34.8,34.8,33.2
18/01/2008,20.1,33.5,0.3(0.90 %),12400,415000000,0,0,33.2,34.0,33.0
21/01/2008,19.26,32.1,-1.4(-4.18 %),12850,417000000,0,0,32.5,33.2,32.1
22/01/2008,18.3,30.5,-1.6(-4.98 %),45650,1397000000,0,0,30.8,30.8,30.5
23/01/2008,17.4,29.0,-1.5(-4.92 %),24410,708000000,0,0,29.0,29.1,29.0
24/01/2008,16.92,28.2,-0.8(-2.76 %),3220,92000000,0,0,30.4,30.4,28.2
25/01/2008,17.34,28.9,0.7(2.48 %),4700,132000000,0,0,27.5,29.0,27.5
