Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
09/08/2024,3.6,3.6,-2(-35.71 %),3807900,15771470000,0,0,3.4,5.9,3.4
12/08/2024,4.1,4.1,0(0.00 %),0,0,0,0,4.1,4.1,4.1
13/08/2024,4.1,4.1,0(0.00 %),0,0,0,0,4.1,4.1,4.1
14/08/2024,4.1,4.1,0(0.00 %),0,0,0,0,4.1,4.1,4.1
15/08/2024,4.1,4.1,0(0.00 %),0,0,0,0,4.1,4.1,4.1
16/08/2024,3.5,3.5,-0.6(-14.63 %),621986,2176951000,226800,793800000,3.5,3.5,3.5
19/08/2024,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
20/08/2024,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
21/08/2024,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
22/08/2024,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
23/08/2024,3.3,3.3,-0.2(-5.71 %),2429542,7435465400,0,0,3.0,3.3,3.0
26/08/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
27/08/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
28/08/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
29/08/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
30/08/2024,3.1,3.1,0(0.00 %),690276,2215171700,0,0,3.1,3.4,3.0
04/09/2024,3.2,3.2,0(0.00 %),0,0,0,0,3.2,3.2,3.2
05/09/2024,3.2,3.2,0(0.00 %),0,0,0,0,3.2,3.2,3.2
06/09/2024,3.1,3.1,-0.1(-3.12 %),601816,1851828000,0,0,3.2,3.2,2.9
09/09/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
10/09/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
11/09/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
12/09/2024,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
