Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
05/07/2017,15.1,15.1,15.1(0.00 %),1913900,28203000000,0,0,14.0,15.1,13.7
06/07/2017,16.15,16.15,1.05(6.95 %),1510210,24390000000,0,0,16.15,16.15,16.15
07/07/2017,17.25,17.25,1.1(6.81 %),2064860,34831000000,0,0,16.5,17.25,16.15
10/07/2017,16.05,16.05,-1.2(-6.96 %),308770,4956000000,0,0,16.05,16.05,16.05
11/07/2017,14.95,14.95,-1.1(-6.85 %),36290,543000000,0,0,14.95,14.95,14.95
12/07/2017,13.95,13.95,-1(-6.69 %),803110,11203000000,0,0,13.95,13.95,13.95
13/07/2017,13.0,13.0,-0.95(-6.81 %),1088250,14147000000,0,0,13.0,13.0,13.0
14/07/2017,12.55,12.55,-0.45(-3.46 %),3256590,39716000000,0,0,12.1,12.7,12.1
17/07/2017,11.85,11.85,-0.7(-5.58 %),2746720,34512000000,0,0,12.4,13.3,11.7
18/07/2017,11.8,11.8,-0.05(-0.42 %),1488330,16848000000,0,0,11.7,12.0,11.05
19/07/2017,11.05,11.05,-0.75(-6.36 %),2023790,22282000000,0,0,11.1,11.5,11.0
20/07/2017,10.4,10.4,-0.65(-5.88 %),2252420,23253000000,0,0,10.5,11.0,10.3
21/07/2017,10.35,10.35,-0.05(-0.48 %),986210,9833000000,0,0,10.35,10.45,9.68
24/07/2017,10.8,10.8,0.45(4.35 %),1277440,13465000000,0,0,10.4,10.9,10.2
25/07/2017,10.5,10.5,-0.3(-2.78 %),750310,7931000000,0,0,10.85,10.9,10.35
26/07/2017,10.5,10.5,0(0.00 %),760090,7788000000,0,0,10.25,10.5,10.0
27/07/2017,11.2,11.2,0.7(6.67 %),1962760,21453000000,0,0,10.5,11.2,10.35
28/07/2017,10.55,10.55,-0.65(-5.80 %),1493320,16091000000,0,0,11.25,11.6,10.45
31/07/2017,10.0,10.0,-0.55(-5.21 %),1123740,11146000000,0,0,10.55,10.6,9.82
01/08/2017,9.5,9.5,-0.5(-5.00 %),1552060,14634000000,0,0,10.05,10.3,9.3
02/08/2017,8.84,8.84,-0.66(-6.95 %),998240,8833000000,0,0,9.2,9.55,8.84
03/08/2017,8.4,8.4,-0.44(-4.98 %),1952410,16097000000,0,0,8.6,8.85,8.23
04/08/2017,7.9,7.9,-0.5(-5.95 %),2015670,15779000000,0,0,8.3,8.45,7.82
07/08/2017,8.45,8.45,0.55(6.96 %),1697270,13966000000,0,0,7.9,8.45,7.86
08/08/2017,8.16,8.16,-0.29(-3.43 %),897350,7573000000,0,0,8.6,8.75,8.1
09/08/2017,8.0,8.0,-0.16(-1.96 %),774110,6111000000,0,0,8.0,8.16,7.8
10/08/2017,8.02,8.02,0.02(0.25 %),611090,4888000000,0,0,8.0,8.2,7.85
11/08/2017,8.2,8.2,0.18(2.24 %),468480,3777000000,0,0,8.05,8.25,7.85
14/08/2017,8.15,8.15,-0.05(-0.61 %),994260,8286000000,0,0,8.25,8.55,8.07
15/08/2017,8.0,8.0,-0.15(-1.84 %),239890,1920000000,0,0,8.2,8.25,7.92
16/08/2017,8.0,8.0,0(0.00 %),253410,2008000000,0,0,8.05,8.12,7.86
17/08/2017,7.86,7.86,-0.14(-1.75 %),219420,1737000000,0,0,8.0,8.1,7.83
18/08/2017,7.82,7.82,-0.04(-0.51 %),778910,6078000000,0,0,7.9,8.0,7.72
21/08/2017,7.82,7.82,0(0.00 %),464440,3622000000,0,0,7.85,7.85,7.72
22/08/2017,7.85,7.85,0.03(0.38 %),296420,2320000000,0,0,7.84,7.92,7.75
23/08/2017,7.82,7.82,-0.03(-0.38 %),489470,3838000000,0,0,7.88,8.0,7.76
24/08/2017,7.85,7.85,0.03(0.38 %),545120,4249000000,0,0,7.85,7.85,7.72
25/08/2017,7.82,7.82,-0.03(-0.38 %),214260,1668000000,0,0,7.82,7.9,7.72
28/08/2017,7.82,7.82,0(0.00 %),411720,3169000000,0,0,7.3,7.82,7.3
29/08/2017,7.86,7.86,0.04(0.51 %),390130,3063000000,0,0,7.82,7.98,7.73
30/08/2017,8.0,8.0,0.14(1.78 %),1100760,8811000000,0,0,7.85,8.2,7.8
31/08/2017,8.56,8.56,0.56(7.00 %),2838340,23701000000,0,0,8.05,8.56,7.98
01/09/2017,9.1,9.1,0.54(6.31 %),3026980,26988000000,0,0,8.7,9.15,8.52
05/09/2017,8.5,8.5,-0.6(-6.59 %),1801510,15273000000,0,0,8.47,9.0,8.47
06/09/2017,7.95,7.95,-0.55(-6.47 %),1775820,14062000000,0,0,8.2,8.5,7.91
07/09/2017,7.82,7.82,-0.13(-1.64 %),1063960,8260000000,0,0,7.95,8.08,7.41
08/09/2017,7.28,7.28,-0.54(-6.91 %),1130870,8344000000,0,0,7.85,7.92,7.28
11/09/2017,6.92,6.92,-0.36(-4.95 %),423440,2906000000,0,0,6.8,7.0,6.8
12/09/2017,6.92,6.92,0(0.00 %),291830,2017000000,0,0,7.0,7.05,6.81
13/09/2017,6.88,6.88,-0.04(-0.58 %),913920,6249000000,0,0,6.92,6.95,6.78
14/09/2017,6.98,6.98,0.1(1.45 %),256410,1782000000,0,0,7.0,7.0,6.88
15/09/2017,7.2,7.2,0.22(3.15 %),621740,4420000000,0,0,7.0,7.25,6.94
18/09/2017,7.4,7.4,0.2(2.78 %),1500400,11139000000,0,0,7.22,7.62,7.16
19/09/2017,7.15,7.15,-0.25(-3.38 %),774450,5658000000,0,0,7.4,7.5,7.08
20/09/2017,7.1,7.1,-0.05(-0.70 %),437110,3102000000,0,0,7.1,7.16,7.07
21/09/2017,7.04,7.04,-0.06(-0.85 %),422980,2986000000,0,0,7.07,7.31,7.04
22/09/2017,7.04,7.04,0(0.00 %),266850,1880000000,0,0,7.02,7.2,7.02
25/09/2017,7.16,7.16,0.12(1.70 %),307490,2179000000,0,0,7.0,7.2,7.0
26/09/2017,7.07,7.07,-0.09(-1.26 %),359490,2557000000,0,0,7.23,7.25,7.07
27/09/2017,7.06,7.06,-0.01(-0.14 %),280630,1985000000,0,0,7.06,7.18,7.06
28/09/2017,7.03,7.03,-0.03(-0.42 %),203060,1432000000,41000,309550000,7.07,7.1,7.03
29/09/2017,7.01,7.01,-0.02(-0.28 %),139910,979000000,0,0,7.0,7.1,6.9
02/10/2017,7.01,7.01,0(0.00 %),128740,902000000,0,0,7.0,7.1,6.93
03/10/2017,6.95,6.95,-0.06(-0.86 %),168460,1172000000,0,0,6.85,7.1,6.78
04/10/2017,6.95,6.95,0(0.00 %),132660,924000000,0,0,7.0,7.0,6.8
05/10/2017,6.95,6.95,0(0.00 %),135120,946000000,0,0,7.22,7.22,6.95
06/10/2017,6.95,6.95,0(0.00 %),104590,730000000,0,0,7.17,7.17,6.91
09/10/2017,6.95,6.95,0(0.00 %),121520,844000000,0,0,7.15,7.15,6.8
10/10/2017,6.95,6.95,0(0.00 %),160010,1112000000,0,0,6.9,7.1,6.9
11/10/2017,6.95,6.95,0(0.00 %),140820,979000000,0,0,6.95,7.0,6.91
12/10/2017,6.95,6.95,0(0.00 %),119850,833000000,0,0,6.95,7.0,6.92
13/10/2017,6.97,6.97,0.02(0.29 %),188680,1314000000,0,0,6.99,7.12,6.92
16/10/2017,6.91,6.91,-0.06(-0.86 %),537220,3683000000,0,0,6.85,7.1,6.85
17/10/2017,6.94,6.94,0.03(0.43 %),244200,1698000000,0,0,6.97,7.0,6.8
18/10/2017,6.97,6.97,0.03(0.43 %),584130,4069000000,0,0,6.96,7.09,6.91
19/10/2017,6.95,6.95,-0.02(-0.29 %),233020,1625000000,0,0,6.9,7.0,6.9
20/10/2017,6.95,6.95,0(0.00 %),139240,964000000,0,0,7.08,7.08,6.8
23/10/2017,6.96,6.96,0.01(0.14 %),212350,1475000000,0,0,6.96,7.1,6.85
24/10/2017,7.2,7.2,0.24(3.45 %),1487700,10419000000,0,0,6.86,7.23,6.86
25/10/2017,7.4,7.4,0.2(2.78 %),406420,2976000000,0,0,7.24,7.44,7.2
26/10/2017,7.35,7.35,-0.05(-0.68 %),913930,6735000000,0,0,7.36,7.47,7.25
27/10/2017,7.44,7.44,0.09(1.22 %),1301890,9645000000,0,0,7.35,7.45,7.18
30/10/2017,7.5,7.5,0.06(0.81 %),395570,2952000000,0,0,7.44,7.55,7.31
31/10/2017,7.5,7.5,0(0.00 %),281690,2076000000,0,0,7.5,7.53,7.3
01/11/2017,7.39,7.39,-0.11(-1.47 %),228290,1677000000,0,0,7.4,7.41,7.3
02/11/2017,7.64,7.64,0.25(3.38 %),728760,5485000000,0,0,7.42,7.65,7.42
03/11/2017,7.7,7.7,0.06(0.79 %),332140,2532000000,0,0,7.64,7.7,7.53
06/11/2017,7.7,7.7,0(0.00 %),581750,4471000000,0,0,7.7,7.76,7.61
07/11/2017,8.23,8.23,0.53(6.88 %),3886020,31130000000,0,0,7.72,8.23,7.65
08/11/2017,7.66,7.66,-0.57(-6.93 %),2989510,25083000000,0,0,8.28,8.78,7.66
09/11/2017,7.31,7.31,-0.35(-4.57 %),2011790,14391000000,0,0,7.13,7.32,7.13
10/11/2017,7.0,7.0,-0.31(-4.24 %),3293070,22419000000,0,0,7.0,7.3,6.8
13/11/2017,6.51,6.51,-0.49(-7.00 %),2499740,16616000000,0,0,6.9,7.03,6.51
14/11/2017,6.62,6.62,0.11(1.69 %),1893530,11713000000,0,0,6.06,6.62,6.06
15/11/2017,6.51,6.51,-0.11(-1.66 %),2492440,15522000000,0,0,6.51,6.6,6.16
16/11/2017,6.39,6.39,-0.12(-1.84 %),2296180,14025000000,0,0,6.51,6.58,6.06
17/11/2017,5.95,5.95,-0.44(-6.89 %),3179990,18938000000,0,0,6.06,6.39,5.95
20/11/2017,5.54,5.54,-0.41(-6.89 %),1409610,7822000000,0,0,5.61,5.89,5.54
21/11/2017,5.92,5.92,0.38(6.86 %),3693150,20305000000,0,0,5.5,5.92,5.16
22/11/2017,5.69,5.69,-0.23(-3.89 %),1556410,8645000000,0,0,5.97,5.98,5.51
23/11/2017,5.3,5.3,-0.39(-6.85 %),1828840,9695000000,0,0,5.39,5.5,5.3
24/11/2017,4.93,4.93,-0.37(-6.98 %),2362590,11662000000,0,0,5.16,5.2,4.93
27/11/2017,5.0,5.0,0.07(1.42 %),3303400,15755000000,0,0,4.62,5.25,4.59
28/11/2017,5.0,5.0,0(0.00 %),1285710,6508000000,0,0,5.0,5.12,4.72
29/11/2017,4.8,4.8,-0.2(-4.00 %),301550,1455000000,0,0,4.81,4.98,4.79
30/11/2017,4.99,4.99,0.19(3.96 %),1600410,7656000000,0,0,4.67,4.99,4.67
01/12/2017,4.89,4.89,-0.1(-2.00 %),579410,2828000000,0,0,4.9,4.98,4.8
04/12/2017,4.89,4.89,0(0.00 %),801600,3918000000,0,0,4.87,5.0,4.8
05/12/2017,4.85,4.85,-0.04(-0.82 %),427880,2086000000,0,0,4.89,4.99,4.82
06/12/2017,4.94,4.94,0.09(1.86 %),723760,3491000000,0,0,4.88,4.95,4.66
07/12/2017,4.92,4.92,-0.02(-0.40 %),256440,1252000000,0,0,4.97,4.97,4.82
08/12/2017,4.9,4.9,-0.02(-0.41 %),339570,1658000000,0,0,4.92,4.93,4.82
11/12/2017,4.88,4.88,-0.02(-0.41 %),882570,4281000000,0,0,4.85,4.9,4.82
12/12/2017,4.88,4.88,0(0.00 %),391140,1882000000,0,0,4.88,4.9,4.67
13/12/2017,4.88,4.88,0(0.00 %),203010,984000000,0,0,4.88,4.9,4.83
14/12/2017,4.99,4.99,0.11(2.25 %),659300,3239000000,0,0,4.85,5.0,4.83
15/12/2017,5.33,5.33,0.34(6.81 %),5122610,26534490000,0,0,5.0,5.33,4.85
18/12/2017,5.2,5.2,-0.13(-2.44 %),1985150,9997000000,0,0,5.35,5.4,4.96
19/12/2017,4.84,4.84,-0.36(-6.92 %),1241420,6011000000,0,0,4.99,4.99,4.84
20/12/2017,4.75,4.75,-0.09(-1.86 %),915950,4221000000,0,0,4.52,4.78,4.52
21/12/2017,4.61,4.61,-0.14(-2.95 %),554760,2567000000,0,0,4.68,4.7,4.61
22/12/2017,4.88,4.88,0.27(5.86 %),718120,3421000000,0,0,4.69,4.9,4.61
25/12/2017,4.54,4.54,-0.34(-6.97 %),1141270,5305000000,0,0,4.9,4.95,4.54
26/12/2017,4.45,4.45,-0.09(-1.98 %),997300,4509000000,0,0,4.3,4.66,4.3
27/12/2017,4.46,4.46,0.01(0.22 %),409360,1851000000,0,0,4.43,4.6,4.43
28/12/2017,4.48,4.48,0.02(0.45 %),1247520,5616000000,0,0,4.41,4.65,4.4
29/12/2017,4.45,4.45,-0.03(-0.67 %),332720,1490000000,0,0,4.59,4.59,4.41
02/01/2018,4.48,4.48,0.03(0.67 %),185440,827230000,0,0,4.45,4.5,4.4
03/01/2018,4.53,4.53,0.05(1.12 %),398730,1821000000,0,0,4.43,4.68,4.43
04/01/2018,4.53,4.53,0(0.00 %),388260,1758000000,0,0,4.59,4.59,4.5
05/01/2018,4.49,4.49,-0.04(-0.88 %),102940,464000000,0,0,4.53,4.56,4.48
08/01/2018,4.4,4.4,-0.09(-2.00 %),173630,770000000,0,0,4.5,4.5,4.3
09/01/2018,4.38,4.38,-0.02(-0.45 %),295240,1289000000,0,0,4.4,4.48,4.3
10/01/2018,4.38,4.38,0(0.00 %),235500,1034000000,0,0,4.4,4.48,4.3
11/01/2018,4.5,4.5,0.12(2.74 %),257760,1146000000,0,0,4.38,4.53,4.35
12/01/2018,4.4,4.4,-0.1(-2.22 %),252830,1118300000,0,0,4.5,4.58,4.4
15/01/2018,4.38,4.38,-0.02(-0.45 %),215790,942990000,0,0,4.4,4.45,4.35
16/01/2018,4.36,4.36,-0.02(-0.46 %),231760,1012000000,0,0,4.35,4.43,4.3
17/01/2018,4.36,4.36,0(0.00 %),301190,1312000000,0,0,4.36,4.39,4.33
18/01/2018,4.5,4.5,0.14(3.21 %),512450,2276000000,0,0,4.35,4.55,4.3
19/01/2018,4.54,4.54,0.04(0.89 %),291840,1315000000,0,0,4.54,4.6,4.43
22/01/2018,4.51,4.51,-0.03(-0.66 %),407140,1845000000,0,0,4.5,4.59,4.45
25/01/2018,4.2,4.2,-0.31(-6.87 %),610090,2565000000,0,0,4.4,4.4,4.2
26/01/2018,4.05,4.05,-0.15(-3.57 %),157060,637000000,0,0,3.95,4.19,3.95
29/01/2018,3.95,3.95,-0.1(-2.47 %),39070,156000000,0,0,4.15,4.15,3.95
30/01/2018,3.81,3.81,-0.14(-3.54 %),92940,357000000,0,0,3.88,3.98,3.8
31/01/2018,3.64,3.64,-0.17(-4.46 %),157270,575000000,0,0,3.72,3.8,3.58
01/02/2018,3.39,3.39,-0.25(-6.87 %),234130,812000000,0,0,3.5,3.64,3.39
02/02/2018,3.2,3.2,-0.19(-5.60 %),159210,517000000,0,0,3.31,3.45,3.2
05/02/2018,2.98,2.98,-0.22(-6.87 %),255730,776100000,0,0,3.2,3.3,2.98
06/02/2018,2.78,2.78,-0.2(-6.71 %),221970,618000000,0,0,2.78,2.87,2.78
07/02/2018,2.97,2.97,0.19(6.83 %),61320,181840000,0,0,2.79,2.97,2.79
08/02/2018,3.04,3.04,0.07(2.36 %),113600,350000000,0,0,3.1,3.13,2.97
09/02/2018,3.0,3.0,-0.04(-1.32 %),71740,204000000,0,0,2.83,3.0,2.83
12/02/2018,3.03,3.03,0.03(1.00 %),32310,97000000,0,0,3.2,3.2,2.86
13/02/2018,3.05,3.05,0.02(0.66 %),64350,198000000,0,0,3.1,3.1,3.0
21/02/2018,3.05,3.05,0(0.00 %),60350,179000000,0,0,3.0,3.15,2.95
22/02/2018,3.02,3.02,-0.03(-0.98 %),9710,29000000,0,0,3.1,3.1,2.96
23/02/2018,2.91,2.91,-0.11(-3.64 %),54970,162000000,0,0,3.09,3.09,2.91
26/02/2018,2.9,2.9,-0.01(-0.34 %),51270,149000000,0,0,2.92,2.92,2.89
27/02/2018,2.92,2.92,0.02(0.69 %),16350,46000000,0,0,2.88,2.94,2.81
28/02/2018,2.94,2.94,0.02(0.68 %),16730,49000000,0,0,2.81,2.94,2.81
01/03/2018,2.92,2.92,-0.02(-0.68 %),18630,54000000,0,0,2.9,2.93,2.88
02/03/2018,2.91,2.91,-0.01(-0.34 %),23830,69000000,0,0,2.92,2.94,2.9
05/03/2018,3.0,3.0,0.09(3.09 %),19300,58000000,0,0,2.92,3.1,2.9
06/03/2018,3.0,3.0,0(0.00 %),58440,176000000,0,0,3.0,3.07,2.91
07/03/2018,3.05,3.05,0.05(1.67 %),64740,197000000,0,0,2.92,3.05,2.92
08/03/2018,3.05,3.05,0(0.00 %),68810,214000000,0,0,3.06,3.15,3.05
09/03/2018,3.07,3.07,0.02(0.66 %),74880,233000000,0,0,3.15,3.15,3.07
12/03/2018,3.17,3.17,0.1(3.26 %),48440,152000000,0,0,3.17,3.19,3.08
13/03/2018,3.18,3.18,0.01(0.32 %),36850,115000000,0,0,3.17,3.18,3.05
14/03/2018,3.15,3.15,-0.03(-0.94 %),46610,146000000,0,0,3.18,3.18,3.05
15/03/2018,3.07,3.07,-0.08(-2.54 %),8680,27000000,0,0,3.15,3.15,3.07
16/03/2018,3.14,3.14,0.07(2.28 %),9220,28000000,0,0,3.14,3.15,3.05
19/03/2018,3.19,3.19,0.05(1.59 %),82100,257000000,0,0,3.22,3.22,3.1
20/03/2018,3.12,3.12,-0.07(-2.19 %),7630,24000000,0,0,3.19,3.19,3.1
21/03/2018,3.12,3.12,0(0.00 %),23400,72000000,0,0,3.12,3.2,3.0
22/03/2018,3.09,3.09,-0.03(-0.96 %),26220,80000000,0,0,3.1,3.12,3.0
23/03/2018,3.08,3.08,-0.01(-0.32 %),11870,35000000,0,0,2.92,3.11,2.92
26/03/2018,3.0,3.0,-0.08(-2.60 %),62920,187000000,0,0,3.08,3.08,2.89
27/03/2018,3.05,3.05,0.05(1.67 %),25640,78000000,0,0,3.0,3.08,2.98
28/03/2018,3.05,3.05,0(0.00 %),16590,50000000,0,0,3.04,3.09,3.0
29/03/2018,3.05,3.05,0(0.00 %),16850,51000000,0,0,3.05,3.05,2.95
30/03/2018,2.9,2.9,-0.15(-4.92 %),18210,53000000,0,0,3.07,3.07,2.9
02/04/2018,2.98,2.98,0.08(2.76 %),2380,7000000,0,0,3.0,3.0,2.9
03/04/2018,2.89,2.89,-0.09(-3.02 %),21370,60000000,0,0,2.9,2.92,2.79
04/04/2018,2.76,2.76,-0.13(-4.50 %),160290,450000000,0,0,2.8,2.93,2.74
05/04/2018,2.78,2.78,0.02(0.72 %),28390,78000000,0,0,2.76,2.8,2.71
06/04/2018,2.8,2.8,0.02(0.72 %),19690,56000000,0,0,2.8,2.85,2.8
09/04/2018,2.8,2.8,0(0.00 %),37940,106000000,0,0,2.95,2.95,2.73
10/04/2018,2.82,2.82,0.02(0.71 %),86460,240000000,0,0,2.75,2.83,2.71
11/04/2018,2.8,2.8,-0.02(-0.71 %),36720,102000000,0,0,2.87,2.87,2.72
12/04/2018,2.79,2.79,-0.01(-0.36 %),85480,237000000,0,0,2.7,2.8,2.7
13/04/2018,2.7,2.7,-0.09(-3.23 %),30330,83000000,0,0,2.8,2.8,2.68
16/04/2018,2.71,2.71,0.01(0.37 %),116040,315000000,0,0,2.77,2.8,2.7
17/04/2018,2.75,2.75,0.04(1.48 %),5730,16000000,0,0,2.75,2.75,2.7
18/04/2018,2.94,2.94,0.19(6.91 %),78440,229000000,0,0,2.73,2.94,2.71
19/04/2018,3.03,3.03,0.09(3.06 %),60930,188000000,0,0,3.14,3.14,2.95
20/04/2018,3.0,3.0,-0.03(-0.99 %),21720,65000000,0,0,3.09,3.1,2.9
23/04/2018,2.9,2.9,-0.1(-3.33 %),606260,1757000000,0,0,2.85,3.09,2.85
24/04/2018,2.88,2.88,-0.02(-0.69 %),19160,56000000,0,0,2.98,2.98,2.8
26/04/2018,2.89,2.89,0.01(0.35 %),588840,1705000000,0,0,2.95,2.95,2.88
27/04/2018,2.9,2.9,0.01(0.35 %),143770,417000000,0,0,2.95,2.95,2.89
02/05/2018,2.88,2.88,-0.02(-0.69 %),30830,88000000,0,0,2.88,2.9,2.76
03/05/2018,2.88,2.88,0(0.00 %),2610,7000000,0,0,2.8,2.94,2.8
04/05/2018,2.89,2.89,0.01(0.35 %),3130,9000000,0,0,2.94,2.94,2.76
07/05/2018,2.83,2.83,-0.06(-2.08 %),40250,110000000,0,0,2.89,2.89,2.71
08/05/2018,2.8,2.8,-0.03(-1.06 %),52160,142000000,0,0,2.88,2.88,2.7
09/05/2018,2.78,2.78,-0.02(-0.71 %),102700,278000000,0,0,2.71,2.79,2.68
10/05/2018,2.75,2.75,-0.03(-1.08 %),73680,199000000,0,0,2.79,2.79,2.68
11/05/2018,2.66,2.66,-0.09(-3.27 %),55330,149000000,0,0,2.75,2.77,2.66
14/05/2018,2.73,2.73,0.07(2.63 %),17060,46000000,0,0,2.65,2.73,2.65
15/05/2018,2.73,2.73,0(0.00 %),44270,119000000,0,0,2.78,2.78,2.67
16/05/2018,2.76,2.76,0.03(1.10 %),6460,17000000,0,0,2.76,2.76,2.66
17/05/2018,2.72,2.72,-0.04(-1.45 %),19130,52000000,0,0,2.76,2.76,2.68
18/05/2018,2.62,2.62,-0.1(-3.68 %),84400,219000000,0,0,2.76,2.76,2.54
21/05/2018,2.68,2.68,0.06(2.29 %),9980,27000000,0,0,2.69,2.69,2.66
22/05/2018,2.69,2.69,0.01(0.37 %),263110,720000000,0,0,2.74,2.74,2.68
23/05/2018,2.65,2.65,-0.04(-1.49 %),10950,29000000,0,0,2.67,2.67,2.61
24/05/2018,2.65,2.65,0(0.00 %),9450,25000000,0,0,2.68,2.68,2.56
25/05/2018,2.62,2.62,-0.03(-1.13 %),27450,72000000,0,0,2.68,2.68,2.55
28/05/2018,2.6,2.6,-0.02(-0.76 %),23300,59000000,0,0,2.62,2.62,2.44
29/05/2018,2.62,2.62,0.02(0.77 %),38430,101000000,0,0,2.6,2.65,2.6
30/05/2018,2.7,2.7,0.08(3.05 %),20750,54000000,0,0,2.7,2.7,2.57
31/05/2018,2.71,2.71,0.01(0.37 %),4420,12000000,0,0,2.7,2.72,2.61
01/06/2018,2.7,2.7,-0.01(-0.37 %),62450,169000000,0,0,2.56,2.8,2.56
04/06/2018,2.55,2.55,-0.15(-5.56 %),36550,94000000,0,0,2.72,2.72,2.55
05/06/2018,2.67,2.67,0.12(4.71 %),9890,26000000,0,0,2.7,2.7,2.65
06/06/2018,2.65,2.65,-0.02(-0.75 %),7950,21000000,0,0,2.67,2.69,2.62
07/06/2018,2.64,2.64,-0.01(-0.38 %),40820,106000000,0,0,2.64,2.64,2.59
08/06/2018,2.65,2.65,0.01(0.38 %),39050,103000000,0,0,2.62,2.68,2.56
11/06/2018,2.65,2.65,0(0.00 %),3390,9000000,0,0,2.65,2.65,2.54
12/06/2018,2.65,2.65,0(0.00 %),13390,34000000,0,0,2.54,2.65,2.51
13/06/2018,2.68,2.68,0.03(1.13 %),29910,80000000,0,0,2.65,2.7,2.65
14/06/2018,2.7,2.7,0.02(0.75 %),88740,235000000,0,0,2.68,2.72,2.6
15/06/2018,2.88,2.88,0.18(6.67 %),219850,620000000,0,0,2.8,2.88,2.7
18/06/2018,3.08,3.08,0.2(6.94 %),663570,2043000000,0,0,3.08,3.08,3.07
19/06/2018,2.87,2.87,-0.21(-6.82 %),352040,1023000000,0,0,3.25,3.25,2.87
20/06/2018,2.82,2.82,-0.05(-1.74 %),70650,194000000,0,0,2.8,2.88,2.69
21/06/2018,2.7,2.7,-0.12(-4.26 %),146340,390000000,0,0,2.89,2.9,2.63
22/06/2018,2.71,2.71,0.01(0.37 %),38420,103000000,0,0,2.56,2.79,2.56
25/06/2018,2.63,2.63,-0.08(-2.95 %),89250,236000000,0,0,2.79,2.79,2.63
26/06/2018,2.54,2.54,-0.09(-3.42 %),187080,483000000,0,0,2.63,2.63,2.5
27/06/2018,2.6,2.6,0.06(2.36 %),50110,130000000,0,0,2.54,2.68,2.54
28/06/2018,2.56,2.56,-0.04(-1.54 %),80270,202000000,0,0,2.6,2.6,2.5
29/06/2018,2.57,2.57,0.01(0.39 %),18700,49000000,0,0,2.65,2.65,2.57
02/07/2018,2.5,2.5,-0.07(-2.72 %),16760,42000000,0,0,2.57,2.57,2.49
03/07/2018,2.4,2.4,-0.1(-4.00 %),202200,482000000,0,0,2.54,2.54,2.33
04/07/2018,2.54,2.54,0.14(5.83 %),120890,304000000,0,0,2.4,2.56,2.4
05/07/2018,2.5,2.5,-0.04(-1.57 %),72870,179000000,0,0,2.56,2.56,2.4
06/07/2018,2.56,2.56,0.06(2.40 %),42720,107000000,0,0,2.54,2.58,2.38
09/07/2018,2.58,2.58,0.02(0.78 %),137970,357000000,0,0,2.6,2.61,2.5
10/07/2018,2.59,2.59,0.01(0.39 %),850,2000000,0,0,2.6,2.6,2.48
11/07/2018,2.56,2.56,-0.03(-1.16 %),81560,204000000,0,0,2.5,2.59,2.48
12/07/2018,2.55,2.55,-0.01(-0.39 %),24210,60000000,0,0,2.55,2.6,2.41
