Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
25/05/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
26/05/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
27/05/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
28/05/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
31/05/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
01/06/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
02/06/2010,0,0,0(0.00 %),0,0,0,0,2450000,0.0
03/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
04/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
07/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
08/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
09/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
10/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
11/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
14/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
15/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
16/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
17/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
18/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
21/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
22/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
23/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
24/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
25/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
28/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
29/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
30/06/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
01/07/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
02/07/2010,0,0,20(0.00 %),0,0,0,0,2450000,0.0
05/07/2010,0,0,22(10.00 %),0,0,0,0,2450000,0.0
06/07/2010,0,0,22(0.00 %),0,0,0,0,2450000,0.0
07/07/2010,0,0,22(0.00 %),0,0,0,0,2450000,0.0
08/07/2010,0,0,24.2(10.00 %),0,0,0,0,2450000,0.0
09/07/2010,0,0,26.6(9.92 %),0,0,0,0,2450000,0.0
12/07/2010,0,0,29.2(9.77 %),0,0,0,0,2450000,0.0
13/07/2010,0,0,29.2(0.00 %),0,0,0,0,2450000,0.0
14/07/2010,0,0,29.2(0.00 %),0,0,0,0,2450000,0.0
15/07/2010,0,0,32.1(9.93 %),0,0,0,0,2450000,0.0
16/07/2010,0,0,35.3(9.97 %),0,0,0,0,2450000,0.0
19/07/2010,0,0,35.3(0.00 %),0,0,0,0,2450000,0.0
20/07/2010,0,0,42.6(9.79 %),0,0,0,0,2450000,0.0
21/07/2010,0,0,46.8(9.86 %),0,0,0,0,2450000,0.0
22/07/2010,0,0,43(-8.12 %),0,0,0,0,2450000,0.0
23/07/2010,0,0,40.5(-6.47 %),0,0,0,0,2450000,0.0
26/07/2010,0,0,40.5(2.27 %),0,0,0,0,2450000,0.0
27/07/2010,0,0,35.7(-9.85 %),0,0,0,0,2450000,0.0
28/07/2010,0,0,35(-2.23 %),0,0,0,0,2450000,0.0
29/07/2010,0,0,38.4(9.71 %),0,0,0,0,2450000,0.0
30/07/2010,0,0,38.7(9.32 %),0,0,0,0,2450000,0.0
02/08/2010,0,0,38.5(-0.52 %),0,0,0,0,2450000,0.0
03/08/2010,0,0,38.5(0.00 %),0,0,0,0,2450000,0.0
04/08/2010,0,0,35.5(-7.79 %),0,0,0,0,2450000,0.0
05/08/2010,0,0,34(-4.23 %),0,0,0,0,2450000,0.0
06/08/2010,0,0,33(-3.51 %),0,0,0,0,2450000,0.0
09/08/2010,0,0,29.7(-10.00 %),0,0,0,0,2450000,0.0
10/08/2010,0,0,34.4(9.90 %),0,0,0,0,2450000,0.0
11/08/2010,0,0,34.4(0.00 %),0,0,0,0,2450000,0.0
12/08/2010,0,0,31(-9.88 %),0,0,0,0,2450000,0.0
13/08/2010,0,0,34.1(10.00 %),0,0,0,0,2450000,0.0
16/08/2010,0,0,34.1(0.00 %),0,0,0,0,2450000,0.0
