Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
20/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
23/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
24/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
25/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
26/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
27/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
30/11/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
01/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
02/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
03/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
04/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
07/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
08/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
09/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
10/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
11/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
14/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
15/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
16/12/2015,5.7,11.5,0(0.00 %),17700,203550000,0,0,11.5,11.5,11.5
17/12/2015,5.7,11.5,0(0.00 %),0,0,50,500000,11.5,11.5,11.5
18/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
21/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
22/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
23/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
24/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
25/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
28/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
29/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
30/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
31/12/2015,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
04/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
05/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
06/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
07/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
08/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
11/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
12/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
13/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
14/01/2016,5.7,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
