Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
17/10/2006,10,500,0(0.00 %),10,500,0,0,0,0.0
18/10/2006,28350,1346625,0(0.00 %),28350,1346625,0,0,0,0.0
19/10/2006,29540,1417420,0(0.00 %),29540,1417420,0,0,0,0.0
20/10/2006,100,4850,0(0.00 %),100,4850,0,0,0,0.0
23/10/2006,34000,1644720,0(0.00 %),34000,1644720,0,0,0,0.0
24/10/2006,60100,2746700,0(0.00 %),60100,2746700,0,0,0,0.0
25/10/2006,1400,65550,0(0.00 %),1400,65550,0,0,0,0.0
26/10/2006,2100,94500,0(0.00 %),2100,94500,0,0,0,0.0
27/10/2006,700,31500,0(0.00 %),700,31500,0,0,0,0.0
30/10/2006,770,34650,0(0.00 %),770,34650,0,0,0,0.0
09/11/2006,-4000,-174400,0(0.00 %),0,0,4000,174400,0,0.0
10/11/2006,-3000,-129900,0(0.00 %),0,0,3000,129900,0,0.0
15/11/2006,100,4400,0(0.00 %),100,4400,0,0,0,0.0
16/11/2006,600,26100,0(0.00 %),600,26100,0,0,0,0.0
20/11/2006,650,28200,0(0.00 %),650,28200,0,0,0,0.0
21/11/2006,5650,234496,0(0.00 %),5650,234496,0,0,0,0.0
22/11/2006,-10000,-435000,0(0.00 %),0,0,10000,435000,0,0.0
23/11/2006,-8000,-334400,0(0.00 %),0,0,8000,334400,0,0.0
28/11/2006,10000,431000,0(0.00 %),10000,431000,0,0,0,0.0
29/11/2006,8000,342780,0(0.00 %),8000,342780,0,0,0,0.0
04/12/2006,-2000,-85000,0(0.00 %),0,0,2000,85000,0,0.0
05/12/2006,-1530,-63495,0(0.00 %),0,0,1530,63495,0,0.0
06/12/2006,-5700,-236550,0(0.00 %),0,0,5700,236550,0,0.0
07/12/2006,-4770,-197570,0(0.00 %),0,0,4770,197570,0,0.0
08/12/2006,2000,88000,0(0.00 %),2000,88000,0,0,0,0.0
11/12/2006,1040,46220,0(0.00 %),1040,46220,0,0,0,0.0
12/12/2006,2000,84000,0(0.00 %),2000,84000,0,0,0,0.0
13/12/2006,3100,131750,0(0.00 %),3100,131750,0,0,0,0.0
15/12/2006,-11340,-478950,0(0.00 %),0,0,11340,478950,0,0.0
18/12/2006,5000,215000,0(0.00 %),5000,215000,0,0,0,0.0
19/12/2006,-180,-7750,0(0.00 %),320,13600,500,21350,0,0.0
20/12/2006,-5960,-244470,42(-1.18 %),540,22680,6500,267150,0,0.0
21/12/2006,300,12300,39.9(-5.00 %),300,12300,0,0,0,0.0
22/12/2006,11000,458700,41.7(4.51 %),11000,458700,0,0,0,0.0
26/12/2006,1000,42800,42.8(-0.47 %),1000,42800,0,0,0,0.0
27/12/2006,400,16880,42(-1.87 %),400,16880,0,0,0,0.0
28/12/2006,1000,40100,41(-2.38 %),1000,40100,0,0,0,0.0
29/12/2006,4600,197540,43(4.88 %),4600,197540,0,0,0,0.0
01/03/2007,-5000,-236500000,47.3(4.88 %),0,0,5000,236500000,0,0.0
02/03/2007,-8000,-396800000,49.6(4.86 %),0,0,8000,396800000,0,0.0
05/03/2007,-9000,-468000000,52(4.84 %),0,0,9000,468000000,0,0.0
06/03/2007,0,0,54.5(4.81 %),0,0,0,0,0,0.0
07/03/2007,0,0,57(4.59 %),0,0,0,0,0,0.0
08/03/2007,-51000,-3034500000,59.5(4.39 %),0,0,51000,3034500000,0,0.0
09/03/2007,0,-13670000,61(2.52 %),10000,595000000,10000,608670000,0,0.0
12/03/2007,-8000,-512000000,63.5(4.10 %),167000,10688000000,175000,11200000000,0,0.0
13/03/2007,-38200,-2540300000,66.5(4.72 %),0,0,38200,2540300000,0,0.0
14/03/2007,-8500,-590750000,66(-0.75 %),1500,104250000,10000,695000000,0,0.0
15/03/2007,900,56700000,63(-4.55 %),900,56700000,0,0,0,0.0
16/03/2007,-15760,-1040160000,66(4.76 %),0,0,15760,1040160000,0,0.0
19/03/2007,70,4480000,64(-3.03 %),16011,1072527000,15941,1068047000,0,0.0
20/03/2007,-830,-54780000,66(3.12 %),170,11220000,1000,66000000,0,0.0
21/03/2007,190,11970000,63(-4.55 %),190,11970000,0,0,0,0.0
22/03/2007,0,0,60(-4.76 %),0,0,0,0,0,0.0
23/03/2007,-10000,-570000000,57(-5.00 %),0,0,10000,570000000,0,0.0
26/03/2007,0,0,54.5(-4.39 %),0,0,0,0,0,0.0
27/03/2007,0,0,52(-4.59 %),0,0,0,0,0,0.0
28/03/2007,1000,50000000,49.4(-5.00 %),1000,50000000,0,0,0,0.0
29/03/2007,-2990,-148005000,51.5(4.25 %),10,495000,3000,148500000,0,0.0
30/03/2007,100,5400000,51(-0.97 %),100,5400000,0,0,0,0.0
02/04/2007,100,4850000,48.5(-4.90 %),100,4850000,0,0,0,0.0
03/04/2007,0,0,46.1(-4.95 %),0,0,0,0,0,0.0
04/04/2007,-470,-21855000,46.5(0.87 %),0,0,470,21855000,0,0.0
05/04/2007,0,0,47.2(1.51 %),0,0,0,0,0,0.0
06/04/2007,3000,141600000,46.9(-0.64 %),3000,141600000,0,0,0,0.0
09/04/2007,50,2250000,45(-4.05 %),50,2250000,0,0,0,0.0
10/04/2007,0,0,44.5(-1.11 %),0,0,0,0,0,0.0
11/04/2007,-50,-2225000,45.4(2.02 %),0,0,50,2225000,0,0.0
12/04/2007,0,0,45(-0.88 %),0,0,0,0,0,0.0
13/04/2007,200,8840000,43.6(-3.11 %),200,8840000,0,0,0,0.0
16/04/2007,0,0,41.5(-4.82 %),0,0,0,0,0,0.0
17/04/2007,0,-930000,43(3.61 %),600,24870000,600,25800000,0,0.0
18/04/2007,1000,45000000,45.1(4.88 %),1000,45000000,0,0,0,0.0
19/04/2007,15000,678000000,45.2(0.22 %),15000,678000000,0,0,0,0.0
20/04/2007,2000,90000000,45(-0.44 %),2000,90000000,0,0,0,0.0
23/04/2007,0,0,43(-4.44 %),0,0,0,0,0,0.0
24/04/2007,0,0,41.5(-3.49 %),0,0,0,0,0,0.0
25/04/2007,0,0,42.6(2.65 %),0,0,0,0,0,0.0
02/05/2007,10000,443600000,44.4(4.23 %),10000,443600000,0,0,0,0.0
03/05/2007,-500,-22500000,43.5(-2.03 %),0,0,500,22500000,0,0.0
04/05/2007,500,21000000,42(-3.45 %),500,21000000,0,0,0,0.0
07/05/2007,0,0,42.5(1.19 %),0,0,0,0,0,0.0
08/05/2007,0,0,43.5(2.35 %),0,0,0,0,0,0.0
09/05/2007,600,25800000,43(-1.15 %),600,25800000,0,0,0,0.0
10/05/2007,0,0,43(0.00 %),0,0,0,0,0,0.0
11/05/2007,500,21750000,43.5(1.16 %),500,21750000,0,0,0,0.0
14/05/2007,0,0,44(1.15 %),0,0,0,0,0,0.0
15/05/2007,0,0,44(0.00 %),0,0,0,0,0,0.0
16/05/2007,0,0,43(-2.27 %),0,0,0,0,0,0.0
17/05/2007,90,3870000,43.2(0.47 %),90,3870000,0,0,0,0.0
18/05/2007,0,0,44(1.85 %),0,0,0,0,0,0.0
21/05/2007,300,13620000,46.2(5.00 %),300,13620000,0,0,0,0.0
22/05/2007,-200,-9700000,48.5(4.98 %),0,0,200,9700000,0,0.0
23/05/2007,0,0,50.5(4.12 %),0,0,0,0,0,0.0
24/05/2007,0,0,52(2.97 %),100,5300000,100,5300000,0,0.0
