Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/07/2011,5.68,13.2,0.2(1.54 %),800,9460000,0,0,9.9,13.2,9.2
15/07/2011,4.74,11.0,-0.8(-6.78 %),100,1100000,0,0,11.0,11.0,11.0
18/07/2011,4.74,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
19/07/2011,4.74,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
20/07/2011,4.74,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
21/07/2011,4.74,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
22/07/2011,4.74,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
25/07/2011,4.43,10.3,-0.7(-6.36 %),100,1030000,0,0,10.3,10.3,10.3
26/07/2011,4.13,9.6,-0.7(-6.80 %),9900,95040000,0,0,9.6,9.6,9.6
27/07/2011,3.87,9.0,-0.6(-6.25 %),100,900000,0,0,9.0,9.0,9.0
28/07/2011,3.87,9.0,0(0.00 %),100,900000,0,0,9.0,9.0,9.0
29/07/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
01/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
02/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
03/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
04/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
05/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
08/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
09/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
10/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
11/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
12/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
15/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
16/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
17/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
18/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
19/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
22/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
23/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
24/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
25/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
26/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
29/08/2011,3.87,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
30/08/2011,3.62,8.4,-0.6(-6.67 %),200,1680000,0,0,8.4,8.4,8.4
31/08/2011,3.62,8.4,0(0.00 %),0,0,0,0,8.4,8.4,8.4
01/09/2011,3.62,8.4,0(0.00 %),0,0,0,0,8.4,8.4,8.4
05/09/2011,3.62,8.4,0(0.00 %),0,0,0,0,8.4,8.4,8.4
06/09/2011,3.62,8.4,0(0.00 %),0,0,0,0,8.4,8.4,8.4
07/09/2011,3.62,8.4,0(0.00 %),0,0,0,0,8.4,8.4,8.4
08/09/2011,3.4,7.9,-0.5(-5.95 %),100,790000,0,0,7.9,7.9,7.9
09/09/2011,3.19,7.4,-0.5(-6.33 %),1400,10360000,0,0,7.4,7.4,7.4
12/09/2011,2.97,6.9,-0.5(-6.76 %),100,690000,0,0,6.9,6.9,6.9
13/09/2011,2.8,6.5,-0.4(-5.80 %),13900,90720000,0,0,6.8,6.8,6.5
14/09/2011,2.88,6.7,0.2(3.08 %),1100,7370000,0,0,6.7,6.7,6.7
15/09/2011,2.71,6.3,-0.4(-5.97 %),1200,7560000,0,0,6.3,6.3,6.3
16/09/2011,2.54,5.9,-0.4(-6.35 %),1000,5900000,0,0,5.9,5.9,5.9
19/09/2011,2.54,5.9,0(0.00 %),0,0,0,0,5.9,5.9,5.9
20/09/2011,2.58,6.0,0.1(1.69 %),1800,10520000,0,0,6.2,6.2,5.6
21/09/2011,2.67,6.2,0.4(6.90 %),2600,16120000,0,0,6.2,6.2,6.2
22/09/2011,2.8,6.5,0.3(4.84 %),100,650000,0,0,6.5,6.5,6.5
23/09/2011,2.63,6.1,-0.4(-6.15 %),4100,25040000,0,0,6.4,6.4,6.1
26/09/2011,2.63,6.1,0(0.00 %),0,0,0,0,6.1,6.1,6.1
