Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
29/06/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
30/06/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
01/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
02/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
03/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
06/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
07/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
08/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
09/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
10/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
13/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
14/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
15/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
16/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
17/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
20/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
21/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
22/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
23/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
24/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
27/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
28/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
29/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
30/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
31/07/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
03/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
04/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
05/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
06/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
07/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
10/08/2015,5.1,11.3,0(0.00 %),5000,56500000,0,0,11.3,11.3,11.3
11/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
12/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
13/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
14/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
17/08/2015,5.1,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
18/08/2015,5.1,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
19/08/2015,5.1,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
20/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
21/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
24/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
25/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
26/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
27/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
28/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
31/08/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
01/09/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
03/09/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
04/09/2015,5.33,11.3,0.5(4.63 %),0,0,0,0,10.8,10.8,10.8
07/09/2015,4.72,10.0,-0.8(-7.41 %),5000,50000000,0,0,10.0,10.0,10.0
08/09/2015,4.72,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
