Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
22/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
23/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
24/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
27/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
28/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
29/06/2011,0,0,0(0.00 %),0,0,0,0,11858000,0.0
30/06/2011,0,0,20.3(-4.69 %),0,0,0,0,11858000,0.0
01/07/2011,0,0,20.2(-0.49 %),0,0,0,0,11858000,0.0
04/07/2011,0,0,19.2(-4.95 %),0,0,0,0,11858000,0.0
05/07/2011,0,0,18.3(-4.69 %),0,0,0,0,11858000,0.0
06/07/2011,0,0,17.4(-4.92 %),0,0,0,0,11858000,0.0
07/07/2011,0,0,16.6(-4.60 %),0,0,0,0,11858000,0.0
08/07/2011,0,0,15.8(-4.82 %),0,0,0,0,11858000,0.0
11/07/2011,0,0,15.1(-4.43 %),0,0,0,0,11858000,0.0
12/07/2011,0,0,14.4(-4.64 %),0,0,0,0,11858000,0.0
13/07/2011,3000,43560000,14.4(0.00 %),3000,43560000,0,0,11855000,0.01
14/07/2011,0,0,14(-2.78 %),0,0,0,0,11855000,0.01
15/07/2011,1000,13800000,13.3(-5.00 %),1000,13800000,0,0,11854000,0.02
18/07/2011,0,0,13.8(3.76 %),0,0,0,0,11854000,0.02
19/07/2011,3000,40200000,13.4(-2.90 %),3000,40200000,0,0,11851000,0.03
20/07/2011,0,0,13.4(0.00 %),0,0,0,0,11851000,0.03
21/07/2011,0,0,13.8(2.99 %),0,0,0,0,11851000,0.03
22/07/2011,0,0,13.2(-4.35 %),0,0,0,0,11851000,0.03
25/07/2011,0,0,13(-1.52 %),0,0,0,0,11851000,0.03
26/07/2011,0,0,12.4(-4.62 %),0,0,0,0,11851000,0.03
27/07/2011,0,0,13(4.84 %),0,0,0,0,11851000,0.03
28/07/2011,100,1300000,12.4(-4.62 %),100,1300000,0,0,11850900,0.03
29/07/2011,4800,57720000,11.9(-4.03 %),4800,57720000,0,0,11846100,0.05
01/08/2011,2000,23000000,11.9(0.00 %),2000,23000000,0,0,11844100,0.06
02/08/2011,0,0,12.1(1.68 %),0,0,0,0,11844100,0.06
03/08/2011,0,0,12.5(3.31 %),0,0,0,0,11844100,0.06
04/08/2011,0,0,12.9(3.20 %),0,0,0,0,11844100,0.06
05/08/2011,0,0,12.5(-3.10 %),0,0,0,0,11844100,0.06
08/08/2011,0,0,11.9(-4.80 %),0,0,0,0,11844100,0.06
09/08/2011,0,0,11.4(-4.20 %),0,0,0,0,11844100,0.06
