Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
30/06/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
01/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
02/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
03/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
04/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
07/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
08/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
09/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
10/07/2008,0,0,40.3(-2.89 %),0,0,0,0,0,0.0
11/07/2008,0,0,40.3(0.00 %),0,0,0,0,0,0.0
14/07/2008,0,0,39.1(-2.98 %),0,0,0,0,0,0.0
15/07/2008,0,0,38(-2.81 %),0,0,0,0,0,0.0
16/07/2008,0,0,36.9(-2.89 %),0,0,0,0,0,0.0
17/07/2008,0,0,35.8(-2.98 %),0,0,0,0,0,0.0
18/07/2008,0,0,34.8(-2.79 %),0,0,0,0,0,0.0
21/07/2008,0,0,34(-2.30 %),0,0,0,0,0,0.0
22/07/2008,0,0,34(0.00 %),0,0,0,0,0,0.0
23/07/2008,0,0,33(-2.94 %),0,0,0,0,0,0.0
24/07/2008,0,0,32.1(-2.73 %),0,0,0,0,0,0.0
25/07/2008,0,0,31.2(-2.80 %),0,0,0,0,0,0.0
28/07/2008,0,0,30.3(-2.88 %),0,0,0,0,0,0.0
29/07/2008,0,0,29.4(-2.97 %),0,0,0,0,0,0.0
30/07/2008,0,0,29.4(0.00 %),0,0,0,0,0,0.0
31/07/2008,0,0,28.6(-2.72 %),0,0,0,0,0,0.0
01/08/2008,0,0,27.8(-2.80 %),0,0,0,0,0,0.0
04/08/2008,0,0,27(-2.88 %),0,0,0,0,0,0.0
05/08/2008,0,0,27(0.00 %),0,0,0,0,0,0.0
06/08/2008,0,0,26.2(-2.96 %),0,0,0,0,0,0.0
07/08/2008,0,0,25.5(-2.67 %),0,0,0,0,0,0.0
08/08/2008,0,0,24.8(-2.75 %),0,0,0,0,0,0.0
11/08/2008,0,0,24.1(-2.82 %),0,0,0,0,0,0.0
12/08/2008,0,0,23.4(-2.90 %),0,0,0,0,0,0.0
13/08/2008,0,0,22.7(-2.99 %),0,0,0,0,0,0.0
14/08/2008,0,0,22.1(-2.64 %),0,0,0,0,0,0.0
15/08/2008,0,0,21.5(-2.71 %),0,0,0,0,0,0.0
18/08/2008,0,0,20.5(-4.65 %),0,0,0,0,0,0.0
19/08/2008,50,975000,19.5(-4.88 %),50,975000,0,0,0,0.0
20/08/2008,0,0,18.6(-4.62 %),0,0,0,0,0,0.0
21/08/2008,0,0,17.7(-4.84 %),0,0,0,0,0,0.0
22/08/2008,0,0,16.9(-4.52 %),0,0,0,0,0,0.0
25/08/2008,0,0,17.7(4.73 %),0,0,0,0,0,0.0
26/08/2008,0,0,18.5(4.52 %),0,0,0,0,0,0.0
27/08/2008,0,0,19.4(4.86 %),0,0,0,0,0,0.0
28/08/2008,1540,30800000,20.3(4.64 %),1540,30800000,0,0,0,0.0
29/08/2008,100,1930000,19.3(-4.93 %),100,1930000,0,0,0,0.0
03/09/2008,300,5520000,18.4(-4.66 %),300,5520000,0,0,0,0.0
04/09/2008,100,1750000,17.5(-4.89 %),100,1750000,0,0,0,0.0
05/09/2008,0,0,16.7(-4.57 %),0,0,0,0,0,0.0
08/09/2008,-1540,-24640000,16.7(0.00 %),0,0,1540,24640000,0,0.0
09/09/2008,41000,717500000,17.5(4.79 %),41000,717500000,0,0,0,0.0
10/09/2008,33120,606096000,17.5(0.00 %),33120,606096000,0,0,0,0.0
11/09/2008,100,1680000,16.7(-4.57 %),100,1680000,0,0,0,0.0
12/09/2008,0,0,15.9(-4.79 %),0,0,0,0,0,0.0
15/09/2008,0,0,15.2(-4.40 %),0,0,0,0,0,0.0
16/09/2008,0,0,14.5(-4.61 %),0,0,0,0,0,0.0
17/09/2008,0,0,13.8(-4.83 %),0,0,0,0,0,0.0
18/09/2008,3500,46200000,13.2(-4.35 %),3500,46200000,0,0,0,0.0
19/09/2008,0,0,13.8(4.55 %),0,0,0,0,0,0.0
22/09/2008,0,0,14.4(4.35 %),0,0,0,0,0,0.0
23/09/2008,40,548000,13.7(-4.86 %),40,548000,0,0,0,0.0
24/09/2008,0,0,13.1(-4.38 %),0,0,0,0,0,0.0
25/09/2008,200,2500000,12.5(-4.58 %),200,2500000,0,0,0,0.0
26/09/2008,0,0,13(4.00 %),0,0,0,0,0,0.0
29/09/2008,0,0,12.4(-4.62 %),0,0,0,0,0,0.0
30/09/2008,0,0,11.8(-4.84 %),0,0,0,0,0,0.0
01/10/2008,0,0,11.4(-3.39 %),0,0,0,0,0,0.0
02/10/2008,0,0,11.9(4.39 %),0,0,0,0,0,0.0
03/10/2008,0,0,12.2(2.52 %),0,0,0,0,0,0.0
06/10/2008,2320,27712000,11.6(-4.92 %),2320,27712000,0,0,0,0.0
07/10/2008,1140,12654000,11.1(-4.31 %),1140,12654000,0,0,0,0.0
08/10/2008,-74040,-784909000,10.6(-4.50 %),0,0,74040,784909000,0,0.0
09/10/2008,200,2020000,10.1(-4.72 %),200,2020000,0,0,0,0.0
10/10/2008,50,480000,9.6(-4.95 %),50,480000,0,0,0,0.0
13/10/2008,50,460000,9.2(-4.17 %),50,460000,0,0,0,0.0
14/10/2008,0,0,9.6(4.35 %),0,0,0,0,0,0.0
15/10/2008,0,0,9.9(3.12 %),0,0,0,0,0,0.0
16/10/2008,-500,-4750000,9.5(-4.04 %),0,0,500,4750000,0,0.0
17/10/2008,0,0,9.1(-4.21 %),0,0,0,0,0,0.0
20/10/2008,0,0,8.9(-2.20 %),0,0,0,0,0,0.0
21/10/2008,0,0,9(1.12 %),0,0,0,0,0,0.0
22/10/2008,0,0,9(0.00 %),0,0,0,0,0,0.0
23/10/2008,80,688000,8.6(-4.44 %),80,688000,0,0,0,0.0
24/10/2008,0,0,8.5(-1.16 %),0,0,0,0,0,0.0
27/10/2008,0,0,8.1(-4.71 %),0,0,0,0,0,0.0
28/10/2008,0,0,7.7(-4.94 %),0,0,0,0,0,0.0
29/10/2008,170,1292000,7.9(2.60 %),170,1292000,0,0,0,0.0
30/10/2008,0,0,7.7(-2.53 %),0,0,0,0,0,0.0
31/10/2008,0,0,7.8(1.30 %),0,0,0,0,0,0.0
03/11/2008,0,0,7.5(-3.85 %),0,0,0,0,0,0.0
04/11/2008,0,0,7.8(4.00 %),0,0,0,0,0,0.0
05/11/2008,0,0,8.1(3.85 %),0,0,0,0,0,0.0
06/11/2008,0,0,7.8(-3.70 %),0,0,0,0,0,0.0
07/11/2008,0,0,7.5(-3.85 %),0,0,0,0,0,0.0
10/11/2008,0,0,7.6(1.33 %),0,0,0,0,0,0.0
11/11/2008,0,0,7.3(-3.95 %),0,0,0,0,0,0.0
12/11/2008,-530,-3816000,7(-4.11 %),0,0,530,3816000,0,0.0
13/11/2008,-100,-700000,7(0.00 %),0,0,100,700000,0,0.0
14/11/2008,0,0,7.2(2.86 %),0,0,0,0,0,0.0
17/11/2008,500,3550000,7.1(-1.39 %),500,3550000,0,0,0,0.0
18/11/2008,0,0,7.3(2.82 %),0,0,0,0,0,0.0
19/11/2008,0,0,7.1(-2.74 %),0,0,0,0,0,0.0
20/11/2008,0,0,6.8(-4.23 %),0,0,0,0,0,0.0
21/11/2008,0,0,6.5(-4.41 %),0,0,0,0,0,0.0
24/11/2008,0,0,6.5(0.00 %),0,0,0,0,0,0.0
25/11/2008,0,0,6.6(1.54 %),0,0,0,0,0,0.0
26/11/2008,0,0,6.3(-4.55 %),0,0,0,0,0,0.0
27/11/2008,0,0,6.1(-3.17 %),0,0,0,0,0,0.0
28/11/2008,0,0,6.4(4.92 %),0,0,0,0,0,0.0
01/12/2008,0,0,6.7(4.69 %),0,0,0,0,0,0.0
02/12/2008,0,0,6.4(-4.48 %),0,0,0,0,0,0.0
03/12/2008,0,0,6.2(-3.12 %),0,0,0,0,0,0.0
04/12/2008,0,0,6.4(3.23 %),0,0,0,0,0,0.0
05/12/2008,0,0,6.2(-3.12 %),0,0,0,0,0,0.0
08/12/2008,0,0,5.9(-4.84 %),0,0,0,0,0,0.0
09/12/2008,0,0,5.9(0.00 %),0,0,0,0,0,0.0
10/12/2008,0,0,5.8(-1.69 %),0,0,0,0,0,0.0
11/12/2008,480,2832000,5.6(-3.45 %),500,2950000,20,118000,0,0.0
12/12/2008,0,0,5.8(3.57 %),0,0,0,0,0,0.0
15/12/2008,0,0,5.8(0.00 %),0,0,0,0,0,0.0
16/12/2008,-20,-114000,5.6(-3.45 %),0,0,20,114000,0,0.0
17/12/2008,0,0,5.5(-1.79 %),0,0,0,0,0,0.0
18/12/2008,0,0,5.7(3.64 %),0,0,0,0,0,0.0
19/12/2008,0,0,5.8(1.75 %),0,0,0,0,0,0.0
22/12/2008,0,0,5.7(-1.72 %),0,0,0,0,0,0.0
23/12/2008,0,0,5.6(-1.75 %),0,0,0,0,0,0.0
24/12/2008,100,550000,5.4(-3.57 %),100,550000,0,0,0,0.0
25/12/2008,0,0,5.5(1.85 %),0,0,0,0,0,0.0
26/12/2008,0,0,5.6(1.82 %),0,0,0,0,0,0.0
29/12/2008,0,0,5.6(0.00 %),0,0,0,0,0,0.0
30/12/2008,0,0,5.6(0.00 %),0,0,0,0,0,0.0
31/12/2008,0,0,5.6(0.00 %),0,0,0,0,0,0.0
02/01/2009,0,0,5.6(0.00 %),0,0,0,0,452036,42.75
05/01/2009,0,0,5.8(3.57 %),0,0,0,0,452036,42.75
06/01/2009,0,0,6(3.45 %),0,0,0,0,452036,42.75
07/01/2009,0,0,6.3(5.00 %),0,0,0,0,452036,42.75
08/01/2009,0,0,6(-4.76 %),0,0,0,0,452036,42.75
09/01/2009,0,0,6.1(1.67 %),0,0,0,0,452036,42.75
