Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/01/2010,2.9,42.0,7(20.00 %),20,840000,0,0,42.0,42.0,42.0
21/01/2010,3.05,44.1,2.1(5.00 %),20,882000,50000,1995000000,44.1,44.1,44.1
22/01/2010,3.2,46.3,2.2(4.99 %),10,463000,30000,1323000000,46.3,46.3,46.3
25/01/2010,3.36,48.6,2.3(4.97 %),20,972000,0,0,48.6,48.6,48.6
26/01/2010,3.52,51.0,2.4(4.94 %),20,1020000,0,0,51.0,51.0,51.0
27/01/2010,3.7,53.5,2.5(4.90 %),20,1070000,100000,5350000000,53.5,53.5,53.5
28/01/2010,3.87,56.0,2.5(4.67 %),8000,448000000,0,0,56.0,56.0,56.0
29/01/2010,4.04,58.5,2.5(4.46 %),1020,59670000,0,0,58.5,58.5,58.5
01/02/2010,4.22,61.0,2.5(4.27 %),205650,12491945000,0,0,60.5,61.0,60.0
02/02/2010,4.11,59.5,-1.5(-2.46 %),87660,5385575000,0,0,63.5,63.5,59.5
03/02/2010,4.11,59.5,0(0.00 %),15730,937765000,0,0,60.0,60.0,59.0
04/02/2010,4.11,59.5,0(0.00 %),32360,1925930000,0,0,59.5,61.0,57.5
05/02/2010,3.94,57.0,-2.5(-4.20 %),99420,5703495000,0,0,59.0,59.5,57.0
08/02/2010,3.77,54.5,-2.5(-4.39 %),86260,4722740000,80000,4640000000,56.0,56.5,54.5
09/02/2010,3.87,56.0,1.5(2.75 %),21980,1205660000,0,0,53.5,56.0,53.5
10/02/2010,3.9,56.5,0.5(0.89 %),46980,2645170000,0,0,58.0,58.0,56.0
11/02/2010,3.94,57.0,0.5(0.88 %),29860,1688625000,0,0,57.0,57.0,55.0
12/02/2010,3.9,56.5,-0.5(-0.88 %),16200,920610000,0,0,58.0,58.0,56.5
22/02/2010,3.87,56.0,-0.5(-0.88 %),24430,1367715000,0,0,57.0,57.0,55.0
23/02/2010,3.7,53.5,-2.5(-4.46 %),52540,2819330000,0,0,54.5,55.0,53.5
24/02/2010,3.87,56.0,2.5(4.67 %),45540,2499815000,0,0,53.5,56.0,53.0
25/02/2010,3.94,57.0,1(1.79 %),49370,2829515000,0,0,57.5,58.0,56.0
26/02/2010,3.87,56.0,-1(-1.75 %),26660,1496525000,0,0,56.5,57.0,55.5
01/03/2010,3.94,57.0,1(1.79 %),82290,4748470000,0,0,56.0,58.5,56.0
02/03/2010,3.87,56.0,-1(-1.75 %),59240,3325930000,0,0,57.5,57.5,56.0
03/03/2010,3.87,56.0,0(0.00 %),11990,673590000,0,0,57.5,57.5,56.0
04/03/2010,3.9,56.5,0.5(0.89 %),67340,3813675000,0,0,57.0,57.5,56.0
05/03/2010,4.08,59.0,2.5(4.42 %),118420,6898305000,0,0,56.5,59.0,56.5
08/03/2010,4.01,58.0,-1(-1.69 %),68000,4070400000,0,0,59.5,61.0,58.0
09/03/2010,4.18,60.5,2.5(4.31 %),121310,7284115000,0,0,59.5,60.5,59.0
10/03/2010,4.39,63.5,3(4.96 %),100670,6348700000,0,0,63.0,63.5,61.5
11/03/2010,4.6,66.5,3(4.72 %),110820,7343760000,0,0,66.0,66.5,66.0
12/03/2010,4.77,69.0,2.5(3.76 %),204770,14161740000,0,0,69.5,69.5,67.0
15/03/2010,4.63,67.0,-2(-2.90 %),69650,4714705000,0,0,70.0,70.0,66.0
16/03/2010,4.49,65.0,-2(-2.99 %),136220,8978830000,0,0,65.0,67.5,64.5
17/03/2010,4.56,66.0,1(1.54 %),87110,5732485000,0,0,65.5,67.0,64.0
18/03/2010,4.7,66.0,2(3.12 %),54740,3548680000,0,0,66.0,66.0,63.5
19/03/2010,4.56,64.0,-2(-3.03 %),25480,1641720000,0,0,64.5,65.0,64.0
22/03/2010,4.49,63.0,-1(-1.56 %),25430,1600125000,0,0,64.0,64.0,62.0
23/03/2010,4.31,60.5,-2.5(-3.97 %),36220,2231310000,0,0,62.0,62.5,60.5
24/03/2010,4.53,63.5,3(4.96 %),43340,2749620000,0,0,62.5,63.5,62.5
25/03/2010,4.53,63.5,0(0.00 %),64560,3970220000,0,0,62.0,65.5,60.5
26/03/2010,4.53,63.5,0(0.00 %),23370,1474515000,0,0,63.5,64.0,62.5
29/03/2010,4.74,66.5,3(4.72 %),113090,7408960000,0,0,63.0,66.5,63.0
30/03/2010,4.63,65.0,-1.5(-2.26 %),44400,2914110000,0,0,67.5,67.5,65.0
31/03/2010,4.7,66.0,1(1.54 %),44990,2937590000,0,0,64.0,66.5,64.0
01/04/2010,4.7,66.0,0(0.00 %),25860,1684825000,0,0,66.0,66.0,64.5
02/04/2010,4.56,64.0,-2(-3.03 %),55130,3527300000,0,0,65.0,65.0,63.0
05/04/2010,4.56,64.0,0(0.00 %),59890,3844515000,0,0,64.0,65.5,64.0
06/04/2010,4.74,66.5,2.5(3.91 %),160090,10696605000,0,0,66.5,67.0,66.5
07/04/2010,4.85,68.0,1.5(2.26 %),69570,4715040000,0,0,68.0,69.0,66.5
08/04/2010,4.81,67.5,-0.5(-0.74 %),26360,1783115000,0,0,66.0,68.5,66.0
09/04/2010,4.67,65.5,-2(-2.96 %),72800,4821850000,0,0,67.5,67.5,65.0
12/04/2010,4.63,65.0,-0.5(-0.76 %),66430,4298495000,0,0,65.5,65.5,64.0
13/04/2010,4.6,64.5,-0.5(-0.77 %),14800,956595000,0,0,64.5,65.0,64.5
14/04/2010,4.6,64.5,0(0.00 %),24040,1550275000,0,0,64.0,65.5,64.0
15/04/2010,4.67,65.5,1(1.55 %),53110,3449040000,0,0,64.5,65.5,64.5
16/04/2010,4.63,65.0,-0.5(-0.76 %),38810,2538925000,0,0,65.5,66.5,64.5
19/04/2010,4.56,64.0,-1(-1.54 %),58130,3745660000,0,0,64.5,65.0,64.0
20/04/2010,4.56,64.0,0(0.00 %),31410,2032765000,0,0,64.5,66.0,64.0
21/04/2010,4.56,64.0,0(0.00 %),61700,3952480000,0,0,64.0,64.5,63.0
22/04/2010,4.7,66.0,2(3.12 %),79610,5271000000,0,0,65.0,67.0,65.0
26/04/2010,4.63,65.0,-1(-1.52 %),27930,1808140000,0,0,68.0,68.0,64.0
27/04/2010,4.63,65.0,0(0.00 %),25870,1682750000,0,0,65.0,65.5,64.5
28/04/2010,4.85,68.0,3(4.62 %),68620,4661945000,20000,1350000000,68.0,68.0,67.0
29/04/2010,5.06,71.0,3(4.41 %),219200,15544130000,0,0,71.0,71.0,70.0
04/05/2010,5.31,74.5,3.5(4.93 %),167530,12460435000,0,0,74.5,74.5,73.5
05/05/2010,5.06,71.0,-3.5(-4.70 %),119020,8618860000,0,0,71.5,74.5,71.0
06/05/2010,4.99,70.0,-1(-1.41 %),33050,2321715000,20000,1420000000,71.0,72.0,69.0
07/05/2010,4.92,69.0,-1(-1.43 %),60120,4065180000,0,0,69.5,69.5,66.5
10/05/2010,4.7,66.0,-3(-4.35 %),66120,4375670000,0,0,69.0,69.0,66.0
11/05/2010,4.7,66.0,0(0.00 %),86010,5640210000,0,0,67.0,67.0,65.0
12/05/2010,4.53,63.5,-2.5(-3.79 %),87360,5602925000,0,0,65.0,65.5,63.0
13/05/2010,4.6,64.5,1(1.57 %),40700,2612375000,0,0,66.0,66.0,63.5
14/05/2010,4.6,64.5,0(0.00 %),2600,172645000,0,0,66.5,67.0,64.5
17/05/2010,4.53,63.5,-1(-1.55 %),38390,2450525000,0,0,64.5,64.5,63.0
18/05/2010,4.63,65.0,1.5(2.36 %),15110,965430000,0,0,63.5,65.0,63.0
19/05/2010,4.45,62.5,-2.5(-3.85 %),23490,1475660000,0,0,63.5,63.5,62.5
20/05/2010,4.63,65.0,2.5(4.00 %),27410,1765365000,0,0,63.5,65.0,63.5
21/05/2010,4.42,62.0,-3(-4.62 %),72900,4522410000,0,0,62.0,63.0,62.0
24/05/2010,4.42,62.0,0(0.00 %),19190,1181360000,0,0,59.5,62.0,59.5
25/05/2010,4.24,59.5,-2.5(-4.03 %),1200,72640000,0,0,59.5,63.5,59.5
26/05/2010,4.42,62.0,2.5(4.20 %),7390,453355000,0,0,59.5,62.0,59.5
27/05/2010,4.49,62.5,1(1.63 %),8600,533450000,0,0,62.0,62.5,61.5
28/05/2010,4.71,65.5,3(4.80 %),8020,509050000,0,0,63.0,65.5,62.5
31/05/2010,4.63,64.5,-1(-1.53 %),11020,719290000,0,0,65.5,65.5,64.5
01/06/2010,4.42,61.5,-3(-4.65 %),12210,760575000,0,0,64.5,64.5,61.5
02/06/2010,4.56,63.5,2(3.25 %),4410,274210000,0,0,62.0,63.5,61.5
03/06/2010,4.53,63.0,-0.5(-0.79 %),1310,82680000,0,0,63.5,63.5,63.0
04/06/2010,4.56,63.5,0.5(0.79 %),13050,817465000,0,0,63.5,63.5,62.0
07/06/2010,4.56,63.5,0(0.00 %),10010,635635000,0,0,63.5,63.5,63.5
08/06/2010,4.45,62.0,-1.5(-2.36 %),10020,626260000,0,0,63.0,63.0,62.0
09/06/2010,4.42,61.5,-0.5(-0.81 %),5090,313785000,0,0,62.0,62.5,61.5
10/06/2010,4.53,63.0,1.5(2.44 %),3510,219235000,0,0,62.0,63.5,62.0
11/06/2010,4.53,63.0,0(0.00 %),43100,2725000000,0,0,64.5,64.5,63.0
14/06/2010,4.45,62.0,-1(-1.59 %),19900,1249950000,0,0,63.5,63.5,62.0
15/06/2010,4.53,63.0,1(1.61 %),9300,585750000,0,0,61.5,63.0,61.5
16/06/2010,4.53,63.0,0(0.00 %),31790,2001350000,0,0,63.0,63.5,62.0
17/06/2010,4.56,63.5,0.5(0.79 %),21520,1338125000,0,0,62.0,63.5,61.5
18/06/2010,4.42,61.5,-2(-3.15 %),91630,5578800000,0,0,62.0,63.0,60.5
21/06/2010,4.49,62.5,1(1.63 %),29400,1817100000,0,0,61.5,62.5,61.5
22/06/2010,4.38,61.0,-1.5(-2.40 %),99000,5969500000,0,0,60.5,62.5,59.5
23/06/2010,4.53,63.0,2(3.28 %),22370,1369470000,0,0,61.0,63.0,61.0
24/06/2010,4.45,62.0,-1(-1.59 %),10570,655700000,0,0,63.0,63.0,61.5
25/06/2010,4.45,62.0,0(0.00 %),43200,2650300000,0,0,61.5,62.0,61.0
28/06/2010,4.45,62.0,0(0.00 %),13950,859950000,0,0,61.0,62.0,61.0
29/06/2010,4.42,61.5,-0.5(-0.81 %),9690,595885000,0,0,61.0,61.5,61.0
30/06/2010,4.42,61.5,0(0.00 %),22900,1406825000,0,0,59.0,62.0,59.0
01/07/2010,4.38,61.0,-0.5(-0.81 %),6990,424935000,0,0,61.5,61.5,60.5
02/07/2010,4.38,61.0,0(0.00 %),12830,782630000,0,0,61.0,61.0,61.0
05/07/2010,4.42,61.5,0.5(0.82 %),10140,623540000,0,0,61.0,61.5,61.0
06/07/2010,4.35,60.5,-1(-1.63 %),19250,1172500000,0,0,61.5,61.5,60.5
07/07/2010,4.31,60.0,-0.5(-0.83 %),6680,400800000,0,0,60.0,60.0,60.0
08/07/2010,4.38,61.0,1(1.67 %),12860,782465000,0,0,61.5,61.5,60.0
09/07/2010,4.35,60.5,-0.5(-0.82 %),5000,302500000,0,0,60.5,60.5,60.5
12/07/2010,4.35,60.5,0(0.00 %),3000,181500000,0,0,60.5,60.5,60.5
13/07/2010,4.45,62.0,1.5(2.48 %),7430,454660000,0,0,61.5,62.0,61.0
14/07/2010,4.35,60.5,-1.5(-2.42 %),3000,183000000,0,0,62.0,62.0,60.5
15/07/2010,4.56,63.5,3(4.96 %),36310,2278255000,0,0,61.0,63.5,61.0
16/07/2010,4.56,63.5,0(0.00 %),65950,4182870000,0,0,64.0,64.0,63.0
19/07/2010,4.6,64.0,0.5(0.79 %),27740,1770245000,0,0,63.5,64.0,63.5
20/07/2010,4.56,63.5,-0.5(-0.78 %),30990,1976790000,0,0,65.0,65.0,63.5
21/07/2010,4.56,63.5,0(0.00 %),13510,857640000,0,0,63.0,64.0,63.0
22/07/2010,4.56,63.5,0(0.00 %),59380,3766860000,0,0,63.5,63.5,63.0
23/07/2010,4.56,63.5,0(0.00 %),17500,1111300000,0,0,63.5,64.0,63.5
26/07/2010,4.6,64.0,0.5(0.79 %),1600,101900000,0,0,63.5,64.0,63.5
27/07/2010,4.45,62.0,-2(-3.12 %),2620,162790000,0,0,61.0,64.5,61.0
28/07/2010,4.63,64.5,2.5(4.03 %),10,645000,0,0,64.5,64.5,64.5
29/07/2010,4.63,64.5,0(0.00 %),15000,967500000,0,0,64.5,64.5,64.5
30/07/2010,4.85,67.5,3(4.65 %),114930,7726070000,0,0,64.0,67.5,64.0
02/08/2010,4.63,64.5,-3(-4.44 %),720,47640000,0,0,67.5,67.5,64.5
03/08/2010,4.71,65.5,1(1.55 %),2960,192560000,0,0,64.0,65.5,63.0
04/08/2010,4.74,66.0,0.5(0.76 %),14400,923050000,0,0,65.5,66.0,62.5
05/08/2010,4.71,65.5,-0.5(-0.76 %),5980,389285000,0,0,63.0,65.5,63.0
06/08/2010,4.71,65.5,0(0.00 %),60,3930000,0,0,65.5,65.5,65.5
09/08/2010,4.67,65.0,-0.5(-0.76 %),36130,2308895000,0,0,63.0,65.0,62.5
10/08/2010,4.45,62.0,-3(-4.62 %),21200,1314650000,0,0,64.0,64.0,62.0
