Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
06/10/2021,0,0,0(0.00 %),0,0,0,0,0,49
07/10/2021,0,0,0(0.00 %),0,0,0,0,0,49
08/10/2021,0,0,0(0.00 %),0,0,0,0,0,49
11/10/2021,0,0,62.1(9.91 %),0,0,0,0,0,49
12/10/2021,0,0,68.3(9.98 %),0,0,0,0,0,49
13/10/2021,0,0,75.1(9.96 %),0,0,0,0,0,0
14/10/2021,0,0,76.4(1.73 %),0,0,0,0,0,0
15/10/2021,0,0,73.3(-4.06 %),0,0,0,0,0,0
19/10/2021,0,0,71.9(8.61 %),0,0,0,0,0,0
20/10/2021,0,0,79(9.87 %),0,0,0,0,0,0
21/10/2021,0,0,75.1(-4.94 %),0,0,0,0,0,0
22/10/2021,0,0,75.8(0.93 %),0,0,0,0,0,0
25/10/2021,0,0,77.1(1.72 %),0,0,0,0,0,0
26/10/2021,0,0,76.8(-0.39 %),0,0,0,0,0,0
27/10/2021,0,0,78.9(2.73 %),0,0,0,0,0,49
28/10/2021,0,0,80(1.39 %),0,0,0,0,0,49
29/10/2021,0,0,74.5(-6.88 %),0,0,0,0,0,49
01/11/2021,0,0,71(-4.70 %),0,0,0,0,0,49
02/11/2021,0,0,72.2(1.69 %),0,0,0,0,0,49
03/11/2021,0,0,71.8(-0.55 %),0,0,0,0,0,49
04/11/2021,0,0,72.1(0.42 %),0,0,0,0,0,49
05/11/2021,0,0,72.1(0.00 %),0,0,0,0,0,49
08/11/2021,0,0,67.8(-5.96 %),0,0,0,0,0,49
09/11/2021,0,0,68.8(1.47 %),0,0,0,0,0,49
10/11/2021,0,0,69.7(1.31 %),0,0,0,0,0,49
11/11/2021,0,0,69.9(0.29 %),0,0,0,0,0,49
12/11/2021,0,0,70.7(1.14 %),0,0,0,0,0,49
15/11/2021,0,0,76.8(8.63 %),0,0,0,0,0,49
16/11/2021,0,0,72.2(-5.99 %),0,0,0,0,0,49
17/11/2021,0,0,79(9.42 %),0,0,0,0,0,49
18/11/2021,0,0,77.9(-1.39 %),0,0,0,0,0,49
19/11/2021,0,0,73(-6.29 %),0,0,0,0,0,49
22/11/2021,0,0,72(-1.37 %),0,0,0,0,0,49
23/11/2021,0,0,71.6(-0.56 %),0,0,0,0,0,49
24/11/2021,0,0,71.9(0.42 %),0,0,0,0,0,49
25/11/2021,0,0,71(-1.25 %),0,0,0,0,0,49
26/11/2021,0,0,71(0.00 %),0,0,0,0,0,49
29/11/2021,0,0,71.2(0.28 %),0,0,0,0,0,49
30/11/2021,0,0,70.9(-0.42 %),0,0,0,0,0,49
01/12/2021,0,0,71.2(0.42 %),0,0,0,0,0,49
02/12/2021,0,0,71.3(0.14 %),0,0,0,0,0,49
03/12/2021,0,0,72(0.98 %),0,0,0,0,0,49
06/12/2021,0,0,71.5(-0.69 %),0,0,0,0,0,49
07/12/2021,0,0,71.3(-0.28 %),0,0,0,0,0,49
08/12/2021,0,0,71.5(0.28 %),0,0,0,0,0,49
09/12/2021,0,0,69.1(-3.36 %),0,0,0,0,0,49
10/12/2021,0,0,71(2.75 %),0,0,0,0,0,49
13/12/2021,0,0,72.3(1.83 %),0,0,0,0,0,49
14/12/2021,0,0,71.7(-0.83 %),0,0,0,0,0,49
15/12/2021,0,0,71.3(-0.56 %),0,0,0,0,0,49
16/12/2021,0,0,71.3(0.00 %),0,0,0,0,0,49
17/12/2021,0,0,72.8(2.10 %),0,0,0,0,0,49
20/12/2021,0,0,70.5(-3.16 %),0,0,0,0,0,49
21/12/2021,0,0,70.1(-0.57 %),0,0,0,0,0,49
22/12/2021,0,0,70.2(0.14 %),0,0,0,0,0,49
23/12/2021,0,0,68(-3.13 %),0,0,0,0,0,49
24/12/2021,0,0,69(1.47 %),0,0,0,0,0,49
27/12/2021,0,0,69.6(0.87 %),0,0,0,0,0,0
28/12/2021,0,0,72.8(4.60 %),0,0,0,0,0,49
29/12/2021,0,0,76(4.40 %),0,0,0,0,0,0
30/12/2021,0,0,77.5(1.97 %),0,0,0,0,0,0
31/12/2021,0,0,76.8(-0.90 %),0,0,0,0,0,0
04/01/2022,0,0,77(0.26 %),0,0,0,0,0,0
05/01/2022,0,0,79.6(3.38 %),0,0,0,0,0,0
06/01/2022,0,0,87.5(9.92 %),0,0,0,0,0,0
07/01/2022,0,0,90(2.86 %),0,0,0,0,0,0
10/01/2022,0,0,81.2(-9.78 %),0,0,0,0,0,0
11/01/2022,0,0,79.5(-2.09 %),0,0,0,0,0,0
12/01/2022,0,0,77.8(-2.14 %),0,0,0,0,0,0
13/01/2022,0,0,85.5(9.90 %),0,0,0,0,0,0
