Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
29/12/2010,3.42,25.5,-4.5(-15.00 %),15500,373350000,0,0,30.0,30.0,18.5
30/12/2010,3.36,25.0,0.9(3.73 %),300,7500000,0,0,25.0,25.0,25.0
31/12/2010,3.36,25.0,0(0.00 %),0,0,0,0,25.0,25.0,25.0
04/01/2011,3.13,23.3,-1.7(-6.80 %),100,2330000,0,0,23.3,23.3,23.3
05/01/2011,2.91,21.7,-1.6(-6.87 %),3200,69440000,0,0,21.7,21.7,21.7
06/01/2011,2.71,20.2,-1.5(-6.91 %),200,4040000,0,0,20.2,20.2,20.2
07/01/2011,2.52,18.8,-1.4(-6.93 %),100,1880000,0,0,18.8,18.8,18.8
10/01/2011,2.35,17.5,-1.3(-6.91 %),8500,148750000,0,0,17.5,17.5,17.5
11/01/2011,2.19,16.3,-1.2(-6.86 %),3000,48900000,0,0,16.3,16.3,16.3
12/01/2011,2.05,15.3,-1(-6.13 %),13300,202170000,0,0,15.2,15.3,15.2
13/01/2011,2.15,16.0,0.8(5.26 %),7500,120590000,0,0,16.2,16.2,16.0
14/01/2011,2.08,15.5,-0.6(-3.73 %),700,11020000,0,0,17.2,17.2,15.5
17/01/2011,2.2,16.4,0.7(4.46 %),100,1640000,0,0,16.4,16.4,16.4
18/01/2011,2.05,15.3,-1.1(-6.71 %),500,7650000,0,0,15.3,15.3,15.3
19/01/2011,1.92,14.3,-1(-6.54 %),14400,206840000,0,0,14.5,14.7,14.3
20/01/2011,1.84,13.7,-0.7(-4.86 %),5200,72140000,7300,97820000,15.0,15.4,13.7
21/01/2011,1.99,14.8,0.9(6.47 %),4500,59170000,0,0,13.2,14.8,13.1
24/01/2011,1.87,13.9,0.8(6.11 %),3700,51700000,0,0,14.0,14.0,13.9
