Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
25/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
26/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
27/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
28/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
29/06/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
02/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
03/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
04/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
05/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
06/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
09/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
10/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
11/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
12/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
13/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
16/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
17/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
18/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
19/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
20/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
23/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
24/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
25/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
26/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
27/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
30/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
31/07/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
01/08/2018,8.6,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
