Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
18/11/2003,-241350,-4271895,0(0.00 %),0,0,241350,4271895,0,0.0
24/11/2003,235000,4159500,0(0.00 %),235000,4159500,0,0,0,0.0
03/03/2004,60,1470,0(0.00 %),60,1470,0,0,0,0.0
29/10/2004,-95000,-2422500,0(0.00 %),0,0,95000,2422500,0,0.0
02/11/2004,-8540,-250222,0(0.00 %),0,0,8540,250222,0,0.0
01/12/2004,20,572,0(0.00 %),20,572,0,0,0,0.0
03/12/2004,-3000,-84300,0(0.00 %),0,0,3000,84300,0,0.0
07/12/2004,-4950,-140065,0(0.00 %),50,1435,5000,141500,0,0.0
08/12/2004,-5000,-141500,0(0.00 %),0,0,5000,141500,0,0.0
09/12/2004,-7900,-224320,0(0.00 %),100,2880,8000,227200,0,0.0
10/12/2004,-7000,-201600,0(0.00 %),0,0,7000,201600,0,0.0
13/12/2004,-15000,-442500,0(0.00 %),0,0,15000,442500,0,0.0
15/12/2004,-70000,-2148000,0(0.00 %),0,0,70000,2148000,0,0.0
16/12/2004,-7000,-217600,0(0.00 %),0,0,7000,217600,0,0.0
17/12/2004,-2000,-64400,0(0.00 %),0,0,2000,64400,0,0.0
20/12/2004,-6000,-196800,0(0.00 %),0,0,6000,196800,0,0.0
21/12/2004,-2710,-88888,0(0.00 %),0,0,2710,88888,0,0.0
22/12/2004,-7290,-236925,0(0.00 %),0,0,7290,236925,0,0.0
23/12/2004,400,13200,0(0.00 %),3400,112200,3000,99000,0,0.0
24/12/2004,-3700,-127280,0(0.00 %),1300,44720,5000,172000,0,0.0
27/12/2004,-5000,-171500,0(0.00 %),0,0,5000,171500,0,0.0
29/12/2004,-4000,-132000,0(0.00 %),0,0,4000,132000,0,0.0
30/12/2004,-2200,-72090,0(0.00 %),800,26160,3000,98250,0,0.0
06/01/2005,1200,37320,0(0.00 %),1200,37320,0,0,0,0.0
07/01/2005,500,15650,0(0.00 %),500,15650,0,0,0,0.0
28/01/2005,500,16000,0(0.00 %),500,16000,0,0,0,0.0
03/02/2005,1500,47850,0(0.00 %),1500,47850,0,0,0,0.0
16/02/2005,1000,31600,0(0.00 %),1000,31600,0,0,0,0.0
02/03/2005,3420,110466,0(0.00 %),3420,110466,0,0,0,0.0
03/03/2005,970,31816,0(0.00 %),970,31816,0,0,0,0.0
04/03/2005,3110,103563,0(0.00 %),3110,103563,0,0,0,0.0
08/03/2005,500,17000,0(0.00 %),500,17000,0,0,0,0.0
09/03/2005,-5000,-168000,0(0.00 %),0,0,5000,168000,0,0.0
11/03/2005,-20010,-674337,0(0.00 %),0,0,20010,674337,0,0.0
21/03/2005,100,3230,0(0.00 %),100,3230,0,0,0,0.0
22/03/2005,2000,64800,0(0.00 %),2000,64800,0,0,0,0.0
23/03/2005,-10000,-325000,0(0.00 %),0,0,10000,325000,0,0.0
06/04/2005,-15000,-474000,0(0.00 %),0,0,15000,474000,0,0.0
07/04/2005,-10000,-316000,0(0.00 %),0,0,10000,316000,0,0.0
08/04/2005,-4900,-154840,0(0.00 %),0,0,4900,154840,0,0.0
11/04/2005,-10000,-316000,0(0.00 %),0,0,10000,316000,0,0.0
12/04/2005,-15000,-475500,0(0.00 %),0,0,15000,475500,0,0.0
13/04/2005,-15000,-477000,0(0.00 %),0,0,15000,477000,0,0.0
14/04/2005,-10000,-319000,0(0.00 %),0,0,10000,319000,0,0.0
18/04/2005,-500,-16050,0(0.00 %),0,0,500,16050,0,0.0
19/04/2005,-500,-16050,0(0.00 %),0,0,500,16050,0,0.0
21/04/2005,-500,-16500,0(0.00 %),0,0,500,16500,0,0.0
26/04/2005,-29700,-1033560,0(0.00 %),0,0,29700,1033560,0,0.0
27/04/2005,3000,104400,0(0.00 %),3000,104400,0,0,0,0.0
28/04/2005,-20000,-684000,0(0.00 %),0,0,20000,684000,0,0.0
06/05/2005,-15390,-521721,0(0.00 %),0,0,15390,521721,0,0.0
11/05/2005,-10000,-332000,0(0.00 %),19800,657360,29800,989360,0,0.0
13/05/2005,-7420,-244860,0(0.00 %),2500,82500,9920,327360,0,0.0
16/05/2005,1000,32200,0(0.00 %),1000,32200,0,0,0,0.0
17/05/2005,-18000,-583200,0(0.00 %),2000,64800,20000,648000,0,0.0
18/05/2005,-38500,-1252100,0(0.00 %),1500,48900,40000,1301000,0,0.0
19/05/2005,-28270,-938564,0(0.00 %),0,0,28270,938564,0,0.0
20/05/2005,-960,-32256,0(0.00 %),2500,84000,3460,116256,0,0.0
23/05/2005,3000,100500,0(0.00 %),3000,100500,0,0,0,0.0
25/05/2005,1000,33400,0(0.00 %),1000,33400,0,0,0,0.0
26/05/2005,4500,150750,0(0.00 %),4500,150750,0,0,0,0.0
27/05/2005,500,16700,0(0.00 %),500,16700,0,0,0,0.0
14/06/2005,200,6560,0(0.00 %),200,6560,0,0,0,0.0
17/06/2005,100,3270,0(0.00 %),100,3270,0,0,0,0.0
30/06/2005,400,12920,0(0.00 %),400,12920,0,0,0,0.0
06/07/2005,-1000,-33500,0(0.00 %),0,0,1000,33500,0,0.0
11/07/2005,2000,69000,0(0.00 %),2000,69000,0,0,0,0.0
20/07/2005,4600,156860,0(0.00 %),4600,156860,0,0,0,0.0
21/07/2005,-1000,-33600,0(0.00 %),0,0,1000,33600,0,0.0
02/08/2005,300,10020,0(0.00 %),300,10020,0,0,0,0.0
05/08/2005,900,29790,0(0.00 %),900,29790,0,0,0,0.0
10/08/2005,-2300,-78660,0(0.00 %),0,0,2300,78660,0,0.0
12/08/2005,500,17750,0(0.00 %),500,17750,0,0,0,0.0
18/08/2005,-400,-14440,0(0.00 %),0,0,400,14440,0,0.0
22/08/2005,500,17900,0(0.00 %),1000,35800,500,17900,0,0.0
23/08/2005,100,3570,0(0.00 %),100,3570,0,0,0,0.0
24/08/2005,300,10650,0(0.00 %),300,10650,0,0,0,0.0
01/09/2005,260,9412,0(0.00 %),260,9412,0,0,0,0.0
05/09/2005,10,358,0(0.00 %),10,358,0,0,0,0.0
08/09/2005,3000,109200,0(0.00 %),3000,109200,0,0,0,0.0
09/09/2005,12000,439200,0(0.00 %),12000,439200,0,0,0,0.0
15/09/2005,50,1900,0(0.00 %),50,1900,0,0,0,0.0
20/09/2005,400,16720,0(0.00 %),400,16720,0,0,0,0.0
27/09/2005,800,32160,0(0.00 %),800,32160,0,0,0,0.0
