Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
01/03/2012,3.24,22.1,5.1(30.00 %),70100,1541460000.0,0,0,18.2,22.1,18.2
02/03/2012,3.23,22.0,0(0.00 %),25700,575420000.0,0,0,23.5,23.5,22.0
05/03/2012,3.3,22.5,0.1(0.45 %),86100,1884850000.0,0,0,21.0,23.0,20.9
06/03/2012,3.15,21.5,-0.4(-1.83 %),20400,440990000.0,0,0,23.0,23.0,21.4
07/03/2012,2.96,20.2,-1.4(-6.48 %),36900,748240000.0,0,0,20.5,20.5,20.1
08/03/2012,2.86,19.5,-0.8(-3.94 %),34800,674180000.0,8000,173600000,19.3,19.5,19.0
09/03/2012,2.9,19.8,0.4(2.06 %),207300,4134170000.0,0,0,19.4,20.2,19.4
12/03/2012,2.99,20.4,0.5(2.51 %),136000,2750350000.0,0,0,20.0,21.0,20.0
13/03/2012,2.98,20.3,0.1(0.50 %),93500,1903740000.0,0,0,20.2,20.6,20.2
14/03/2012,3.02,20.6,0.2(0.98 %),76700,1557700000.0,0,0,20.1,20.6,20.0
15/03/2012,3.04,20.7,0.4(1.97 %),28700,593510000.0,0,0,20.0,21.0,20.0
16/03/2012,3.24,22.1,1.4(6.76 %),163100,3589140000.0,0,0,20.7,22.1,20.7
19/03/2012,3.45,23.5,1.5(6.82 %),206500,4835600000.0,0,0,22.3,23.5,22.3
20/03/2012,3.67,25.0,1.6(6.84 %),587300,14621740000.0,0,0,24.8,25.0,24.6
21/03/2012,3.9,26.6,1.7(6.83 %),223800,5948870000.0,0,0,26.6,26.6,26.3
22/03/2012,3.65,24.9,-1.7(-6.39 %),90300,2339270000.0,0,0,27.5,27.5,24.8
23/03/2012,3.56,24.3,-1.6(-6.18 %),109500,2676340000.0,0,0,24.7,25.4,24.1
26/03/2012,3.39,23.1,-1.3(-5.33 %),165400,3859150000.0,0,0,24.0,24.1,23.1
27/03/2012,3.43,23.4,0.2(0.86 %),103100,2445170000.0,0,0,23.0,24.7,22.7
28/03/2012,3.51,23.9,0.5(2.14 %),29700,704190000.0,0,0,23.0,24.2,23.0
29/03/2012,3.43,23.4,-0.4(-1.68 %),117500,2770550000.0,50,1110000,24.2,24.2,23.4
30/03/2012,3.45,23.5,0.1(0.43 %),44000,1033560000.0,5000,125000000,23.4,23.7,23.4
03/04/2012,3.46,23.6,0.1(0.43 %),36900,868350000.0,0,0,23.2,23.8,23.2
04/04/2012,3.43,23.4,-0.3(-1.27 %),46500,1096970000.0,13400,339020000,23.5,23.9,23.4
05/04/2012,3.52,24.0,0.5(2.13 %),56300,1362400000.0,0,0,23.5,25.0,23.5
06/04/2012,3.52,24.0,-0.4(-1.64 %),102800,2438930000.0,0,0,24.4,24.4,23.5
09/04/2012,3.74,25.5,1.6(6.69 %),259900,6574820000.0,5000,112500000,24.0,25.5,23.9
10/04/2012,3.81,26.0,0.5(1.96 %),85200,2196930000.0,13400,321600000,25.5,26.5,25.0
11/04/2012,3.81,26.0,0.2(0.78 %),65300,1684030000.0,50,1200000,25.8,26.0,25.2
