Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
20/12/2006,160,6384,0(0.00 %),160,6384,0,0,0,0.0
21/12/2006,100,3990,0(0.00 %),100,3990,0,0,0,0.0
01/03/2007,800,20560000,0(0.00 %),800,20560000,0,0,0,0.0
02/03/2007,100,2570000,0(0.00 %),100,2570000,0,0,0,0.0
05/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
06/03/2007,3730,104440000,0(0.00 %),3730,104440000,0,0,0,0.0
07/03/2007,-300,-8820000,0(0.00 %),0,0,300,8820000,0,0.0
08/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
09/03/2007,0,0,32.3(4.87 %),0,0,0,0,0,0.0
12/03/2007,-730,-24747000,33.9(4.95 %),0,0,730,24747000,0,0.0
13/03/2007,0,0,35.5(4.72 %),0,0,0,0,0,0.0
14/03/2007,0,0,37.2(4.79 %),3000,111600000,3000,111600000,0,0.0
15/03/2007,7100,251340000,35.4(-4.84 %),7100,251340000,0,0,0,0.0
16/03/2007,6500,219500000,34(-3.95 %),6500,219500000,0,0,0,0.0
19/03/2007,0,0,35.7(5.00 %),0,0,0,0,0,0.0
20/03/2007,0,0,37.4(4.76 %),0,0,0,0,0,0.0
21/03/2007,-7100,-278320000,38(1.60 %),0,0,7100,278320000,0,0.0
22/03/2007,100,3610000,36.1(-5.00 %),100,3610000,0,0,0,0.0
23/03/2007,0,0,34.3(-4.99 %),0,0,0,0,0,0.0
26/03/2007,0,0,32.6(-4.96 %),0,0,0,0,0,0.0
27/03/2007,0,0,31(-4.91 %),0,0,0,0,0,0.0
28/03/2007,0,0,29.5(-4.84 %),0,0,0,0,0,0.0
29/03/2007,0,0,30.9(4.75 %),0,0,0,0,0,0.0
30/03/2007,-1000,-32400000,32.4(4.85 %),0,0,1000,32400000,0,0.0
02/04/2007,0,0,30.9(-4.63 %),0,0,0,0,0,0.0
03/04/2007,0,0,30(-2.91 %),0,0,0,0,0,0.0
04/04/2007,3690,109241000,31.5(5.00 %),3690,109241000,0,0,0,0.0
05/04/2007,400,12000000,30(-4.76 %),400,12000000,0,0,0,0.0
06/04/2007,500,14500000,30(0.00 %),500,14500000,0,0,0,0.0
09/04/2007,1090,31065000,28.5(-5.00 %),1090,31065000,0,0,0,0.0
10/04/2007,200,5420000,27.1(-4.91 %),200,5420000,0,0,0,0.0
11/04/2007,0,0,28(3.32 %),0,0,0,0,0,0.0
12/04/2007,-140,-3920000,28(0.00 %),0,0,140,3920000,0,0.0
13/04/2007,0,0,28(0.00 %),0,0,0,0,0,0.0
16/04/2007,2990,80730000,26.6(-5.00 %),3000,81000000,10,270000,0,0.0
17/04/2007,7000,177100000,25.3(-4.89 %),7000,177100000,0,0,0,0.0
18/04/2007,500,13250000,26.2(3.56 %),500,13250000,0,0,0,0.0
19/04/2007,0,0,27.3(4.20 %),0,0,0,0,0,0.0
20/04/2007,-2550,-70125000,27.5(0.73 %),500,13750000,3050,83875000,0,0.0
23/04/2007,0,0,27.5(0.00 %),0,0,0,0,0,0.0
24/04/2007,1000,26200000,26.2(-4.73 %),1000,26200000,0,0,0,0.0
25/04/2007,1500,40808000,27.5(4.96 %),1500,40808000,0,0,0,0.0
02/05/2007,0,0,27.5(0.00 %),0,0,0,0,0,0.0
03/05/2007,0,0,27(-1.82 %),0,0,0,0,0,0.0
04/05/2007,0,0,27.4(1.48 %),0,0,0,0,0,0.0
07/05/2007,0,0,27(-1.46 %),0,0,0,0,0,0.0
08/05/2007,2000,56000000,28(3.70 %),2000,56000000,0,0,0,0.0
09/05/2007,0,0,28.5(1.79 %),0,0,0,0,0,0.0
10/05/2007,0,0,27.1(-4.91 %),0,0,0,0,0,0.0
11/05/2007,0,0,28.4(4.80 %),0,0,0,0,0,0.0
14/05/2007,0,0,29.8(4.93 %),0,0,0,0,0,0.0
15/05/2007,0,0,31.2(4.70 %),200,6240000,200,6240000,0,0.0
16/05/2007,-1000,-29700000,29.7(-4.81 %),0,0,1000,29700000,0,0.0
17/05/2007,0,0,28.6(-3.70 %),0,0,0,0,0,0.0
18/05/2007,-2000,-60000000,30(4.90 %),0,0,2000,60000000,0,0.0
21/05/2007,0,0,31.5(5.00 %),0,0,0,0,0,0.0
22/05/2007,0,0,33(4.76 %),0,0,0,0,0,0.0
23/05/2007,0,0,34.6(4.85 %),0,0,0,0,0,0.0
24/05/2007,0,0,36.3(4.91 %),0,0,0,0,0,0.0
25/05/2007,0,0,38.1(4.96 %),0,0,0,0,0,0.0
28/05/2007,0,0,40(4.99 %),0,0,0,0,0,0.0
29/05/2007,0,0,42(5.00 %),0,0,0,0,0,0.0
30/05/2007,0,0,44.1(5.00 %),0,0,0,0,0,0.0
31/05/2007,0,0,46.3(4.99 %),0,0,0,0,0,0.0
01/06/2007,0,0,48.6(4.97 %),0,0,0,0,0,0.0
04/06/2007,0,0,51(4.94 %),0,0,0,0,0,0.0
05/06/2007,0,0,53.5(4.90 %),0,0,0,0,0,0.0
06/06/2007,0,0,56(4.67 %),0,0,0,0,0,0.0
07/06/2007,0,0,58.5(4.46 %),0,0,0,0,0,0.0
08/06/2007,-10,-610000,61(4.27 %),0,0,10,610000,0,0.0
11/06/2007,-2010,-128640000,64(4.92 %),0,0,2010,128640000,0,0.0
12/06/2007,-2030,-136010000,67(4.69 %),0,0,2030,136010000,0,0.0
13/06/2007,-50,-3500000,70(4.48 %),0,0,50,3500000,0,0.0
14/06/2007,2600,172900000,66.5(-5.00 %),2600,172900000,0,0,0,0.0
15/06/2007,700,44450000,63.5(-4.51 %),700,44450000,0,0,0,0.0
18/06/2007,0,0,60.5(-4.72 %),0,0,0,0,0,0.0
19/06/2007,-100,-6350000,63.5(4.96 %),0,0,100,6350000,0,0.0
20/06/2007,-6700,-445550000,66.5(4.72 %),0,0,6700,445550000,0,0.0
21/06/2007,-1400,-97300000,69.5(4.51 %),0,0,1400,97300000,0,0.0
22/06/2007,2140,148800000,70(0.72 %),2140,148800000,0,0,0,0.0
25/06/2007,1100,73150000,66.5(-5.00 %),1100,73150000,0,0,0,0.0
26/06/2007,400,27800000,69.5(4.51 %),500,34750000,100,6950000,0,0.0
27/06/2007,50,3350000,67(-3.60 %),50,3350000,0,0,0,0.0
28/06/2007,0,0,65(-2.99 %),0,0,0,0,0,0.0
29/06/2007,50,3250000,65(0.00 %),50,3250000,0,0,0,0.0
02/07/2007,200,12400000,62(-4.62 %),200,12400000,0,0,0,0.0
03/07/2007,0,0,59(-4.84 %),0,0,0,0,0,0.0
04/07/2007,0,0,61.5(4.24 %),0,0,0,0,0,0.0
05/07/2007,0,0,61(-0.81 %),0,0,0,0,0,0.0
06/07/2007,0,0,61.5(0.82 %),0,0,0,0,0,0.0
09/07/2007,0,0,61.5(0.00 %),0,0,0,0,0,0.0
10/07/2007,0,0,63(2.44 %),0,0,0,0,0,0.0
11/07/2007,0,0,61.5(-2.38 %),0,0,0,0,0,0.0
12/07/2007,0,0,60(-2.44 %),0,0,0,0,0,0.0
13/07/2007,-2000,-120000000,60(0.00 %),0,0,2000,120000000,0,0.0
16/07/2007,0,0,59(-1.67 %),0,0,0,0,0,0.0
17/07/2007,0,0,61.5(4.24 %),0,0,0,0,0,0.0
18/07/2007,0,0,60(-2.44 %),0,0,0,0,0,0.0
19/07/2007,0,0,59(-1.67 %),0,0,0,0,0,0.0
20/07/2007,350,20300000,58(-1.69 %),350,20300000,0,0,0,0.0
23/07/2007,0,0,55.5(-4.31 %),0,0,0,0,0,0.0
24/07/2007,-2000,-111000000,55.5(0.00 %),0,0,2000,111000000,0,0.0
25/07/2007,0,0,55.5(0.00 %),0,0,0,0,0,0.0
26/07/2007,0,0,53(-4.50 %),0,0,0,0,0,0.0
27/07/2007,0,0,50.5(-4.72 %),0,0,0,0,0,0.0
30/07/2007,0,0,48(-4.95 %),0,0,0,0,0,0.0
31/07/2007,0,0,45.6(-5.00 %),0,0,0,0,0,0.0
01/08/2007,0,0,46.2(1.32 %),0,0,0,0,0,0.0
02/08/2007,0,0,43.9(-4.98 %),0,0,0,0,0,0.0
03/08/2007,800,33440000,41.8(-4.78 %),800,33440000,0,0,0,0.0
06/08/2007,35260,1544388000,43.8(4.78 %),35260,1544388000,0,0,0,0.0
07/08/2007,0,0,45.9(4.79 %),0,0,0,0,0,0.0
08/08/2007,-300,-14430000,48.1(4.79 %),0,0,300,14430000,0,0.0
09/08/2007,0,0,50.5(4.99 %),0,0,0,0,0,0.0
10/08/2007,0,0,50.5(0.00 %),0,0,0,0,0,0.0
13/08/2007,0,0,50(-0.99 %),0,0,0,0,0,0.0
14/08/2007,0,0,52.5(5.00 %),0,0,0,0,0,0.0
15/08/2007,0,0,55(4.76 %),0,0,0,0,0,0.0
16/08/2007,0,0,57.5(4.55 %),0,0,0,0,0,0.0
