Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/12/2006,1.6,39.9,0(0.00 %),14410,574959,0,0,39.9,39.9,39.9
21/12/2006,1.53,38.0,-1.9(-4.76 %),5560,221464,0,0,39.9,39.9,39.9
22/12/2006,1.45,36.1,-1.9(-5.00 %),10,361,0,0,38.0,38.0,36.1
25/12/2006,1.38,34.3,-1.8(-4.99 %),2860,98098,0,0,34.3,34.3,34.3
26/12/2006,1.31,32.6,-1.7(-4.96 %),10060,327956,0,0,32.6,32.6,32.6
27/12/2006,1.25,31.0,-1.6(-4.91 %),12900,399900,0,0,31.0,31.0,31.0
28/12/2006,1.19,29.5,-1.5(-4.84 %),1500,44250,0,0,29.5,29.5,29.5
29/12/2006,1.13,28.1,-1.4(-4.75 %),550,15455,0,0,29.5,29.5,29.5
02/01/2007,1.07,26.7,-1.4(-4.98 %),10,0,0,0,28.1,26.7,26.7
03/01/2007,1.02,25.4,-1.3(-4.87 %),510,0,0,0,25.4,25.4,25.4
04/01/2007,0.97,24.2,-1.2(-4.72 %),10,0,0,0,24.2,24.2,24.2
05/01/2007,0.93,23.1,-1.1(-4.55 %),71290,0,0,0,24.2,24.2,23.1
08/01/2007,0.97,24.2,1.1(4.76 %),39040,35000000,0,0,24.2,24.2,24.2
09/01/2007,1.02,25.4,1.2(4.96 %),79720,2025000000,0,0,25.4,25.4,25.4
10/01/2007,1.01,25.0,-0.4(-1.57 %),50820,1284000000,0,0,25.4,25.4,25.0
11/01/2007,1.01,25.0,0(0.00 %),3740,94000000,0,0,25.0,25.0,25.0
12/01/2007,0.96,23.8,-1.2(-4.80 %),5300,126000000,0,0,23.8,23.9,23.8
15/01/2007,0.92,22.8,-1(-4.20 %),3310,76000000,0,0,23.8,23.5,22.8
16/01/2007,0.87,21.7,-1.1(-4.82 %),18700,406000000,0,0,21.7,21.7,21.7
17/01/2007,0.89,22.1,0.4(1.84 %),5400,116000000,0,0,22.1,22.1,20.7
18/01/2007,0.88,22.0,-0.1(-0.45 %),6600,145000000,0,0,22.1,22.1,21.9
19/01/2007,0.88,22.0,0(0.00 %),14600,321000000,0,0,21.0,22.0,21.0
22/01/2007,0.84,20.9,-1.1(-5.00 %),4100,86000000,0,0,22.0,21.2,20.9
23/01/2007,0.8,19.9,-1(-4.78 %),10210,203000000,0,0,20.9,19.9,19.9
24/01/2007,0.8,19.9,0(0.00 %),18100,361000000,0,0,20.0,20.0,19.9
25/01/2007,0.84,20.8,0.9(4.52 %),4900,102000000,0,0,20.8,20.8,20.8
26/01/2007,0.88,21.8,1(4.81 %),20450,441000000,0,0,20.8,21.8,21.5
29/01/2007,0.84,21.0,-0.8(-3.67 %),12710,272000000,0,0,21.0,21.8,21.0
30/01/2007,0.84,21.0,0(0.00 %),3310,70000000,0,0,21.0,21.0,21.0
31/01/2007,0.85,20.5,0.2(0.99 %),1540,154000000,0,0,21.0,21.0,20.5
01/02/2007,0.85,20.5,0(0.00 %),1340,134000000,0,0,20.5,20.8,20.5
02/02/2007,0.85,20.5,0(0.00 %),940,94000000,0,0,20.5,20.5,20.5
05/02/2007,0.89,21.5,1(4.88 %),10030,213000000,0,0,21.5,21.5,19.7
06/02/2007,0.94,22.5,1(4.65 %),29430,656000000,0,0,22.5,22.5,22.0
07/02/2007,0.98,23.5,1(4.44 %),22850,530000000,0,0,23.5,23.5,23.0
08/02/2007,1.02,24.6,1.1(4.68 %),29810,733000000,0,0,24.6,24.6,24.6
09/02/2007,1.07,25.8,1.2(4.88 %),29840,770000000,0,0,25.8,25.8,25.8
12/02/2007,1.12,27.0,1.2(4.65 %),33190,896000000,0,0,27.0,27.0,27.0
13/02/2007,1.1,26.5,-0.5(-1.85 %),17260,462000000,0,0,26.5,27.0,26.5
14/02/2007,1.08,25.9,-0.6(-2.26 %),10400,267000000,0,0,25.9,26.5,25.2
15/02/2007,1.08,25.9,0(0.00 %),7020,183000000,0,0,25.9,27.0,25.9
26/02/2007,1.13,27.1,1.2(4.63 %),5570,151000000,0,0,27.1,27.1,27.0
27/02/2007,1.12,27.0,-0.1(-0.37 %),21880,611000000,0,0,27.0,28.4,27.0
28/02/2007,1.08,26.0,-1(-3.70 %),13930,361000000,0,0,26.0,26.0,25.7
01/03/2007,1.07,25.7,-0.3(-1.15 %),8320,215000000,0,0,25.7,26.0,25.5
02/03/2007,1.06,25.5,-0.2(-0.78 %),15650,401000000,0,0,25.7,25.7,25.5
05/03/2007,1.11,26.7,1.2(4.71 %),21660,575000000,0,0,26.7,26.7,26.0
06/03/2007,1.16,28.0,1.3(4.87 %),79240,2219000000,0,0,28.0,28.0,28.0
07/03/2007,1.22,29.4,1.4(5.00 %),10610,312000000,0,0,29.4,29.4,29.4
08/03/2007,1.28,30.8,1.4(4.76 %),6220,191000000,0,0,30.0,30.8,30.0
09/03/2007,1.34,32.3,1.5(4.87 %),7620,246000000,0,0,32.3,32.3,32.3
12/03/2007,1.41,33.9,1.6(4.95 %),13540,459000000,0,0,32.3,33.9,33.9
13/03/2007,1.48,35.5,1.6(4.72 %),51260,1812000000,0,0,35.5,35.5,34.0
14/03/2007,1.55,37.2,1.7(4.79 %),101730,3784000000,0,0,37.2,37.2,37.2
15/03/2007,1.47,35.4,-1.8(-4.84 %),24050,851000000,0,0,35.4,35.4,35.4
16/03/2007,1.41,34.0,-1.4(-3.95 %),50120,1696000000,0,0,33.7,34.0,33.7
19/03/2007,1.49,35.7,1.7(5.00 %),15590,556000000,0,0,35.0,35.7,35.0
20/03/2007,1.56,37.4,1.7(4.76 %),49420,1848000000,0,0,37.4,37.4,37.4
21/03/2007,1.58,38.0,0.6(1.60 %),66230,2575000000,0,0,39.2,39.2,38.0
22/03/2007,1.5,36.1,-1.9(-5.00 %),17760,649000000,0,0,37.0,37.0,36.1
23/03/2007,1.43,34.3,-1.8(-4.99 %),14090,484000000,0,0,34.5,34.5,34.3
26/03/2007,1.36,32.6,-1.7(-4.96 %),18110,615000000,0,0,34.3,34.3,32.6
27/03/2007,1.29,31.0,-1.6(-4.91 %),1060,33000000,0,0,32.0,32.0,31.0
28/03/2007,1.23,29.5,-1.5(-4.84 %),3400,100000000,0,0,29.5,29.5,29.5
29/03/2007,1.29,30.9,1.4(4.75 %),3730,113000000,0,0,29.5,30.9,29.5
30/03/2007,1.35,32.4,1.5(4.85 %),31480,1020000000,0,0,32.0,32.4,32.0
02/04/2007,1.29,30.9,-1.5(-4.63 %),10210,325000000,0,0,32.4,32.4,30.8
03/04/2007,1.25,30.0,-0.9(-2.91 %),8650,260000000,0,0,30.0,30.0,30.0
04/04/2007,1.31,31.5,1.5(5.00 %),7590,226000000,0,0,28.9,31.5,28.9
05/04/2007,1.25,30.0,-1.5(-4.76 %),9350,281000000,0,0,30.0,30.0,30.0
06/04/2007,1.25,30.0,0(0.00 %),5600,164000000,0,0,29.0,30.0,29.0
09/04/2007,1.19,28.5,-1.5(-5.00 %),7760,221000000,0,0,28.5,28.5,28.5
10/04/2007,1.13,27.1,-1.4(-4.91 %),6650,181000000,0,0,27.5,27.5,27.1
11/04/2007,1.16,28.0,0.9(3.32 %),8260,230000000,0,0,28.0,28.0,27.1
12/04/2007,1.16,28.0,0(0.00 %),1260,35000000,0,0,28.0,28.0,28.0
13/04/2007,1.16,28.0,0(0.00 %),890,25000000,0,0,28.0,28.0,28.0
16/04/2007,1.11,26.6,-1.4(-5.00 %),4620,124000000,0,0,28.0,28.0,26.6
17/04/2007,1.05,25.3,-1.3(-4.89 %),9570,244000000,0,0,26.0,26.0,25.3
18/04/2007,1.09,26.2,0.9(3.56 %),3850,100000000,0,0,25.3,26.5,25.3
19/04/2007,1.14,27.3,1.1(4.20 %),9520,260000000,0,0,26.2,27.5,27.3
20/04/2007,1.14,27.5,0.2(0.73 %),6090,167000000,0,0,27.5,27.5,27.5
23/04/2007,1.14,27.5,0(0.00 %),4510,124000000,0,0,27.5,27.5,27.5
24/04/2007,1.09,26.2,-1.3(-4.73 %),5860,154000000,0,0,26.2,26.2,26.2
25/04/2007,1.14,27.5,1.3(4.96 %),11620,319000000,0,0,26.2,27.5,26.2
02/05/2007,1.14,27.5,0(0.00 %),1750,48000000,0,0,27.5,27.5,27.5
03/05/2007,1.12,27.0,-0.5(-1.82 %),2820,77000000,0,0,27.5,27.5,27.0
04/05/2007,1.14,27.4,0.4(1.48 %),2090,57000000,0,0,27.5,27.5,27.1
07/05/2007,1.12,27.0,-0.4(-1.46 %),3800,103000000,0,0,27.4,27.4,27.0
08/05/2007,1.16,28.0,1(3.70 %),6480,179000000,0,0,27.0,28.0,27.0
09/05/2007,1.19,28.5,0.5(1.79 %),6200,176000000,0,0,28.0,28.5,28.0
10/05/2007,1.13,27.1,-1.4(-4.91 %),9080,0,0,0,27.1,28.5,27.1
11/05/2007,1.18,28.4,1.3(4.80 %),9920,277000000,0,0,27.1,28.4,27.1
14/05/2007,1.24,29.8,1.4(4.93 %),6670,199000000,0,0,29.8,29.8,29.8
15/05/2007,1.3,31.2,1.4(4.70 %),21590,673000000,0,0,31.0,31.2,31.0
16/05/2007,1.24,29.7,-1.5(-4.81 %),5300,157000000,0,0,29.7,29.7,29.7
17/05/2007,1.19,28.6,-1.1(-3.70 %),7220,207000000,0,0,28.5,29.0,28.5
18/05/2007,1.25,30.0,1.4(4.90 %),14020,421000000,0,0,30.0,30.0,30.0
21/05/2007,1.31,31.5,1.5(5.00 %),3650,113000000,0,0,31.0,31.5,31.0
22/05/2007,1.37,33.0,1.5(4.76 %),6600,218000000,0,0,33.0,33.0,33.0
23/05/2007,1.44,34.6,1.6(4.85 %),1040,36000000,0,0,34.4,34.6,34.4
24/05/2007,1.51,36.3,1.7(4.91 %),10370,0,0,0,36.3,36.3,36.3
25/05/2007,1.59,38.1,1.8(4.96 %),54000,2057000000,0,0,38.1,38.1,38.1
28/05/2007,1.66,40.0,1.9(4.99 %),5080,203000000,0,0,40.0,40.0,40.0
29/05/2007,1.75,42.0,2(5.00 %),3080,129000000,0,0,42.0,42.0,42.0
30/05/2007,1.83,44.1,2.1(5.00 %),2970,131000000,0,0,44.1,44.1,44.1
31/05/2007,1.93,46.3,2.2(4.99 %),2610,121000000,0,0,46.3,46.3,46.3
01/06/2007,2.02,48.6,2.3(4.97 %),5020,244000000,0,0,48.6,48.6,48.6
04/06/2007,2.12,51.0,2.4(4.94 %),3800,194000000,0,0,51.0,51.0,51.0
05/06/2007,2.23,53.5,2.5(4.90 %),13190,706000000,0,0,53.5,53.5,53.5
06/06/2007,2.33,56.0,2.5(4.67 %),30130,1686000000,0,0,53.5,56.0,53.5
07/06/2007,2.43,58.5,2.5(4.46 %),3880,227000000,0,0,58.5,58.5,58.5
08/06/2007,2.54,61.0,2.5(4.27 %),5510,336000000,0,0,58.5,61.0,61.0
11/06/2007,2.66,64.0,3(4.92 %),16760,1073000000,0,0,64.0,64.0,64.0
12/06/2007,2.79,67.0,3(4.69 %),17010,1140000000,0,0,67.0,67.0,67.0
13/06/2007,2.91,70.0,3(4.48 %),36780,2575000000,0,0,70.0,70.0,70.0
14/06/2007,2.77,66.5,-3.5(-5.00 %),195020,12969000000,0,0,66.5,66.5,66.5
15/06/2007,2.64,63.5,-3(-4.51 %),11660,740000000,0,0,63.5,63.5,63.5
18/06/2007,2.52,60.5,-3(-4.72 %),39300,2381000000,0,0,63.5,63.5,60.5
19/06/2007,2.64,63.5,3(4.96 %),257950,16380000000,0,0,63.5,63.5,63.5
20/06/2007,2.77,66.5,3(4.72 %),57230,3806000000,0,0,66.5,66.5,66.5
21/06/2007,2.89,69.5,3(4.51 %),106950,7433000000,0,0,69.5,69.5,69.5
22/06/2007,2.91,70.0,0.5(0.72 %),240900,16771000000,0,0,70.0,70.0,69.5
25/06/2007,2.77,66.5,-3.5(-5.00 %),35830,2383000000,0,0,66.5,66.5,66.5
26/06/2007,2.89,69.5,3(4.51 %),115960,7809000000,0,0,63.5,69.5,63.5
