Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
LCG,03/11/2022,0,100,0,732000
LCG,16/11/2022,0,100,0,455000
LCG,21/11/2022,0,200,0,1110000
LCG,23/11/2022,0,100,0,566000
LCG,02/12/2022,0,1300,0,8786000
LCG,05/12/2022,0,100,0,740000
LCG,15/12/2022,0,100,0,782000
LCG,21/12/2022,0,200,0,1424000
LCG,22/12/2022,0,100,0,711000
LCG,11/01/2023,0,200,0,1768000
LCG,02/02/2023,0,100,0,977000
LCG,09/02/2023,0,100,0,1050000
LCG,17/02/2023,0,100,0,1195000
LCG,27/02/2023,0,100,0,1205000
LCG,02/03/2023,0,100,0,1215000
LCG,06/03/2023,0,200,0,2400000
LCG,15/03/2023,0,100,0,1275000
LCG,30/03/2023,0,7100,0,91945000
LCG,06/04/2023,0,100,0,1280000
LCG,12/04/2023,100000,0,1255000000,0
LCG,17/04/2023,0,93100,0,1131165000
LCG,18/04/2023,0,6900,0,87285000
LCG,19/04/2023,0,100,0,1260000
LCG,10/05/2023,0,100,0,1230000
LCG,17/05/2023,0,100,0,1260000
LCG,23/05/2023,2500,0,32375000,0
LCG,24/05/2023,9000,100,118350000,1295000
LCG,25/05/2023,4800,0,64425000,0
LCG,26/05/2023,2200,0,29150000,0
LCG,29/05/2023,7800,0,104260000,0
LCG,31/05/2023,6300,0,85605000,0
LCG,01/06/2023,2000,0,26700000,0
LCG,05/06/2023,6000,0,81250000,0
LCG,07/06/2023,0,10000,0,138050000
LCG,08/06/2023,10000,100,133500000,1315000
LCG,09/06/2023,10000,0,132000000,0
LCG,12/06/2023,0,10100,0,131805000
LCG,13/06/2023,0,7000,0,92400000
LCG,16/06/2023,0,7000,0,93450000
LCG,19/06/2023,0,26600,0,357250000
LCG,21/06/2023,5000,0,69250000,0
LCG,22/06/2023,0,100,0,1390000
LCG,23/06/2023,0,5000,0,69000000
LCG,27/06/2023,10000,0,136000000,0
LCG,29/06/2023,0,10100,0,138595000
LCG,14/07/2023,0,100,0,1425000
LCG,20/07/2023,0,100,0,1370000
LCG,28/07/2023,0,100,0,1415000
LCG,16/08/2023,0,100,0,1430000
LCG,28/08/2023,0,200,0,2510000
LCG,30/08/2023,0,200,0,2550000
LCG,12/09/2023,250000,0,3517500000,0
LCG,14/09/2023,0,250000,0,3628675000
LCG,20/09/2023,0,200,0,2870000
LCG,27/09/2023,0,100,0,1195000
LCG,28/09/2023,0,100,0,1210000
LCG,04/10/2023,0,100,0,1250000
LCG,10/10/2023,0,100,0,1300000
LCG,31/10/2023,0,100,0,999000
LCG,16/11/2023,0,100,0,1210000
LCG,13/12/2023,0,100,0,1245000
LCG,23/01/2024,100000,0,1230000000,0
LCG,31/01/2024,200000,100,2482500000,1235000
LCG,22/02/2024,200000,0,2733450000,0
LCG,27/02/2024,0,200000,0,2738200000
LCG,01/03/2024,0,100000,0,1367500000
LCG,06/03/2024,400000,0,5472500000,0
LCG,07/03/2024,100000,0,1350000000,0
LCG,08/03/2024,100000,0,1340000000,0
LCG,13/03/2024,0,200100,0,2721355000
LCG,14/03/2024,0,50000,0,680000000
LCG,15/03/2024,0,50000,0,680000000
LCG,18/03/2024,100000,0,1320000000,0
LCG,19/03/2024,0,150000,0,2017500000
LCG,21/03/2024,100000,100000,1380000000,1359000000
LCG,25/03/2024,50000,200000,710000000,2815000000
LCG,01/04/2024,0,100000,0,1427500000
LCG,02/04/2024,100000,0,1395000000,0
LCG,03/04/2024,100000,0,1386100000,0
LCG,04/04/2024,50000,0,687500000,0
LCG,11/04/2024,100000,91700,1280000000,1205855000
LCG,16/04/2024,0,508300,0,6019555000
LCG,22/05/2024,0,100,0,1205000
LCG,12/06/2024,0,100,0,1190000
LCG,28/08/2024,0,100,0,1100000
LCG,07/02/2025,100000,0,1074800000,0
LCG,12/02/2025,0,60000,0,648000000
LCG,13/02/2025,0,40000,0,438000000
LCG,26/03/2025,0,100,0,1040000
LCG,22/05/2025,0,13,0,123000
LCG,09/07/2025,0,2,0,20000
LCG,06/08/2025,0,89,0,926000
LCG,13/08/2025,0,200,0,2410000
LCG,14/08/2025,50000,0,600000000,0
