Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
27/12/2006,2.81,40.5,0(0.00 %),1000,40500,0,0,40.5,40.5,40.5
28/12/2006,2.94,42.5,2(4.94 %),25000,1062500,0,0,42.5,40.5,40.5
29/12/2006,3.09,44.6,2.1(4.94 %),13090,583814,0,0,44.6,44.6,44.6
02/01/2007,3.24,46.8,0(0.00 %),310,15000000,0,0,46.8,46.8,46.8
03/01/2007,3.4,49.1,2.3(4.91 %),1000,0,0,0,49.1,49.1,49.1
04/01/2007,3.57,51.5,2.4(4.89 %),3030,156000000,0,0,51.5,51.5,51.5
05/01/2007,3.74,54.0,2.5(4.85 %),33330,0,0,0,54.0,54.0,54.0
08/01/2007,3.91,56.5,2.5(4.63 %),41230,718000000,0,0,56.5,56.5,56.5
09/01/2007,4.09,59.0,2.5(4.42 %),11740,693000000,0,0,59.0,59.0,59.0
10/01/2007,4.26,61.5,2.5(4.24 %),5530,340000000,0,0,61.5,61.5,61.5
11/01/2007,4.47,64.5,3(4.88 %),810,52000000,0,0,61.5,64.5,64.5
12/01/2007,4.68,67.5,3(4.65 %),11500,776000000,0,0,67.5,67.5,67.5
15/01/2007,4.5,65.0,-2.5(-3.70 %),19590,1291000000,0,0,67.5,67.5,65.0
16/01/2007,4.3,62.0,-3(-4.62 %),11380,706000000,0,0,65.0,62.0,62.0
17/01/2007,4.09,59.0,-3(-4.84 %),19600,1156000000,0,0,59.0,59.0,59.0
18/01/2007,4.02,58.0,-1(-1.69 %),15890,922000000,0,0,59.0,58.0,58.0
19/01/2007,4.19,60.5,2.5(4.31 %),4370,248000000,0,0,58.0,60.5,55.5
22/01/2007,4.4,63.5,3(4.96 %),2810,167000000,0,0,60.5,63.5,59.0
23/01/2007,4.19,60.5,-3(-4.72 %),11010,682000000,0,0,60.5,63.5,60.5
24/01/2007,4.4,63.5,3(4.96 %),4390,279000000,0,0,60.5,63.5,63.5
25/01/2007,4.23,61.0,-2.5(-3.94 %),7550,461000000,0,0,63.5,61.0,61.0
26/01/2007,4.23,61.0,0(0.00 %),1900,116000000,0,0,61.0,61.0,61.0
29/01/2007,4.43,63.0,2(3.28 %),5950,375000000,0,0,63.0,63.0,61.0
30/01/2007,4.43,63.0,0(0.00 %),3000,189000000,0,0,63.0,63.0,63.0
31/01/2007,4.5,64.0,1(1.59 %),4140,414000000,0,0,63.0,64.0,63.0
01/02/2007,4.54,64.5,0.5(0.78 %),190,19000000,0,0,64.0,64.5,64.0
05/02/2007,4.54,64.5,0(0.00 %),13480,857000000,0,0,64.5,64.5,62.5
06/02/2007,4.68,66.5,2(3.10 %),1310,87000000,0,0,66.5,66.5,66.5
07/02/2007,4.57,65.0,-1.5(-2.26 %),400,26000000,0,0,65.0,65.0,65.0
08/02/2007,4.57,65.0,0(0.00 %),9200,598000000,0,0,65.0,65.0,65.0
09/02/2007,4.43,63.0,-2(-3.08 %),6490,433000000,0,0,63.0,68.0,63.0
12/02/2007,4.43,63.0,0(0.00 %),800,50000000,0,0,63.0,63.0,63.0
13/02/2007,4.64,66.0,3(4.76 %),3610,238000000,0,0,66.0,66.0,63.0
