Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/04/2010,11.27,49.5,5.5(12.50 %),585800,29746850000,0,0,44.0,60.0,44.0
26/04/2010,10.77,47.3,-3.5(-6.89 %),165400,8029020000,0,0,52.2,52.2,47.3
27/04/2010,10.29,45.2,-3.3(-6.80 %),169500,7682960000,0,0,46.0,46.5,45.2
28/04/2010,11.02,48.4,3.1(6.84 %),135200,6483280000,0,0,45.0,48.4,45.0
29/04/2010,11.68,51.3,3.3(6.87 %),554000,28418630000,0,0,51.3,51.3,51.0
04/05/2010,12.14,53.3,2(3.90 %),221900,11991640000,0,0,54.5,54.8,52.5
05/05/2010,11.77,51.7,-2.3(-4.26 %),145000,7407260000,0,0,57.7,57.7,50.5
06/05/2010,11.39,50.0,-1.1(-2.15 %),174300,8872810000,100000,4760000000,50.0,52.0,50.0
07/05/2010,11.05,48.5,-2.4(-4.72 %),155500,7491850000,0,0,51.0,51.0,47.4
10/05/2010,11.02,48.4,0.2(0.41 %),170600,8239360000,50000,2565000000,51.0,51.0,46.0
11/05/2010,11.27,49.5,1.2(2.48 %),212900,10312920000,5000,242500000,45.0,51.0,45.0
12/05/2010,11.23,32.5,0.6(1.88 %),336800,11059690000,0,0,34.1,34.1,31.0
13/05/2010,11.23,32.5,-0.3(-0.91 %),81600,2628210000,0,0,33.0,33.5,31.2
14/05/2010,10.95,31.7,-0.5(-1.55 %),38500,1223250000,0,0,32.4,32.5,31.5
17/05/2010,10.71,31.0,-0.8(-2.52 %),62800,1894600000,0,0,31.5,31.5,29.6
18/05/2010,10.02,29.0,-1.2(-3.97 %),93000,2733000000,35000,1050000000,30.0,30.4,28.9
19/05/2010,9.47,27.4,-2(-6.80 %),65400,1812600000,25800,758920000,28.5,29.2,27.4
20/05/2010,9.5,27.5,-0.2(-0.72 %),38900,1046840000,0,0,26.2,28.1,25.8
21/05/2010,8.92,25.8,-1.1(-4.09 %),66100,1704380000,0,0,25.5,26.8,25.1
24/05/2010,8.92,25.8,0(0.00 %),28900,752290000,0,0,26.7,26.7,25.7
25/05/2010,8.88,25.7,-0.3(-1.15 %),24200,622380000,0,0,26.0,26.0,25.5
26/05/2010,9.47,27.4,1.7(6.61 %),52800,1436930000,0,0,26.4,27.4,26.4
27/05/2010,10.06,29.1,1.9(6.99 %),97200,2817230000,0,0,28.5,29.1,27.5
28/05/2010,10.37,30.0,1(3.45 %),58600,1765660000,0,0,30.0,30.9,29.0
31/05/2010,9.68,28.0,-2.1(-6.98 %),19700,556930000,0,0,31.0,31.0,28.0
01/06/2010,9.81,28.4,0.1(0.35 %),37700,1072270000,0,0,29.0,29.0,27.1
02/06/2010,10.47,30.3,1.9(6.69 %),163100,4853170000,0,0,29.5,30.3,26.9
03/06/2010,10.99,31.8,2(6.71 %),308500,9810300000,0,0,31.8,31.8,31.8
04/06/2010,11.68,33.8,2(6.29 %),222300,7493790000,0,0,32.0,34.0,32.0
07/06/2010,10.85,31.4,-2.3(-6.82 %),106700,3351130000,15000,505500000,31.4,31.5,31.4
08/06/2010,10.99,31.8,0.4(1.27 %),39300,1205700000,0,0,31.0,31.8,29.6
09/06/2010,9.92,28.7,-2(-6.51 %),92300,2828730000,0,0,30.7,32.5,28.7
10/06/2010,10.75,31.1,0.5(1.63 %),51400,1554990000,0,0,29.3,31.1,29.3
11/06/2010,10.5,30.4,0.1(0.33 %),36900,1128510000,0,0,32.0,32.0,30.2
14/06/2010,11.3,32.7,2.1(6.86 %),196800,6340330000,0,0,30.5,32.7,30.5
15/06/2010,11.89,34.4,2.2(6.83 %),464200,15965530000,10000,344000000,34.4,34.4,34.0
16/06/2010,12.72,36.8,2.4(6.98 %),280300,10314160000,0,0,36.8,36.8,36.5
17/06/2010,12.09,35.0,-1.8(-4.89 %),167400,6022480000,0,0,36.8,38.5,35.0
18/06/2010,12.54,36.3,0.3(0.83 %),214300,7844520000,0,0,35.0,38.0,34.1
21/06/2010,12.61,36.5,-0.1(-0.27 %),253100,8971620000,0,0,37.8,37.8,34.2
22/06/2010,12.23,35.4,0(0.00 %),147700,5274130000,0,0,36.5,37.0,35.0
23/06/2010,12.23,35.4,-0.3(-0.84 %),65700,2321010000,15000,547500000,35.7,35.7,34.6
24/06/2010,13.03,37.7,2.4(6.80 %),499200,18560630000,0,0,35.3,37.7,35.0
25/06/2010,12.79,37.0,-0.2(-0.54 %),201700,7424100000,0,0,37.7,37.7,35.9
28/06/2010,12.58,36.4,-0.4(-1.09 %),65800,2415350000,0,0,36.0,37.5,36.0
29/06/2010,12.65,36.6,-0.1(-0.27 %),35100,1280950000,0,0,37.3,37.4,36.0
30/06/2010,11.78,34.1,-2.4(-6.58 %),100200,3472960000,0,0,34.5,36.0,34.0
01/07/2010,11.47,33.2,-1.5(-4.32 %),82300,2752260000,0,0,34.6,34.8,33.0
02/07/2010,11.37,32.9,-0.5(-1.50 %),38900,1289760000,35000,1169000000,32.7,34.0,32.7
05/07/2010,11.26,32.6,-0.6(-1.81 %),28100,914950000,0,0,33.2,33.2,32.0
06/07/2010,10.95,31.7,-0.9(-2.76 %),139900,4448070000,0,0,32.0,32.5,31.5
07/07/2010,11.16,32.3,0.5(1.57 %),125600,4055470000,61500,1820400000,32.5,33.9,31.2
08/07/2010,11.06,32.0,-0.3(-0.93 %),89600,2888860000,65000,2182500000,32.3,32.9,31.2
09/07/2010,11.44,33.1,0.9(2.80 %),118500,3860090000,0,0,32.0,33.5,31.0
12/07/2010,11.75,34.0,1.4(4.29 %),117300,3920050000,0,0,32.6,34.4,32.1
13/07/2010,12.3,35.6,2.2(6.59 %),236000,8394010000,0,0,34.0,35.7,34.0
14/07/2010,11.82,34.2,-1.4(-3.93 %),91000,3198750000,35000,1260000000,36.0,36.0,34.1
15/07/2010,12.34,35.7,0.5(1.42 %),155300,5535670000,0,0,35.0,37.2,35.0
16/07/2010,11.85,34.3,-1.3(-3.65 %),136000,4724530000,0,0,35.5,35.6,34.2
19/07/2010,11.99,34.7,0(0.00 %),134100,4612740000,0,0,35.0,35.0,33.8
20/07/2010,12.72,36.8,2.4(6.98 %),1427500,52460080000,0,0,35.0,36.8,35.0
21/07/2010,12.16,35.2,-1.6(-4.35 %),189200,6924510000,0,0,36.5,39.0,35.1
22/07/2010,11.96,34.6,-2(-5.46 %),92100,3187520000,0,0,36.7,36.7,34.1
23/07/2010,11.99,34.7,0.1(0.29 %),86600,2991500000,0,0,35.5,35.5,34.2
26/07/2010,11.16,32.3,-2.2(-6.38 %),308500,10182640000,20000,713000000,34.5,34.5,32.1
27/07/2010,11.4,33.0,0(0.00 %),139200,4576220000,100000,3070000000,32.4,33.5,32.4
28/07/2010,10.95,31.7,-1.2(-3.65 %),174200,5515110000,0,0,33.5,33.5,31.1
29/07/2010,11.06,32.0,0.3(0.95 %),107400,3429510000,0,0,31.7,33.0,31.0
30/07/2010,11.02,31.9,0(0.00 %),130500,4163720000,35000,1193500000,31.7,32.8,31.5
