Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
16/08/2017,0,0,0(0.00 %),0,0,0,0,39065790,0.0
17/08/2017,0,0,0(0.00 %),0,0,0,0,39065790,0.0
18/08/2017,0,0,0(0.00 %),0,0,0,0,39065790,0.0
21/08/2017,0,0,0(0.00 %),0,0,0,0,39065790,0.0
22/08/2017,0,0,0(0.00 %),0,0,0,0,39065790,0.0
23/08/2017,0,0,21(-4.55 %),0,0,0,0,39065790,0.0
24/08/2017,0,0,17.9(-14.76 %),0,0,0,0,39065790,0.0
25/08/2017,0,0,15.3(-14.53 %),0,0,0,0,39065790,0.0
28/08/2017,0,0,13.1(-14.38 %),0,0,0,0,39065790,0.0
29/08/2017,0,0,11.2(-14.50 %),0,0,0,0,39065790,0.0
30/08/2017,0,0,9.6(-14.29 %),0,0,0,0,39065790,0.0
31/08/2017,0,0,8.6(-10.42 %),0,0,0,0,39065790,0.0
01/09/2017,0,0,9.8(13.95 %),0,0,0,0,39065790,0.0
05/09/2017,0,0,10(13.64 %),0,0,0,0,39065790,0.0
06/09/2017,0,0,10(0.00 %),0,0,0,0,39065790,0.0
07/09/2017,0,0,10(11.11 %),0,0,0,0,39065790,0.0
08/09/2017,0,0,8.5(-15.00 %),0,0,0,0,39065790,0.0
12/09/2017,0,0,9.5(7.95 %),0,0,0,0,39065790,0.0
13/09/2017,0,0,9.7(0.00 %),0,0,0,0,39065790,0.0
14/09/2017,0,0,9.5(4.40 %),0,0,0,0,39065790,0.0
15/09/2017,0,0,9(1.12 %),0,0,0,0,39065790,0.0
18/09/2017,0,0,9.5(2.15 %),0,0,0,0,39065790,0.0
19/09/2017,0,0,10(5.26 %),0,0,0,0,39065790,0.0
20/09/2017,0,0,9.8(4.26 %),0,0,0,0,39065790,0.0
21/09/2017,0,0,10(1.01 %),0,0,0,0,39065790,0.0
22/09/2017,0,0,10(0.00 %),0,0,0,0,39065790,0.0
25/09/2017,0,0,10(0.00 %),0,0,0,0,39065790,0.0
26/09/2017,0,0,10.5(6.06 %),0,0,0,0,39065790,0.0
27/09/2017,0,0,11(6.80 %),0,0,0,0,39065790,0.0
28/09/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
29/09/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
02/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
03/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
04/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
05/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
06/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
09/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
10/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
11/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
12/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
16/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
17/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
18/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
19/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
20/10/2017,0,0,9.9(-10.00 %),0,0,0,0,39065790,0.0
23/10/2017,0,0,9.9(0.00 %),0,0,0,0,39065790,0.0
24/10/2017,0,0,11(11.11 %),0,0,0,0,39065790,0.0
25/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
26/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
27/10/2017,0,0,11(0.00 %),0,0,0,0,39065790,0.0
30/10/2017,0,0,10.8(0.00 %),0,0,0,0,39065790,0.0
31/10/2017,0,0,12(11.11 %),0,0,0,0,39065790,0.0
01/11/2017,0,0,10.2(-15.00 %),0,0,0,0,39065790,0.0
02/11/2017,0,0,9.9(-2.94 %),0,0,0,0,39065790,0.0
03/11/2017,0,0,11.6(0.00 %),0,0,0,0,39065790,0.0
06/11/2017,0,0,10.6(-8.62 %),0,0,0,0,39065790,0.0
07/11/2017,0,0,11.9(12.26 %),0,0,0,0,39065790,0.0
