Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
15/11/2010,5.36,17.0,-2(-10.53 %),810,13895000,0,0,18.2,18.2,17.0
16/11/2010,5.29,16.8,-0.2(-1.18 %),2240,36875000,0,0,16.2,17.1,16.2
17/11/2010,5.45,17.3,0.5(2.98 %),320,5456000,0,0,17.3,17.3,16.8
18/11/2010,5.36,17.0,-0.3(-1.73 %),2570,42766000,0,0,16.5,17.3,16.5
19/11/2010,5.23,16.6,-0.4(-2.35 %),1010,16366000,0,0,16.2,16.6,16.2
22/11/2010,4.98,15.8,-0.8(-4.82 %),40,652000,0,0,17.4,17.4,15.8
23/11/2010,4.76,15.1,-0.7(-4.43 %),1650,25014000,0,0,16.0,16.0,15.1
24/11/2010,4.76,15.1,0(0.00 %),60,899000,0,0,15.1,15.1,14.4
25/11/2010,4.76,15.1,0(0.00 %),4050,59789000,0,0,15.1,15.1,14.4
26/11/2010,4.54,14.4,-0.7(-4.64 %),4840,69821000,0,0,14.5,14.9,14.4
29/11/2010,4.32,13.7,-0.7(-4.86 %),2680,37870000,0,0,14.9,14.9,13.7
30/11/2010,4.47,14.2,0.5(3.65 %),5190,73820000,0,0,14.3,14.3,14.0
01/12/2010,4.47,14.2,0(0.00 %),2900,41750000,0,0,14.5,14.5,14.2
02/12/2010,4.5,14.3,0.1(0.70 %),2190,30923000,0,0,14.3,14.3,13.9
03/12/2010,4.73,15.0,0.7(4.90 %),7530,108656000,0,0,14.4,15.0,13.7
06/12/2010,4.79,15.2,0.2(1.33 %),3820,56924000,0,0,15.0,15.2,14.4
07/12/2010,4.57,14.5,-0.7(-4.61 %),740,10979000,0,0,15.4,15.5,14.5
08/12/2010,4.57,14.5,0(0.00 %),2580,35719000,0,0,15.0,15.0,13.8
09/12/2010,4.35,13.8,-0.7(-4.83 %),7310,103594000,0,0,13.8,15.0,13.8
10/12/2010,4.54,14.4,0.6(4.35 %),9840,140656000,0,0,14.3,14.4,14.2
13/12/2010,4.76,15.1,0.7(4.86 %),5950,89845000,0,0,15.1,15.1,15.1
14/12/2010,4.95,15.7,0.6(3.97 %),4010,63210000,0,0,15.8,15.8,15.7
15/12/2010,5.17,16.4,0.7(4.46 %),18100,296652000,0,0,16.4,16.4,16.3
16/12/2010,5.29,16.8,0.4(2.44 %),4110,65947000,0,0,16.4,17.0,16.0
17/12/2010,5.04,16.0,-0.8(-4.76 %),8000,128898000,0,0,16.0,17.0,16.0
20/12/2010,5.17,16.4,0.4(2.50 %),3080,49604000,0,0,15.3,16.7,15.3
21/12/2010,5.14,16.3,-0.1(-0.61 %),8820,138893000,0,0,16.4,16.9,15.6
22/12/2010,5.01,15.9,-0.4(-2.45 %),1060,16854000,0,0,15.9,15.9,15.9
23/12/2010,5.21,15.3,0.6(4.08 %),2460,35484000,0,0,14.0,15.4,14.0
24/12/2010,4.98,14.6,-0.7(-4.58 %),1030,15045000,0,0,14.6,15.3,14.6
27/12/2010,5.08,14.9,0.3(2.05 %),3150,46846000,0,0,15.2,15.2,14.8
28/12/2010,4.87,14.3,-0.6(-4.03 %),5570,80107000,0,0,15.0,15.0,14.2
29/12/2010,4.63,13.6,-0.7(-4.90 %),3130,42711000,0,0,14.9,14.9,13.6
30/12/2010,4.84,14.2,0.6(4.41 %),2090,27871000,0,0,14.0,14.2,13.0
31/12/2010,4.84,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
04/01/2011,4.6,13.5,-0.7(-4.93 %),650,8810000,0,0,14.2,14.2,13.5
05/01/2011,4.77,14.0,0.5(3.70 %),1260,17225000,0,0,14.0,14.0,13.5
06/01/2011,4.91,14.4,0.4(2.86 %),5070,68712000,0,0,14.3,14.5,13.3
07/01/2011,4.7,13.8,-0.6(-4.17 %),2210,30952000,0,0,14.5,14.5,13.8
10/01/2011,4.8,14.1,0.3(2.17 %),2230,30855000,0,0,14.2,14.2,13.2
11/01/2011,4.8,14.1,0(0.00 %),220,3051000,0,0,14.4,14.4,13.4
12/01/2011,4.77,14.0,-0.1(-0.71 %),1710,23039000,0,0,13.4,14.0,13.4
13/01/2011,4.77,14.0,0(0.00 %),370,5187000,0,0,14.1,14.1,14.0
14/01/2011,4.91,14.4,0.4(2.86 %),1810,25598000,0,0,14.0,14.4,14.0
17/01/2011,4.67,13.7,-0.7(-4.86 %),1750,24279000,0,0,14.5,14.5,13.7
18/01/2011,4.77,14.0,0.3(2.19 %),50,700000,0,0,14.0,14.0,14.0
19/01/2011,4.7,13.8,-0.2(-1.43 %),950,13044000,0,0,14.0,14.0,13.6
20/01/2011,4.63,13.6,-0.2(-1.45 %),4670,62026000,0,0,13.3,13.6,13.2
21/01/2011,4.77,14.0,0.4(2.94 %),7740,101709000,0,0,13.1,14.0,13.0
24/01/2011,4.7,13.8,-0.2(-1.43 %),1030,13718000,0,0,14.2,14.2,13.3
25/01/2011,4.77,14.0,0.2(1.45 %),1420,18900000,0,0,13.3,14.0,13.3
26/01/2011,4.77,14.0,0(0.00 %),310,4340000,0,0,14.0,14.0,14.0
27/01/2011,4.77,14.0,0(0.00 %),10,140000,0,0,14.0,14.0,14.0
28/01/2011,4.77,14.0,0(0.00 %),230,3220000,0,0,14.0,14.0,14.0
08/02/2011,4.8,14.1,0.1(0.71 %),1100,14652000,0,0,14.7,14.7,13.3
09/02/2011,4.91,14.4,0.3(2.13 %),210,2853000,0,0,13.5,14.4,13.5
10/02/2011,4.67,13.7,-0.7(-4.86 %),1000,13700000,0,0,13.7,13.7,13.7
11/02/2011,4.67,13.7,0(0.00 %),820,10841000,0,0,13.1,14.1,13.1
14/02/2011,4.67,13.7,0(0.00 %),1170,15821000,0,0,13.9,13.9,13.3
15/02/2011,4.46,13.1,-0.6(-4.38 %),590,7729000,0,0,13.1,13.1,13.1
16/02/2011,4.57,13.4,0.3(2.29 %),2080,27545000,0,0,13.1,13.6,13.1
17/02/2011,4.57,13.4,0(0.00 %),0,0,0,0,13.4,13.4,13.4
18/02/2011,4.43,13.0,-0.4(-2.99 %),4580,58914000,0,0,13.4,13.4,12.8
21/02/2011,4.43,13.0,0(0.00 %),2550,32566000,0,0,13.0,13.5,12.4
22/02/2011,4.43,13.0,0(0.00 %),250,3278000,0,0,13.5,13.6,13.0
23/02/2011,4.43,13.0,0(0.00 %),1010,12530000,0,0,12.4,13.0,12.4
24/02/2011,4.23,12.4,-0.6(-4.62 %),4630,57810000,0,0,12.5,12.9,12.4
25/02/2011,4.29,12.6,0.2(1.61 %),3720,45270000,0,0,12.0,12.6,12.0
28/02/2011,4.4,12.9,0.3(2.38 %),400,5193000,0,0,12.9,13.2,12.9
01/03/2011,4.43,13.0,0.1(0.78 %),1240,15463000,0,0,13.0,13.1,12.3
02/03/2011,4.23,12.4,-0.6(-4.62 %),530,6588000,0,0,13.2,13.2,12.4
03/03/2011,4.02,11.8,-0.6(-4.84 %),130,1550000,0,0,12.6,12.6,11.8
04/03/2011,4.19,12.3,0.5(4.24 %),4860,57704000,0,0,11.3,12.3,11.3
07/03/2011,4.36,12.8,0.5(4.07 %),140,1777000,0,0,12.3,12.9,12.3
08/03/2011,4.53,13.3,0.5(3.91 %),150,1963000,0,0,13.4,13.4,12.6
09/03/2011,4.67,13.7,0.4(3.01 %),100,1370000,0,0,13.7,13.7,13.7
10/03/2011,4.63,13.6,-0.1(-0.73 %),600,8300000,0,0,13.7,14.2,13.6
11/03/2011,4.77,14.0,0.4(2.94 %),1050,14283000,0,0,13.6,14.0,13.5
14/03/2011,4.63,13.6,-0.4(-2.86 %),300,4020000,0,0,13.3,13.6,13.3
15/03/2011,4.43,13.0,-0.6(-4.41 %),20,268000,0,0,13.8,13.8,13.0
16/03/2011,4.57,13.4,0.4(3.08 %),780,9754000,0,0,13.6,13.6,12.4
17/03/2011,4.7,13.8,0.4(2.99 %),10,138000,0,0,13.8,13.8,13.8
18/03/2011,4.6,13.5,-0.3(-2.17 %),20,274000,0,0,13.9,13.9,13.5
21/03/2011,4.5,13.2,-0.3(-2.22 %),1390,18200000,0,0,13.5,13.5,12.9
22/03/2011,4.29,12.6,-0.6(-4.55 %),1740,21925000,0,0,12.7,12.7,12.6
23/03/2011,4.09,12.0,-0.6(-4.76 %),5170,62261000,0,0,12.0,13.1,12.0
24/03/2011,3.99,11.7,-0.3(-2.50 %),420,4937000,0,0,12.6,12.6,11.4
25/03/2011,4.06,11.9,0.2(1.71 %),620,7272000,0,0,11.7,12.2,11.7
28/03/2011,4.23,12.4,0.5(4.20 %),4050,46275000,0,0,12.2,12.4,11.4
29/03/2011,4.36,12.8,0.4(3.23 %),1200,14283000,0,0,12.9,12.9,11.8
30/03/2011,4.4,12.9,0.1(0.78 %),40,531000,0,0,13.4,13.4,12.9
31/03/2011,4.36,12.8,-0.1(-0.78 %),230,2862000,0,0,12.3,12.9,12.3
01/04/2011,4.33,12.7,-0.1(-0.78 %),50,620000,0,0,12.2,12.7,12.2
04/04/2011,4.36,12.8,0.1(0.79 %),740,9465000,0,0,12.1,13.0,12.1
05/04/2011,4.16,12.2,-0.6(-4.69 %),1290,15752000,0,0,12.9,12.9,12.2
06/04/2011,4.33,12.7,0.5(4.10 %),550,6601000,0,0,12.7,12.8,11.9
07/04/2011,4.23,12.4,-0.3(-2.36 %),550,6927000,0,0,13.2,13.2,12.4
08/04/2011,4.02,11.8,-0.6(-4.84 %),30,370000,0,0,12.6,12.6,11.8
13/04/2011,4.19,12.3,0.5(4.24 %),1310,15834000,0,0,12.2,12.3,11.8
14/04/2011,4.09,12.0,-0.3(-2.44 %),3450,42870000,0,0,12.5,12.5,12.0
15/04/2011,4.26,12.5,0.5(4.17 %),5750,71494000,0,0,12.0,12.6,12.0
