Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
14/02/2011,0,0,17.5(16.67 %),0,0,0,0,1715000,0.0
15/02/2011,0,0,16.2(6.58 %),0,0,0,0,1715000,0.0
16/02/2011,0,0,17.3(6.79 %),0,0,0,0,1715000,0.0
17/02/2011,0,0,17.3(0.00 %),0,0,0,0,1715000,0.0
18/02/2011,0,0,17.3(0.00 %),0,0,0,0,1715000,0.0
21/02/2011,0,0,16.3(-5.78 %),0,0,0,0,1715000,0.0
22/02/2011,0,0,16.3(0.00 %),0,0,0,0,1715000,0.0
23/02/2011,0,0,16.3(0.00 %),0,0,0,0,1715000,0.0
24/02/2011,0,0,16.3(0.00 %),0,0,0,0,1715000,0.0
25/02/2011,0,0,16.2(-0.61 %),0,0,0,0,1715000,0.0
28/02/2011,0,0,16.2(0.00 %),0,0,0,0,1715000,0.0
01/03/2011,0,0,16.2(0.00 %),0,0,0,0,1715000,0.0
02/03/2011,0,0,15.1(-6.79 %),0,0,0,0,1715000,0.0
03/03/2011,0,0,14.4(-4.64 %),0,0,0,0,0,0.0
04/03/2011,0,0,15.6(6.85 %),0,0,0,0,0,0.0
07/03/2011,0,0,14.6(-6.41 %),0,0,0,0,0,0.0
08/03/2011,0,0,13.6(-6.85 %),0,0,0,0,0,0.0
09/03/2011,0,0,12.7(-6.62 %),0,0,0,0,0,0.0
10/03/2011,0,0,12(-6.98 %),0,0,0,0,0,0.0
11/03/2011,0,0,12(0.00 %),0,0,0,0,0,0.0
14/03/2011,0,0,12(0.00 %),0,0,0,0,0,0.0
15/03/2011,0,0,12.8(6.67 %),0,0,0,0,0,0.0
16/03/2011,0,0,12.8(0.00 %),0,0,0,0,1715000,0.0
17/03/2011,0,0,13.6(6.25 %),0,0,0,0,1715000,0.0
18/03/2011,0,0,13.6(0.00 %),0,0,0,0,1715000,0.0
21/03/2011,0,0,14.5(6.62 %),0,0,0,0,1715000,0.0
22/03/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
23/03/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
24/03/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
25/03/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
28/03/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
29/03/2011,0,0,15.2(4.83 %),0,0,0,0,1715000,0.0
30/03/2011,0,0,15.2(0.00 %),0,0,0,0,1715000,0.0
31/03/2011,0,0,15.2(0.00 %),0,0,0,0,1715000,0.0
01/04/2011,0,0,15.2(0.00 %),0,0,0,0,1715000,0.0
04/04/2011,0,0,15.2(0.00 %),0,0,0,0,1715000,0.0
05/04/2011,0,0,15(-1.32 %),0,0,0,0,1715000,0.0
06/04/2011,0,0,15(0.00 %),0,0,0,0,1715000,0.0
07/04/2011,0,0,15(0.00 %),0,0,0,0,1715000,0.0
08/04/2011,0,0,14.5(0.00 %),0,0,0,0,1715000,0.0
13/04/2011,0,0,13.5(-6.90 %),0,0,0,0,1715000,0.0
14/04/2011,0,0,13.5(0.00 %),0,0,0,0,1715000,0.0
15/04/2011,0,0,13.5(0.00 %),0,0,0,0,1715000,0.0
18/04/2011,0,0,13.5(0.00 %),0,0,0,0,1715000,0.0
19/04/2011,0,0,13.5(0.00 %),0,0,0,0,1715000,0.0
20/04/2011,0,0,13(-3.70 %),0,0,0,0,1715000,0.0
21/04/2011,0,0,13(0.00 %),0,0,0,0,1715000,0.0
22/04/2011,0,0,13(0.00 %),0,0,0,0,1715000,0.0
25/04/2011,0,0,13.9(6.92 %),0,0,0,0,1715000,0.0
26/04/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
27/04/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
28/04/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
29/04/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
04/05/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
05/05/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
06/05/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
09/05/2011,0,0,13.9(0.00 %),0,0,0,0,1715000,0.0
10/05/2011,0,0,14(0.72 %),0,0,0,0,1715000,0.0
11/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
12/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
13/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
16/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
17/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
18/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
19/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
20/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
23/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
24/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
25/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
26/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
27/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
30/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
31/05/2011,0,0,14(0.00 %),0,0,0,0,1715000,0.0
01/06/2011,0,0,13.8(-1.43 %),0,0,0,0,1715000,0.0
02/06/2011,0,0,12.9(-6.52 %),0,0,0,0,1715000,0.0
03/06/2011,0,0,12.9(0.00 %),0,0,0,0,1715000,0.0
06/06/2011,0,0,12.6(0.00 %),0,0,0,0,1715000,0.0
07/06/2011,0,0,13.4(6.35 %),0,0,0,0,1715000,0.0
08/06/2011,0,0,13.4(0.00 %),0,0,0,0,1715000,0.0
09/06/2011,0,0,13.8(2.99 %),0,0,0,0,1715000,0.0
10/06/2011,0,0,12.9(-6.52 %),0,0,0,0,1715000,0.0
13/06/2011,0,0,12.9(0.00 %),0,0,0,0,1715000,0.0
14/06/2011,0,0,12.9(0.00 %),0,0,0,0,1715000,0.0
15/06/2011,0,0,12.9(0.00 %),0,0,0,0,1715000,0.0
16/06/2011,0,0,13.2(2.33 %),0,0,0,0,1715000,0.0
17/06/2011,0,0,12.5(-5.30 %),0,0,0,0,1715000,0.0
20/06/2011,0,0,12.5(0.00 %),0,0,0,0,1715000,0.0
