Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/02/2011,8.89,19.5,0(0.00 %),100,1950000,0,0,19.5,19.5,19.5
28/02/2011,8.89,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
01/03/2011,8.89,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
02/03/2011,8.89,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
03/03/2011,8.89,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
04/03/2011,8.89,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
07/03/2011,9.07,19.9,0.4(2.05 %),100,1990000,0,0,19.9,19.9,19.9
08/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
09/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
10/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
11/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
14/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
15/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
16/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
17/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
18/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
21/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
22/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
23/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
24/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
25/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
28/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
29/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
30/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
31/03/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
01/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
04/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
05/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
06/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
07/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
08/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
13/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
14/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
15/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
18/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
19/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
20/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
21/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
22/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
25/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
26/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
27/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
28/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
29/04/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
04/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
05/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
06/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
09/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
10/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
11/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
12/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
13/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
16/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
17/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
18/05/2011,9.07,19.9,0(0.00 %),0,0,0,0,19.9,19.9,19.9
19/05/2011,9.12,19.9,0.1(0.51 %),0,0,0,0,19.8,19.8,19.8
20/05/2011,9.12,19.9,0.1(0.51 %),0,0,0,0,19.8,19.8,19.8
23/05/2011,9.12,19.9,0.1(0.51 %),0,0,0,0,19.8,19.8,19.8
24/05/2011,9.12,19.9,0.1(0.51 %),0,0,0,0,19.8,19.8,19.8
25/05/2011,9.12,19.9,0.1(0.51 %),0,0,0,0,19.8,19.8,19.8
26/05/2011,5.5,12.0,-7.8(-39.39 %),500,6000000,0,0,12.0,12.0,12.0
27/05/2011,5.5,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/05/2011,5.5,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
