Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/11/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
01/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
02/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
05/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
06/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
07/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
08/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
09/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
12/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
13/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
14/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
15/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
16/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
19/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
20/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
21/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
22/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
23/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
26/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
27/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
28/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
29/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
30/12/2011,0.41,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
04/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
05/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
06/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
09/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
10/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
11/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
12/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
13/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
16/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
17/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
18/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
19/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
20/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
30/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
31/01/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
01/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
02/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
03/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
06/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
07/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
08/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
09/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
10/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
13/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
14/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
15/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
16/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
17/02/2012,0.41,26.2,0(0.00 %),0,0,0,0,26.2,26.2,26.2
