Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/11/2008,0,0,16.6(18.57 %),0,0,0,0,0,0.0
24/11/2008,0,0,16.3(6.54 %),0,0,0,0,0,0.0
25/11/2008,0,0,17.4(6.75 %),0,0,0,0,0,0.0
26/11/2008,0,0,17.5(0.57 %),0,0,0,0,0,0.0
27/11/2008,0,0,16.2(-6.90 %),0,0,0,0,0,0.0
28/11/2008,0,0,15.1(-6.79 %),0,0,0,0,0,0.0
01/12/2008,0,0,14.1(-6.62 %),0,0,0,0,0,0.0
02/12/2008,0,0,13.2(-6.38 %),0,0,0,0,0,0.0
03/12/2008,0,0,12.4(-6.06 %),0,0,0,0,0,0.0
04/12/2008,0,0,13.1(6.50 %),0,0,0,0,0,0.0
05/12/2008,0,0,13.6(3.82 %),0,0,0,0,0,0.0
08/12/2008,0,0,12.6(-4.55 %),0,0,0,0,0,0.0
09/12/2008,0,0,12.6(1.61 %),0,0,0,0,0,0.0
10/12/2008,0,0,11.8(-6.35 %),0,0,0,0,0,0.0
11/12/2008,0,0,11.5(-3.36 %),0,0,0,0,0,0.0
12/12/2008,0,0,12.1(6.14 %),0,0,0,0,0,0.0
15/12/2008,0,0,11.4(-5.00 %),0,0,0,0,0,0.0
16/12/2008,0,0,11(-6.78 %),0,0,0,0,0,0.0
17/12/2008,0,0,10.4(-5.45 %),0,0,0,0,0,0.0
18/12/2008,0,0,10.9(4.81 %),0,0,0,0,0,0.0
19/12/2008,0,0,10.7(0.94 %),0,0,0,0,0,0.0
22/12/2008,0,0,10.5(-0.94 %),0,0,0,0,0,0.0
23/12/2008,0,0,10(-5.66 %),0,0,0,0,0,0.0
24/12/2008,0,0,10.1(0.00 %),0,0,0,0,0,0.0
25/12/2008,0,0,10(1.01 %),0,0,0,0,0,0.0
26/12/2008,0,0,10.2(2.00 %),0,0,0,0,0,0.0
29/12/2008,0,0,9.9(-1.00 %),0,0,0,0,0,0.0
30/12/2008,0,0,10(1.01 %),0,0,0,0,0,0.0
31/12/2008,0,0,10.1(1.00 %),0,0,0,0,0,0.0
02/01/2009,0,0,10.1(0.00 %),0,0,0,0,490000,0.0
05/01/2009,0,0,10(-0.99 %),0,0,0,0,490000,0.0
06/01/2009,0,0,10.1(1.00 %),0,0,0,0,490000,0.0
07/01/2009,0,0,10(0.00 %),0,0,0,0,490000,0.0
08/01/2009,0,0,10.1(1.00 %),0,0,0,0,490000,0.0
09/01/2009,0,0,9.9(-1.00 %),0,0,0,0,490000,0.0
12/01/2009,0,0,9.8(-2.00 %),0,0,0,0,490000,0.0
13/01/2009,0,0,9.5(-3.06 %),0,0,0,0,490000,0.0
14/01/2009,0,0,9.6(1.05 %),0,0,0,0,490000,0.0
15/01/2009,0,0,9.9(3.12 %),0,0,0,0,490000,0.0
16/01/2009,0,0,10(4.17 %),0,0,0,0,490000,0.0
19/01/2009,0,0,9.5(-5.00 %),0,0,0,0,490000,0.0
20/01/2009,0,0,9.5(0.00 %),0,0,0,0,490000,0.0
21/01/2009,0,0,9.6(0.00 %),0,0,0,0,490000,0.0
22/01/2009,0,0,9.8(2.08 %),0,0,0,0,490000,0.0
23/01/2009,0,0,9.6(-2.04 %),0,0,0,0,490000,0.0
02/02/2009,0,0,9.4(0.00 %),0,0,0,0,490000,0.0
03/02/2009,0,0,9.5(1.06 %),0,0,0,0,490000,0.0
04/02/2009,0,0,9.7(2.11 %),0,0,0,0,490000,0.0
05/02/2009,0,0,9.1(-6.19 %),0,0,0,0,490000,0.0
06/02/2009,0,0,9.4(2.17 %),0,0,0,0,490000,0.0
09/02/2009,0,0,9.1(0.00 %),0,0,0,0,490000,0.0
10/02/2009,0,0,9(-1.10 %),0,0,0,0,490000,0.0
11/02/2009,0,0,9(0.00 %),0,0,0,0,490000,0.0
12/02/2009,0,0,9.3(3.33 %),0,0,0,0,490000,0.0
13/02/2009,0,0,9.3(0.00 %),0,0,0,0,490000,0.0
16/02/2009,0,0,9.5(-1.04 %),0,0,0,0,490000,0.0
17/02/2009,0,0,9.5(-5.94 %),0,0,0,0,490000,0.0
18/02/2009,0,0,8.9(-6.32 %),0,0,0,0,490000,0.0
19/02/2009,0,0,8.9(0.00 %),0,0,0,0,490000,0.0
20/02/2009,0,0,8.2(-4.65 %),0,0,0,0,490000,0.0
23/02/2009,0,0,7.7(-3.75 %),0,0,0,0,490000,0.0
24/02/2009,0,0,7.3(-6.41 %),0,0,0,0,490000,0.0
25/02/2009,0,0,7.9(6.76 %),0,0,0,0,490000,0.0
26/02/2009,0,0,7.9(0.00 %),0,0,0,0,490000,0.0
27/02/2009,0,0,7.8(-3.70 %),0,0,0,0,490000,0.0
02/03/2009,0,0,7.3(-6.41 %),0,0,0,0,490000,0.0
03/03/2009,0,0,7.2(-6.49 %),0,0,0,0,490000,0.0
04/03/2009,0,0,7.6(5.56 %),0,0,0,0,490000,0.0
05/03/2009,0,0,7.5(-1.32 %),0,0,0,0,490000,0.0
06/03/2009,0,0,7.9(5.33 %),0,0,0,0,490000,0.0
09/03/2009,0,0,8(1.27 %),0,0,0,0,490000,0.0
10/03/2009,0,0,8.4(3.70 %),0,0,0,0,490000,0.0
11/03/2009,0,0,8.7(3.57 %),0,0,0,0,490000,0.0
12/03/2009,0,0,8.7(0.00 %),0,0,0,0,490000,0.0
13/03/2009,0,0,8.5(3.66 %),0,0,0,0,490000,0.0
16/03/2009,0,0,8.9(4.71 %),0,0,0,0,490000,0.0
17/03/2009,0,0,8.3(-6.74 %),0,0,0,0,490000,0.0
18/03/2009,0,0,8.2(-2.38 %),0,0,0,0,490000,0.0
19/03/2009,0,0,7.9(-4.82 %),0,0,0,0,490000,0.0
20/03/2009,0,0,7.5(-5.06 %),0,0,0,0,490000,0.0
23/03/2009,100,800000,7.4(-1.33 %),100,800000,0,0,489900,0.01
24/03/2009,0,0,7.2(-4.00 %),0,0,0,0,489900,0.01
25/03/2009,0,0,7.2(0.00 %),0,0,0,0,489900,0.01
26/03/2009,0,0,7(-1.41 %),0,0,0,0,489900,0.01
27/03/2009,0,0,7.3(0.00 %),0,0,0,0,489900,0.01
30/03/2009,0,0,7.3(0.00 %),0,0,0,0,489900,0.01
31/03/2009,200,1460000,7.2(-1.37 %),200,1460000,0,0,489700,0.03
01/04/2009,0,0,7.3(1.39 %),0,0,0,0,489700,0.03
02/04/2009,0,0,7.3(0.00 %),0,0,0,0,489700,0.03
03/04/2009,0,0,7.8(6.85 %),0,0,0,0,489700,0.03
07/04/2009,0,0,7.7(1.32 %),0,0,0,0,489700,0.03
08/04/2009,0,0,7.6(-1.30 %),0,0,0,0,489700,0.03
09/04/2009,100,750000,7.5(0.00 %),100,750000,0,0,489600,0.04
10/04/2009,0,0,7.6(1.33 %),0,0,0,0,489600,0.04
13/04/2009,0,0,7.7(0.00 %),0,0,0,0,489600,0.04
14/04/2009,0,0,8.4(5.00 %),0,0,0,0,489600,0.04
15/04/2009,0,0,7.9(-5.95 %),0,0,0,0,489600,0.04
16/04/2009,0,0,7.6(-3.80 %),0,0,0,0,489600,0.04
17/04/2009,0,0,7.3(-6.41 %),0,0,0,0,489600,0.04
20/04/2009,0,0,7(-4.11 %),0,0,0,0,489600,0.04
21/04/2009,0,0,7.2(5.88 %),0,0,0,0,489600,0.04
22/04/2009,0,0,7.5(5.63 %),0,0,0,0,489600,0.04
23/04/2009,0,0,7.5(0.00 %),0,0,0,0,489600,0.04
24/04/2009,0,0,8.1(5.19 %),0,0,0,0,489600,0.04
27/04/2009,0,0,7.4(-6.33 %),0,0,0,0,489600,0.04
28/04/2009,0,0,7.7(4.05 %),0,0,0,0,489600,0.04
29/04/2009,0,0,8.2(6.49 %),0,0,0,0,489600,0.04
04/05/2009,1500,13020000,8.7(6.10 %),1500,13020000,0,0,488100,0.19
05/05/2009,0,0,9.3(6.90 %),0,0,0,0,488100,0.19
06/05/2009,100,870000,8.9(-4.30 %),100,870000,0,0,488000,0.2
07/05/2009,0,0,9.2(3.37 %),0,0,0,0,488000,0.2
08/05/2009,-1500,-13350000,9(0.00 %),0,0,1500,13350000,489500,0.05
11/05/2009,0,0,8.5(2.41 %),0,0,0,0,489500,0.05
12/05/2009,0,0,8.4(-1.18 %),0,0,0,0,489500,0.05
13/05/2009,0,0,8.1(-3.57 %),0,0,0,0,489500,0.05
14/05/2009,0,0,8(-3.61 %),0,0,0,0,489500,0.05
15/05/2009,0,0,8.5(6.25 %),0,0,0,0,489500,0.05
18/05/2009,0,0,8.3(-2.35 %),0,0,0,0,489500,0.05
19/05/2009,0,0,8.4(0.00 %),0,0,0,0,489500,0.05
20/05/2009,0,0,8.8(6.02 %),0,0,0,0,489500,0.05
21/05/2009,0,0,9.3(6.90 %),0,0,0,0,489500,0.05
22/05/2009,0,0,9.9(6.45 %),0,0,0,0,489500,0.05
25/05/2009,0,0,10.3(5.10 %),0,0,0,0,489500,0.05
26/05/2009,0,0,11(6.80 %),0,0,0,0,489500,0.05
27/05/2009,0,0,11(0.92 %),0,0,0,0,489500,0.05
28/05/2009,0,0,10.7(-6.14 %),0,0,0,0,489500,0.05
29/05/2009,0,0,10.1(-6.48 %),0,0,0,0,489500,0.05
01/06/2009,0,0,10.9(6.86 %),0,0,0,0,489500,0.05
02/06/2009,0,0,11.4(6.54 %),0,0,0,0,489500,0.05
03/06/2009,0,0,12.1(6.14 %),0,0,0,0,489500,0.05
04/06/2009,0,0,12.9(6.61 %),0,0,0,0,489500,0.05
05/06/2009,0,0,13.8(6.98 %),0,0,0,0,489500,0.05
08/06/2009,0,0,14.7(6.52 %),0,0,0,0,489500,0.05
09/06/2009,0,0,15.7(6.80 %),0,0,0,0,489500,0.05
10/06/2009,0,0,15(-4.46 %),0,0,0,0,489500,0.05
11/06/2009,0,0,15.8(-0.63 %),0,0,0,0,489500,0.05
12/06/2009,0,0,14.6(-5.19 %),0,0,0,0,489500,0.05
15/06/2009,0,0,13.6(-6.85 %),0,0,0,0,489500,0.05
16/06/2009,0,0,12.8(-6.57 %),0,0,0,0,489500,0.05
17/06/2009,0,0,13.9(6.92 %),0,0,0,0,489500,0.05
18/06/2009,0,0,14.4(6.67 %),0,0,0,0,489500,0.05
19/06/2009,0,0,13.3(-6.99 %),0,0,0,0,489500,0.05
22/06/2009,0,0,12.5(-6.72 %),0,0,0,0,489500,0.05
23/06/2009,0,0,11.7(-6.40 %),0,0,0,0,489500,0.05
24/06/2009,0,0,13.1(6.50 %),0,0,0,0,489500,0.05
25/06/2009,0,0,12.2(-6.87 %),0,0,0,0,489500,0.05
26/06/2009,0,0,12.6(2.44 %),0,0,0,0,489500,0.05
29/06/2009,0,0,11.7(-4.88 %),0,0,0,0,489500,0.05
30/06/2009,0,0,12(0.00 %),0,0,0,0,489500,0.05
01/07/2009,0,0,12.4(5.08 %),0,0,0,0,489500,0.05
02/07/2009,0,0,12(5.26 %),0,0,0,0,489500,0.05
03/07/2009,0,0,11.7(0.86 %),0,0,0,0,489500,0.05
06/07/2009,0,0,12.3(6.96 %),0,0,0,0,489500,0.05
07/07/2009,0,0,12.6(2.44 %),0,0,0,0,489500,0.05
08/07/2009,0,0,12.9(3.20 %),0,0,0,0,489500,0.05
09/07/2009,0,0,12.9(0.00 %),0,0,0,0,489500,0.05
10/07/2009,0,0,12(-6.98 %),0,0,0,0,489500,0.05
13/07/2009,0,0,11.2(-6.67 %),0,0,0,0,489500,0.05
14/07/2009,0,0,11.9(6.25 %),0,0,0,0,489500,0.05
15/07/2009,0,0,11.9(5.31 %),0,0,0,0,489500,0.05
16/07/2009,0,0,12.4(4.20 %),0,0,0,0,489500,0.05
17/07/2009,0,0,11.6(-6.45 %),0,0,0,0,489500,0.05
20/07/2009,0,0,10.8(-6.90 %),0,0,0,0,489500,0.05
21/07/2009,0,0,10.8(0.00 %),0,0,0,0,489500,0.05
22/07/2009,0,0,11.4(5.56 %),0,0,0,0,489500,0.05
23/07/2009,0,0,11.7(4.46 %),0,0,0,0,489500,0.05
24/07/2009,0,0,12.5(6.84 %),0,0,0,0,489500,0.05
27/07/2009,0,0,12.8(4.07 %),0,0,0,0,489500,0.05
28/07/2009,0,0,12.1(-5.47 %),0,0,0,0,489500,0.05
29/07/2009,0,0,12(-2.44 %),0,0,0,0,489500,0.05
30/07/2009,0,0,11.2(-6.67 %),0,0,0,0,489500,0.05
31/07/2009,0,0,11.5(2.68 %),0,0,0,0,489500,0.05
03/08/2009,0,0,11.3(0.00 %),0,0,0,0,489500,0.05
04/08/2009,0,0,10.9(-3.54 %),0,0,0,0,489500,0.05
05/08/2009,0,0,11.8(6.31 %),0,0,0,0,489500,0.05
06/08/2009,0,0,11.8(0.00 %),0,0,0,0,489500,0.05
07/08/2009,0,0,11.2(-5.08 %),0,0,0,0,489500,0.05
10/08/2009,0,0,12(4.35 %),0,0,0,0,489500,0.05
11/08/2009,0,0,12.2(1.67 %),0,0,0,0,489500,0.05
12/08/2009,0,0,11.5(-5.74 %),0,0,0,0,489500,0.05
13/08/2009,0,0,11.2(-2.61 %),0,0,0,0,489500,0.05
14/08/2009,0,0,11.1(0.00 %),0,0,0,0,489500,0.05
17/08/2009,0,0,11(-0.90 %),0,0,0,0,489500,0.05
18/08/2009,0,0,11.1(0.00 %),0,0,0,0,489500,0.05
19/08/2009,0,0,10.8(-2.70 %),0,0,0,0,489500,0.05
20/08/2009,0,0,11.6(6.42 %),0,0,0,0,489500,0.05
21/08/2009,0,0,12.3(6.96 %),0,0,0,0,489500,0.05
24/08/2009,0,0,12.9(5.74 %),0,0,0,0,489500,0.05
25/08/2009,0,0,11.6(-2.52 %),0,0,0,0,489500,0.05
26/08/2009,0,0,12(0.00 %),0,0,0,0,489500,0.05
27/08/2009,0,0,12(0.00 %),0,0,0,0,489500,0.05
28/08/2009,0,0,12.5(1.63 %),0,0,0,0,489500,0.05
