Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
MSB,22/08/2025,56300,187801,1006615000,3405011000
MSB,21/08/2025,0,105301,0,1799590000
MSB,20/08/2025,9000,1142800,142020000,17062870000
MSB,19/08/2025,45600,172601,718400000,2712700000
MSB,18/08/2025,30600,490801,478190000,7859235000
MSB,15/08/2025,10400,232602,165480000,3749735000
MSB,14/08/2025,325200,334500,5246940000,5320460000
MSB,13/08/2025,36800,74000,569510000,1147680000
MSB,12/08/2025,8700,87700,132165000,1334785000
MSB,11/08/2025,200000,5500,3062500000,84590000
MSB,08/08/2025,0,170700,0,2665950000
MSB,07/08/2025,0,390700,0,5812060000
MSB,06/08/2025,0,217595,0,3132929000
MSB,05/08/2025,250000,101,3600000000,1454000
MSB,04/08/2025,100000,87800,1365000000,1199270000
MSB,01/08/2025,83500,0,1127250000,0
MSB,31/07/2025,21300,67700,289410000,920580000
MSB,30/07/2025,0,133000,0,1853165000
MSB,29/07/2025,1086400,113200,15268840000,1612750000
MSB,28/07/2025,62400,36300,915575000,533610000
MSB,25/07/2025,236400,2100,3310780000,29295000
MSB,24/07/2025,79100,26500,1084965000,362135000
MSB,23/07/2025,34700,24100,471920000,327310000
MSB,22/07/2025,0,97200,0,1290060000
MSB,21/07/2025,0,511907,0,6802076000
MSB,18/07/2025,25500,27407,335500000,360291000
MSB,17/07/2025,126700,124108,1678470000,1640883000
MSB,16/07/2025,0,116807,0,1533661000
MSB,15/07/2025,368000,49410,4882000000,644221000
MSB,14/07/2025,520210,204000,6725820000,2624865000
MSB,11/07/2025,133500,72,1714080000,6000
MSB,10/07/2025,149600,65505,1925285000,841840000
MSB,09/07/2025,246600,20144,3156980000,259469000
MSB,08/07/2025,350200,16708,4425010000,210763000
MSB,07/07/2025,96109,24800,1199502000,307815000
MSB,04/07/2025,96207,17100,1172149000,208515000
MSB,03/07/2025,366100,43906,4484910000,539038000
MSB,02/07/2025,16900,5,206180000,57000
MSB,01/07/2025,19400,12800,234150000,156190000
MSB,30/06/2025,3706,47600,44652000,571450000
MSB,27/06/2025,12510,40500,150737000,488830000
MSB,26/06/2025,0,4,0,45000
MSB,25/06/2025,16100,20404,193825000,245865000
MSB,24/06/2025,7505,71300,90431000,863530000
MSB,23/06/2025,15300,77013,183600000,928431000
MSB,20/06/2025,9800,34102,119070000,414228000
MSB,19/06/2025,24500,71605,296205000,864822000
MSB,18/06/2025,4900,139201,59535000,1696771000
MSB,17/06/2025,32400,93805,393280000,1145172000
MSB,16/06/2025,20,104600,223000,1271805000
MSB,13/06/2025,200000,214095,2350000000,2519278000
