Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
08/10/2018,0,0,10(0.00 %),0,0,0,0,5414700,-50.89
09/10/2018,0,0,10(0.00 %),0,0,0,0,5414700,-50.89
10/10/2018,0,0,10(0.00 %),0,0,0,0,5414700,-50.89
11/10/2018,0,0,10(0.00 %),0,0,0,0,5414700,-50.89
12/10/2018,1000,10010000,10(0.00 %),1000,10010000,0,0,5413700,0.0
15/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413700,-50.87
16/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413700,-50.87
17/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413700,-50.87
18/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413700,-50.87
19/10/2018,100,1010000,10.1(0.00 %),100,1010000,0,0,5413600,-50.87
22/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
23/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
24/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
25/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
26/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
29/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
30/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
31/10/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
01/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
02/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
05/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
06/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
07/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
09/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
12/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
13/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
14/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
15/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
16/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
19/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
20/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
21/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
22/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
23/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
26/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
27/11/2018,0,0,10.1(0.00 %),0,0,0,0,5413600,-50.87
