Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
14/07/2014,960,77760000,0(0.00 %),960,77760000,0,0,4570987,41.71
15/07/2014,2550,221850000,0(0.00 %),2550,221850000,0,0,4568437,41.72
16/07/2014,3490,324570000,0(0.00 %),3490,324570000,0,0,4564947,0.0
17/07/2014,84660,8423670000,0(0.00 %),84660,8423670000,0,0,4480287,41.86
18/07/2014,98070,10395420000,0(0.00 %),98070,10395420000,0,0,4480287,41.86
21/07/2014,87330,9624510000,0(0.00 %),89880,9912660000,2550,288150000,4292337,0.0
22/07/2014,552170,59622680000,0(0.00 %),552170,59622680000,0,0,3740167,0.0
23/07/2014,19110,2089330000,0(0.00 %),19110,2089330000,0,0,3721057,0.0
24/07/2014,24700,2667800000,108(-0.92 %),24700,2667800000,0,0,3696357,0.0
25/07/2014,70240,7597920000,108(0.00 %),70240,7597920000,0,0,3628667,0.0
28/07/2014,87670,9468360000,108(0.00 %),87670,9468360000,0,0,3540997,0.0
29/07/2014,18140,1905000000,106(-1.85 %),18140,1905000000,0,0,3522857,0.0
30/07/2014,15070,1584650000,106(0.00 %),15070,1584650000,0,0,3507787,0.0
31/07/2014,21760,2227950000,103(-2.83 %),21760,2227950000,0,0,3486027,0.0
01/08/2014,21930,2286770000,103(0.00 %),21930,2286770000,0,0,3464097,0.0
04/08/2014,11300,1163900000,103(0.00 %),13300,1369900000,2000,206000000,3450797,0.0
05/08/2014,18090,1897660000,104(0.97 %),18090,1897660000,0,0,3432707,0.0
06/08/2014,13390,1402340000,107(2.88 %),13390,1402340000,0,0,3432707,43.53
07/08/2014,7180,760810000,107(0.00 %),7450,789700000,270,28890000,3425527,43.54
08/08/2014,2150,227930000,107(0.00 %),2150,227930000,0,0,3411717,0.0
11/08/2014,154490,17376350000,114(6.54 %),154490,17376350000,0,0,3257227,0.0
12/08/2014,38960,4526810000,118(3.51 %),38960,4526810000,0,0,3218267,0.0
13/08/2014,106220,12720480000,124(5.08 %),106220,12720480000,0,0,3112317,0.0
14/08/2014,63220,8152890000,132(6.45 %),66550,8589120000,3330,436230000,3112317,44.04
15/08/2014,52470,7368560000,141(6.82 %),52970,7439060000,500,70500000,3045767,44.14
18/08/2014,2090,305190000,149(5.67 %),2090,305190000,0,0,2990707,0.0
19/08/2014,-4010,-573130000,139(-6.71 %),210,29990000,4220,603120000,2990497,0.0
20/08/2014,12900,1745910000,139(0.00 %),12900,1745910000,0,0,2980927,0.0
21/08/2014,28620,3947570000,135(-2.88 %),51130,7061650000,22510,3114080000,2930297,0.0
22/08/2014,28860,4011590000,141(4.44 %),28860,4011590000,0,0,2930297,44.33
25/08/2014,51030,7350200000,144(2.13 %),51230,7378800000,200,28600000,2905657,44.37
26/08/2014,-20640,-2784960000,134(-6.94 %),920,127680000,21560,2912640000,2854427,44.45
27/08/2014,7480,1025010000,137(2.24 %),27480,3825010000,20000,2800000000,2876017,44.41
28/08/2014,510,68850000,137(0.00 %),510,68850000,0,0,2868537,44.43
29/08/2014,3500,471300000,135(-1.46 %),3500,471300000,0,0,2864727,0.0
03/09/2014,11860,1602560000,135(0.00 %),11860,1602560000,0,0,2886287,44.4
04/09/2014,-950,-126000000,132(-2.22 %),400,52200000,1350,178200000,2874027,0.0
05/09/2014,20650,2789910000,136(3.03 %),20650,2789910000,0,0,2853377,0.0
08/09/2014,137050,19293530000,145(6.62 %),137050,19293530000,0,0,2853377,44.45
09/09/2014,30970,4754110000,149(2.76 %),37280,5685160000,6310,931050000,2716327,44.67
10/09/2014,13920,2092920000,152(2.01 %),13920,2092920000,0,0,2666477,0.0
11/09/2014,3780,569560000,152(0.00 %),4000,602560000,220,33000000,2662477,0.0
12/09/2014,40140,6027440000,151(-0.66 %),40140,6027440000,0,0,2622337,0.0
15/09/2014,12710,1924860000,152(0.66 %),12710,1924860000,0,0,2628647,44.81
16/09/2014,63910,9623860000,152(0.00 %),63910,9623860000,0,0,2552027,0.0
