Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
NAB,08/03/2024,0,1182000,0,19849730000
NAB,11/03/2024,0,51000,0,841000000
NAB,25/03/2024,1400000,0,21000000000,0
NAB,16/04/2024,0,30000,0,462950000
NAB,17/04/2024,0,80000,0,1255500000
NAB,19/04/2024,0,39000,0,612290000
NAB,04/06/2024,50000,0,805000000,0
NAB,05/06/2024,25000,0,403250000,0
NAB,17/06/2024,0,62100,0,1020970000
NAB,18/06/2024,0,12900,0,212205000
NAB,28/06/2024,1250000,0,20000000000,0
NAB,02/07/2024,0,1250000,0,20025000000
NAB,02/08/2024,109500,0,1664170000,0
NAB,06/08/2024,0,99500,0,1517375000
NAB,07/08/2024,800,0,11360000,0
NAB,08/08/2024,2400,0,34660000,0
NAB,09/08/2024,1000,0,14700000,0
NAB,12/08/2024,2000,10000,30320000,152000000
NAB,13/08/2024,1505000,1800,21227225000,29160000
NAB,16/08/2024,300,0,5040000,0
NAB,19/08/2024,300,5700,4965000,94635000
NAB,20/08/2024,9100,0,148515000,0
NAB,22/08/2024,0,6000,0,101375000
NAB,23/08/2024,600,0,10080000,0
NAB,26/08/2024,0,600,0,10050000
NAB,29/08/2024,1200,1200,19740000,19830000
NAB,30/08/2024,4500,0,74160000,0
NAB,04/09/2024,0,3600,0,58650000
NAB,05/09/2024,0,7500,0,121125000
NAB,06/09/2024,300,3000,4830000,48600000
NAB,09/09/2024,0,300,0,4920000
NAB,10/09/2024,2100,0,34230000,0
NAB,11/09/2024,1200,0,19515000,0
NAB,12/09/2024,0,1500,0,24405000
NAB,13/09/2024,0,300,0,4950000
NAB,16/09/2024,0,300,0,4980000
NAB,17/09/2024,17700,0,311635000,0
NAB,18/09/2024,6000,6000,103980000,103950000
NAB,19/09/2024,2700,0,47205000,0
NAB,20/09/2024,9000,7500,158130000,131700000
NAB,23/09/2024,1800,1200,30210000,20370000
NAB,24/09/2024,300,1200,5070000,20235000
NAB,26/09/2024,600,0,10140000,0
NAB,27/09/2024,8700,11000,148005000,187850000
NAB,01/10/2024,600,600,10020000,10020000
NAB,03/10/2024,0,12300,0,204180000
NAB,04/10/2024,11700,0,193140000,0
NAB,07/10/2024,3000,1800,48975000,29265000
NAB,08/10/2024,4300,2100,69615000,34125000
NAB,09/10/2024,900,3300,14485000,53385000
NAB,10/10/2024,55000,0,898220000,0
NAB,14/10/2024,600,600,9840000,9795000
NAB,15/10/2024,300,0,4905000,0
NAB,16/10/2024,600,300,9525000,4740000
NAB,17/10/2024,0,2900,0,45910000
NAB,18/10/2024,300,22800,4830000,365130000
NAB,22/10/2024,6000,5100,93765000,80475000
NAB,24/10/2024,600,300,9390000,4740000
NAB,25/10/2024,6800,3900,105785000,60915000
NAB,28/10/2024,1800,6900,28080000,107700000
NAB,29/10/2024,3900,0,61485000,0
NAB,30/10/2024,1500,1500,24000000,24075000
NAB,31/10/2024,3600,7600,57600000,121420000
NAB,01/11/2024,1800,0,28680000,0
NAB,04/11/2024,0,34000,0,530940000
NAB,05/11/2024,0,2400,0,37940000
NAB,06/11/2024,0,30900,0,489920000
NAB,07/11/2024,3200,0,50800000,0
NAB,08/11/2024,7400,0,116125000,0
NAB,11/11/2024,2800,2900,43360000,44895000
NAB,12/11/2024,9200,2000,142840000,31200000
NAB,13/11/2024,12400,5200,192160000,80180000
NAB,14/11/2024,0,5600,0,86240000
NAB,15/11/2024,800,6000,12220000,91950000
NAB,18/11/2024,0,10400,0,159120000
NAB,20/11/2024,4000,800,62000000,12340000
NAB,21/11/2024,5600,0,86440000,0
NAB,22/11/2024,4400,5000,69300000,78525000
NAB,25/11/2024,0,1200,0,18780000
NAB,26/11/2024,3000,0,47350000,0
NAB,27/11/2024,1200,0,18930000,0
NAB,28/11/2024,800,2500,12640000,39440000
NAB,29/11/2024,5400,0,85035000,0
NAB,03/12/2024,0,400,0,6460000
