Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
07/10/2015,18.55,27.6,0.6(2.22 %),205340,5609000000,0,0,27.0,27.6,27.0
08/10/2015,19.02,28.3,0.7(2.54 %),181610,5165000000,0,0,28.0,28.7,27.9
09/10/2015,18.82,28.0,-0.3(-1.06 %),186950,5290000000,0,0,28.4,28.6,28.0
12/10/2015,18.49,27.5,-0.5(-1.79 %),133750,3680000000,0,0,27.5,27.7,27.3
13/10/2015,18.42,27.4,-0.1(-0.36 %),162920,4454000000,0,0,27.3,27.5,27.2
14/10/2015,18.42,27.4,0(0.00 %),169100,4653000000,0,0,27.4,27.9,27.4
15/10/2015,18.35,27.3,-0.1(-0.36 %),149200,4079000000,2700000,72900000000,27.4,27.6,27.2
16/10/2015,18.35,27.3,0(0.00 %),174900,4790000000,0,0,27.3,27.5,27.3
19/10/2015,18.28,27.2,-0.1(-0.37 %),233650,6383000000,0,0,27.3,27.5,27.2
20/10/2015,18.22,27.1,-0.1(-0.37 %),187110,5092000000,0,0,27.3,27.4,27.1
21/10/2015,18.22,27.1,0(0.00 %),173790,4711000000,0,0,27.1,27.2,27.0
22/10/2015,18.22,27.1,0(0.00 %),200300,5443000000,0,0,27.1,27.3,27.0
23/10/2015,18.35,27.3,0.2(0.74 %),204390,5573000000,0,0,27.2,27.4,27.2
26/10/2015,18.35,27.3,0(0.00 %),236250,6435000000,0,0,27.2,27.4,27.1
27/10/2015,18.15,27.0,-0.3(-1.10 %),168800,4569000000,0,0,27.2,27.2,26.9
28/10/2015,18.08,26.9,-0.1(-0.37 %),166420,4495000000,0,0,27.0,27.2,26.9
29/10/2015,18.69,27.8,0.9(3.35 %),221300,6037000000,0,0,26.9,27.8,26.9
30/10/2015,19.97,29.7,1.9(6.83 %),292180,8563000000,2000000,52000000000,27.6,29.7,27.3
02/11/2015,21.31,31.7,2(6.73 %),211810,6625000000,0,0,30.1,31.7,30.1
03/11/2015,21.51,32.0,0.3(0.95 %),212490,6726000000,0,0,31.7,32.5,29.7
04/11/2015,21.31,31.7,-0.3(-0.94 %),232220,7343000000,0,0,30.5,32.0,30.5
05/11/2015,21.38,31.8,0.1(0.32 %),225280,7158000000,0,0,30.5,32.0,30.3
06/11/2015,21.04,31.3,-0.5(-1.57 %),223140,7049000000,0,0,31.1,31.8,31.1
09/11/2015,21.04,31.3,0(0.00 %),209930,6556000000,0,0,31.1,31.5,31.0
10/11/2015,21.31,31.7,0.4(1.28 %),266990,8419000000,0,0,31.3,31.9,31.2
11/11/2015,21.31,31.7,0(0.00 %),220380,6994000000,0,0,31.6,31.9,31.5
12/11/2015,21.24,31.6,-0.1(-0.32 %),222860,7005000000,0,0,31.6,31.7,31.0
13/11/2015,21.51,32.0,0.4(1.27 %),336740,10701000000,0,0,31.4,32.2,31.0
16/11/2015,22.45,33.4,1.4(4.38 %),367630,12223000000,0,0,32.5,34.0,32.5
17/11/2015,21.98,32.7,-0.7(-2.10 %),270870,8958000000,0,0,33.4,33.4,32.5
18/11/2015,21.85,32.5,-0.2(-0.61 %),219660,7128000000,0,0,32.7,32.7,31.9
19/11/2015,21.65,32.2,-0.3(-0.92 %),222160,7166000000,0,0,30.6,32.7,30.5
20/11/2015,21.44,31.9,-0.3(-0.93 %),242410,7772000000,0,0,32.2,32.3,31.9
23/11/2015,21.11,31.4,-0.5(-1.57 %),155040,4911000000,0,0,31.8,32.0,31.4
24/11/2015,20.91,31.1,-0.3(-0.96 %),160510,4992000000,0,0,31.0,31.5,31.0
25/11/2015,21.18,31.5,0.4(1.29 %),238810,7481000000,0,0,31.2,31.9,30.8
26/11/2015,20.91,31.1,-0.4(-1.27 %),206450,6479000000,0,0,31.4,31.6,31.1
27/11/2015,20.23,30.1,-1(-3.22 %),189900,5851000000,0,0,31.0,31.2,30.1
30/11/2015,20.17,30.0,-0.1(-0.33 %),217650,6558000000,0,0,30.8,30.8,29.8
01/12/2015,20.03,29.8,-0.2(-0.67 %),175350,5271000000,0,0,30.1,30.4,29.8
02/12/2015,20.44,30.4,0.6(2.01 %),276250,8411000000,0,0,30.4,31.5,29.9
03/12/2015,20.44,30.4,0(0.00 %),143400,4361000000,0,0,30.4,30.7,30.3
04/12/2015,20.3,30.2,-0.2(-0.66 %),124070,3751000000,0,0,30.2,30.4,30.1
07/12/2015,20.03,29.8,-0.4(-1.32 %),145290,4342000000,0,0,30.0,30.2,29.7
08/12/2015,20.17,30.0,0.2(0.67 %),168410,5004000000,0,0,29.3,30.0,29.1
09/12/2015,20.03,29.8,-0.2(-0.67 %),166840,4986000000,0,0,30.2,30.2,29.7
10/12/2015,19.9,29.6,-0.2(-0.67 %),158770,4720000000,0,0,30.0,30.0,29.5
11/12/2015,19.97,29.7,0.1(0.34 %),141240,4203000000,0,0,29.7,30.0,29.5
14/12/2015,19.97,29.7,0(0.00 %),143280,4252000000,0,0,29.7,29.8,29.6
15/12/2015,20.03,29.8,0.1(0.34 %),145280,4330000000,0,0,29.8,29.9,29.7
16/12/2015,20.03,29.8,0(0.00 %),161100,4801000000,0,0,29.9,29.9,29.7
17/12/2015,20.1,29.9,0.1(0.34 %),123100,3676000000,0,0,29.7,30.0,29.7
18/12/2015,20.17,30.0,0.1(0.33 %),236600,7082000000,0,0,29.8,30.2,29.7
21/12/2015,20.23,30.1,0.1(0.33 %),274000,8248000000,0,0,30.1,30.2,30.0
22/12/2015,20.44,30.4,0.3(1.00 %),319650,9697000000,0,0,30.1,30.7,30.1
23/12/2015,20.3,30.2,-0.2(-0.66 %),177230,5356000000,0,0,30.2,30.4,30.1
24/12/2015,20.37,30.3,0.1(0.33 %),170200,5157000000,0,0,30.3,30.4,30.2
25/12/2015,20.37,30.3,0(0.00 %),120360,3647000000,0,0,30.3,30.4,30.2
