Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/09/2009,10.2,29.0,4(16.00 %),487300,12654660000,0,0,25.0,29.8,24.0
23/09/2009,9.78,27.8,1.8(6.92 %),121600,3380480000,0,0,27.8,27.8,27.8
24/09/2009,10.44,29.7,1.9(6.83 %),231900,6887430000,0,0,29.7,29.7,29.7
25/09/2009,10.27,29.2,-0.5(-1.68 %),207200,6309930000,0,0,31.7,31.7,27.7
28/09/2009,9.99,28.4,-2.1(-6.89 %),14700,417480000,0,0,28.4,28.4,28.4
29/09/2009,9.32,26.5,-1.9(-6.69 %),25100,665150000,0,0,26.5,26.5,26.5
30/09/2009,8.69,24.7,-1.8(-6.79 %),23100,570570000,0,0,24.7,24.7,24.7
01/10/2009,8.09,23.0,-1.7(-6.88 %),10900,250700000,0,0,23.0,23.0,23.0
02/10/2009,7.53,21.4,-1.6(-6.96 %),12500,267500000,0,0,21.4,21.4,21.4
05/10/2009,7.67,21.8,0.4(1.87 %),282100,5804780000,0,0,20.0,22.5,20.0
06/10/2009,7.74,22.0,1.4(6.80 %),298800,6567390000,0,0,21.5,22.0,21.5
07/10/2009,8.26,23.5,1.5(6.82 %),208400,4890320000,0,0,23.3,23.5,23.1
08/10/2009,8.37,23.8,0.3(1.28 %),116800,2711590000,0,0,25.0,25.0,22.0
09/10/2009,7.81,22.2,-1(-4.31 %),150500,3335700000,0,0,22.5,23.3,21.8
12/10/2009,7.74,22.0,-0.2(-0.90 %),146600,3183110000,0,0,21.0,22.0,21.0
13/10/2009,7.81,22.2,0.5(2.30 %),122000,2678550000,0,0,22.0,22.7,21.7
14/10/2009,8.16,23.2,1.2(5.45 %),126000,2816900000,0,0,22.4,23.2,22.0
15/10/2009,7.91,22.5,0.1(0.45 %),87700,1999370000,0,0,23.0,23.8,22.0
16/10/2009,7.53,21.4,-1.4(-6.14 %),78500,1682580000,0,0,23.0,23.1,21.3
19/10/2009,7.31,20.8,-0.6(-2.80 %),58500,1207090000,0,0,21.4,21.4,20.3
20/10/2009,7.56,21.5,0.9(4.37 %),174700,3753530000,0,0,21.0,21.9,21.0
21/10/2009,8.05,22.9,1.4(6.51 %),353700,8011130000,0,0,22.0,23.0,21.5
22/10/2009,8.12,23.1,0.4(1.76 %),132600,3050070000,0,0,23.4,23.5,22.5
23/10/2009,7.95,22.6,-0.4(-1.74 %),86500,1962300000,0,0,23.1,23.5,21.6
26/10/2009,7.56,21.5,-1.2(-5.29 %),89600,1994890000,0,0,23.5,23.5,21.5
27/10/2009,7.31,20.8,-1.5(-6.73 %),155700,3249450000,0,0,21.2,21.4,20.8
28/10/2009,7.74,22.0,1.1(5.26 %),81300,1742720000,0,0,21.3,22.3,21.0
29/10/2009,7.31,20.8,-0.6(-2.80 %),73900,1498170000,0,0,21.5,21.5,20.0
30/10/2009,7.63,21.7,1.4(6.90 %),34600,749020000,0,0,21.5,21.7,21.4
02/11/2009,7.07,20.1,-1.5(-6.94 %),58500,1179340000,0,0,21.6,21.6,20.1
03/11/2009,7.07,20.1,-0.1(-0.50 %),70100,1422400000,0,0,20.3,20.9,19.5
04/11/2009,7.1,20.2,-0.1(-0.49 %),44000,890680000,0,0,20.3,20.8,20.0
05/11/2009,7.21,20.5,0.3(1.49 %),35700,717750000,0,0,21.0,21.0,19.6
06/11/2009,7.1,20.2,0.1(0.50 %),70000,1434100000,0,0,20.8,20.8,20.0
09/11/2009,6.72,19.1,-1.4(-6.83 %),5300,101290000,0,0,19.1,19.2,19.1
10/11/2009,6.33,18.0,-1.1(-5.76 %),38500,693380000,0,0,17.8,20.0,17.8
11/11/2009,6.51,18.5,0.5(2.78 %),11700,210990000,0,0,19.0,19.2,17.0
12/11/2009,6.58,18.7,0.7(3.89 %),14000,262540000,0,0,19.2,19.2,18.5
